,专用设备制造业规模以上工业企业流动资产合计,仪器仪表制造业规模以上工业企业流动资产合计,其他制造业规模以上工业企业流动资产合计,其他采矿业规模以上工业企业流动资产合计,农副食品加工业规模以上工业企业流动资产合计,化学原料和化学制品制造业规模以上工业企业流动资产合计,化学纤维制造业规模以上工业企业流动资产合计,医药制造业规模以上工业企业流动资产合计,印刷和记录媒介复制业规模以上工业企业流动资产合计,家具制造业规模以上工业企业流动资产合计,废弃资源综合利用业规模以上工业企业流动资产合计,开采辅助活动规模以上工业企业流动资产合计,文教、工美、体育和娱乐用品制造业规模以上工业企业流动资产合计,有色金属冶炼和压延加工业规模以上工业企业流动资产合计,有色金属矿采选业规模以上工业企业流动资产合计,木材加工和木、竹、藤、棕、草制品业规模以上工业企业流动资产合计,橡胶和塑料制品业规模以上工业企业流动资产合计,水的生产和供应业规模以上工业企业流动资产合计,汽车制造业规模以上工业企业流动资产合计,烟草制品业规模以上工业企业流动资产合计,煤炭开采和洗选业规模以上工业企业流动资产合计,燃气生产和供应业规模以上工业企业流动资产合计,电力、热力生产和供应业规模以上工业企业流动资产合计,电气机械和器材制造业规模以上工业企业流动资产合计,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业流动资产合计,石油加工、炼焦和核燃料加工业规模以上工业企业流动资产合计,石油和天然气开采业规模以上工业企业流动资产合计,纺织业规模以上工业企业流动资产合计,纺织服装、服饰业规模以上工业企业流动资产合计,规模以上工业企业流动资产合计,计算机、通信和其他电子设备制造业规模以上工业企业流动资产合计,通用设备制造业规模以上工业企业流动资产合计,造纸和纸制品业规模以上工业企业流动资产合计,酒、饮料和精制茶制造业规模以上工业企业流动资产合计,金属制品、机械和设备修理业规模以上工业企业流动资产合计,金属制品业规模以上工业企业流动资产合计,铁路、船舶、航空航天和其他运输设备规模以上工业企业流动资产合计,非金属矿物制品业规模以上工业企业流动资产合计,非金属矿采选业规模以上工业企业流动资产合计,食品制造业规模以上工业企业流动资产合计,黑色金属冶炼和压延加工业规模以上工业企业流动资产合计,黑色金属矿采选业规模以上工业企业流动资产合计
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,16755.71431,3847.78382,939.74314,4.05888,12832.36409,24357.48513,2924.14503,8691.12577,1997.93112,2004.50902,934.11677,1312.53176,3280.2235,14502.14176,1680.30666,2088.47759,8710.12123,1819.03712,23309.03234,4914.8845,18596.42993,1558.46631,14097.04039,27558.89925,3488.09754,10118.54391,2904.85772,10781.99677,6154.11315,368200.71,30518.88518,19712.49868,5388.25311,5884.31145,627.54023,11188.20953,11532.30477,16170.71167,1074.32079,5102.61127,25554.23729,3282.6462
2013年,19245.56,4202.88,1184.92,4.18,15086.67,27382.19,3143.15,9965.17,2446.18,2378.88,1068.93,1420.49,4105.44,16550.5,1854.53,2486.56,10069.5,2250.6,27105.67,5606.47,18563.0,1774.51,15322.45,30729.25,4392.2,10626.29,2651.99,11815.85,6788.75,413490.92,34152.85,22292.14,5854.84,6988.83,642.08,12658.41,12269.31,19241.15,1309.1,5944.04,28092.0,3823.43
2014年,20505.24,4714.14,1281.18,4.94,16428.26,29777.45,3102.23,11496.53,2652.42,2566.67,1113.02,1333.4,4851.63,17973.01,1949.62,2757.79,10693.85,2717.86,30034.55,5824.89,19795.64,2160.79,16506.11,33583.06,4258.51,10484.13,2603.55,12400.08,7170.35,445742.36,39969.71,24050.66,6082.19,7428.86,585.75,13797.7,12736.03,21629.83,1537.71,6436.43,26778.64,3967.96
