,专用设备制造业规模以上工业企业单位数,仪器仪表制造业规模以上工业企业单位数,其他制造业规模以上工业企业单位数,其他采矿业规模以上工业企业单位数,农副食品加工业规模以上工业企业单位数,化学原料和化学制品制造业规模以上工业企业单位数,化学纤维制造业规模以上工业企业单位数,医药制造业规模以上工业企业单位数,印刷和记录媒介复制业规模以上工业企业单位数,家具制造业规模以上工业企业单位数,废弃资源综合利用业规模以上工业企业单位数,开采辅助活动规模以上工业企业单位数,文教、工美、体育和娱乐用品制造业规模以上工业企业单位数,有色金属冶炼和压延加工业规模以上工业企业单位数,有色金属矿采选业规模以上工业企业单位数,木材加工和木、竹、藤、棕、草制品业规模以上工业企业单位数,橡胶和塑料制品业规模以上工业企业单位数,水的生产和供应业规模以上工业企业单位数,汽车制造业规模以上工业企业单位数,烟草制品业规模以上工业企业单位数,煤炭开采和洗选业规模以上工业企业单位数,燃气生产和供应业规模以上工业企业单位数,电力、热力生产和供应业规模以上工业企业单位数,电气机械和器材制造业规模以上工业企业单位数,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业单位数,石油加工、炼焦和核燃料加工业规模以上工业企业单位数,石油和天然气开采业规模以上工业企业单位数,纺织业规模以上工业企业单位数,纺织服装、服饰业规模以上工业企业单位数,规模以上工业企业单位数,计算机、通信和其他电子设备制造业规模以上工业企业单位数,通用设备制造业规模以上工业企业单位数,造纸和纸制品业规模以上工业企业单位数,酒、饮料和精制茶制造业规模以上工业企业单位数,金属制品、机械和设备修理业规模以上工业企业单位数,金属制品业规模以上工业企业单位数,铁路、船舶、航空航天和其他运输设备规模以上工业企业单位数,非金属矿物制品业规模以上工业企业单位数,非金属矿采选业规模以上工业企业单位数,食品制造业规模以上工业企业单位数,黑色金属冶炼和压延加工业规模以上工业企业单位数,黑色金属矿采选业规模以上工业企业单位数
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,15068,3802,1554,21,22356,23694,1873,6387,4189,4559,1192,159,6920,6954,2077,8498,16356,1259,11270,135,7869,990,5614,21055,7806,2036,134,20435,14788,343769,12328,22032,7128,5311,421,18557,4761,29121,3377,7306,10880,3497
2013年,16717,4091,1697,19,23963,25040,2002,6839,5070,5078,1366,180,8139,7343,2108,8879,17659,1376,12528,130,7929,1132,6010,22585,8467,2081,144,21166,15710,369813,13550,23992,7063,5894,429,20118,4933,32174,3717,7871,11010,3614
2014年,17397,4178,1755,19,24835,25262,1948,7108,5293,5288,1490,166,8612,7385,2002,9018,18143,1495,13457,128,6850,1308,6471,23208,8719,2033,142,20821,15821,377888,14034,24619,6822,6272,395,20784,4977,33993,3758,8207,10363,3312
