,专用设备制造业规模以上工业企业资产总计,仪器仪表制造业规模以上工业企业资产总计,其他制造业规模以上工业企业资产总计,其他采矿业规模以上工业企业资产总计,农副食品加工业规模以上工业企业资产总计,化学原料和化学制品制造业规模以上工业企业资产总计,化学纤维制造业规模以上工业企业资产总计,医药制造业规模以上工业企业资产总计,印刷和记录媒介复制业规模以上工业企业资产总计,家具制造业规模以上工业企业资产总计,废弃资源综合利用业规模以上工业企业资产总计,开采辅助活动规模以上工业企业资产总计,文教、工美、体育和娱乐用品制造业规模以上工业企业资产总计,有色金属冶炼和压延加工业规模以上工业企业资产总计,有色金属矿采选业规模以上工业企业资产总计,木材加工和木、竹、藤、棕、草制品业规模以上工业企业资产总计,橡胶和塑料制品业规模以上工业企业资产总计,水的生产和供应业规模以上工业企业资产总计,汽车制造业规模以上工业企业资产总计,烟草制品业规模以上工业企业资产总计,煤炭开采和洗选业规模以上工业企业资产总计,燃气生产和供应业规模以上工业企业资产总计,电力、热力生产和供应业规模以上工业企业资产总计,电气机械和器材制造业规模以上工业企业资产总计,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业资产总计,石油加工、炼焦和核燃料加工业规模以上工业企业资产总计,石油和天然气开采业规模以上工业企业资产总计,纺织业规模以上工业企业资产总计,纺织服装、服饰业规模以上工业企业资产总计,规模以上工业企业资产总计,计算机、通信和其他电子设备制造业规模以上工业企业资产总计,通用设备制造业规模以上工业企业资产总计,造纸和纸制品业规模以上工业企业资产总计,酒、饮料和精制茶制造业规模以上工业企业资产总计,金属制品、机械和设备修理业规模以上工业企业资产总计,金属制品业规模以上工业企业资产总计,铁路、船舶、航空航天和其他运输设备规模以上工业企业资产总计,非金属矿物制品业规模以上工业企业资产总计,非金属矿采选业规模以上工业企业资产总计,食品制造业规模以上工业企业资产总计,黑色金属冶炼和压延加工业规模以上工业企业资产总计,黑色金属矿采选业规模以上工业企业资产总计
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,26403.52235,5844.96992,1720.22775,13.26072,23454.1249,53382.09333,5737.43852,15768.51355,3780.74203,3545.85847,1412.01654,2543.02142,5086.82209,28109.65695,4158.90516,4441.29904,16151.23659,6484.4876,40399.57862,7084.34049,44807.04076,4471.58725,92072.50541,42317.44436,5598.74181,20938.78071,17592.62773,20479.97803,9985.23633,768421.2,46427.82021,31493.58965,11862.73423,11176.83666,1170.75127,19410.89804,18694.57045,35407.83755,2623.14875,10009.6781,58183.47571,8173.79676
2013年,30704.89,6482.51,2095.31,14.71,27717.15,61317.66,6205.37,18450.01,4606.26,4176.54,1702.83,2821.94,6410.78,32337.92,4727.51,5246.37,18641.13,7520.36,46873.54,7979.59,49059.47,5008.06,102468.39,47487.7,6852.86,23169.7,18971.94,22350.05,11181.59,870751.07,52287.18,36067.21,12847.48,13119.56,1184.1,22235.49,20091.2,41451.58,3167.3,11609.77,64725.45,9382.6
2014年,33724.19,7309.82,2227.75,13.21,31259.61,68462.38,6455.37,21739.42,5133.43,4651.08,1917.57,2662.36,7681.91,36187.3,5313.01,6000.77,20287.9,8717.14,52743.12,8484.66,52319.4,6407.26,112056.76,52333.16,7013.9,24664.0,20266.99,23908.39,12282.08,956777.2,59973.73,39798.84,13413.75,14249.9,1096.17,26013.06,21112.58,46575.62,3716.12,13138.79,65248.18,10216.54
