,专用设备制造业规模以上工业企业管理费用,仪器仪表制造业规模以上工业企业管理费用,其他制造业规模以上工业企业管理费用,其他采矿业规模以上工业企业管理费用,农副食品加工业规模以上工业企业管理费用,化学原料和化学制品制造业规模以上工业企业管理费用,化学纤维制造业规模以上工业企业管理费用,医药制造业规模以上工业企业管理费用,印刷和记录媒介复制业规模以上工业企业管理费用,家具制造业规模以上工业企业管理费用,废弃资源综合利用业规模以上工业企业管理费用,开采辅助活动规模以上工业企业管理费用,文教、工美、体育和娱乐用品制造业规模以上工业企业管理费用,有色金属冶炼和压延加工业规模以上工业企业管理费用,有色金属矿采选业规模以上工业企业管理费用,木材加工和木、竹、藤、棕、草制品业规模以上工业企业管理费用,橡胶和塑料制品业规模以上工业企业管理费用,水的生产和供应业规模以上工业企业管理费用,汽车制造业规模以上工业企业管理费用,烟草制品业规模以上工业企业管理费用,煤炭开采和洗选业规模以上工业企业管理费用,燃气生产和供应业规模以上工业企业管理费用,电力、热力生产和供应业规模以上工业企业管理费用,电气机械和器材制造业规模以上工业企业管理费用,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业管理费用,石油加工、炼焦和核燃料加工业规模以上工业企业管理费用,石油和天然气开采业规模以上工业企业管理费用,纺织业规模以上工业企业管理费用,纺织服装、服饰业规模以上工业企业管理费用,规模以上工业企业管理费用,计算机、通信和其他电子设备制造业规模以上工业企业管理费用,通用设备制造业规模以上工业企业管理费用,造纸和纸制品业规模以上工业企业管理费用,酒、饮料和精制茶制造业规模以上工业企业管理费用,金属制品、机械和设备修理业规模以上工业企业管理费用,金属制品业规模以上工业企业管理费用,铁路、船舶、航空航天和其他运输设备规模以上工业企业管理费用,非金属矿物制品业规模以上工业企业管理费用,非金属矿采选业规模以上工业企业管理费用,食品制造业规模以上工业企业管理费用,黑色金属冶炼和压延加工业规模以上工业企业管理费用,黑色金属矿采选业规模以上工业企业管理费用
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1538.24045,453.42581,114.43336,1.17878,1271.07214,2474.33609,164.55072,1103.4771,261.55318,251.13293,58.38948,99.94903,353.10809,926.03731,281.51484,336.55049,945.03166,167.34363,2334.61509,431.61581,2440.22254,151.03203,1015.3393,2354.54534,449.06704,815.72671,746.80542,876.98297,766.25885,35888.12005,3002.13755,2002.0889,431.30044,598.9077,71.43352,1106.03047,879.13246,1646.04583,197.00043,607.64976,1790.23924,372.61756
2013年,1733.64,501.95,121.9,1.9,1430.27,2751.11,187.96,1278.19,315.21,301.37,76.06,99.03,442.52,899.88,300.33,375.51,1069.63,184.73,2780.8,445.15,2245.17,163.03,1076.61,2665.96,475.0,911.8,826.25,946.58,833.61,39431.9,3334.62,2221.25,456.83,683.02,76.27,1256.38,934.41,1895.95,215.57,701.5,1836.27,378.69
2014年,1820.03,563.56,129.02,2.07,1448.03,2894.99,196.84,1410.4,342.32,319.03,76.45,81.01,499.69,915.8,283.31,386.69,1119.39,188.55,3154.95,457.2,1976.12,177.97,1088.07,2840.21,497.41,854.85,790.67,971.01,854.72,41120.97,3807.76,2349.75,464.3,730.41,62.84,1340.55,969.3,2003.26,225.23,740.56,1741.21,345.4
