,专用设备制造业规模以上工业企业负债合计,仪器仪表制造业规模以上工业企业负债合计,其他制造业规模以上工业企业负债合计,其他采矿业规模以上工业企业负债合计,农副食品加工业规模以上工业企业负债合计,化学原料和化学制品制造业规模以上工业企业负债合计,化学纤维制造业规模以上工业企业负债合计,医药制造业规模以上工业企业负债合计,印刷和记录媒介复制业规模以上工业企业负债合计,家具制造业规模以上工业企业负债合计,废弃资源综合利用业规模以上工业企业负债合计,开采辅助活动规模以上工业企业负债合计,文教、工美、体育和娱乐用品制造业规模以上工业企业负债合计,有色金属冶炼和压延加工业规模以上工业企业负债合计,有色金属矿采选业规模以上工业企业负债合计,木材加工和木、竹、藤、棕、草制品业规模以上工业企业负债合计,橡胶和塑料制品业规模以上工业企业负债合计,水的生产和供应业规模以上工业企业负债合计,汽车制造业规模以上工业企业负债合计,烟草制品业规模以上工业企业负债合计,煤炭开采和洗选业规模以上工业企业负债合计,燃气生产和供应业规模以上工业企业负债合计,电力、热力生产和供应业规模以上工业企业负债合计,电气机械和器材制造业规模以上工业企业负债合计,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业负债合计,石油加工、炼焦和核燃料加工业规模以上工业企业负债合计,石油和天然气开采业规模以上工业企业负债合计,纺织业规模以上工业企业负债合计,纺织服装、服饰业规模以上工业企业负债合计,规模以上工业企业负债合计,计算机、通信和其他电子设备制造业规模以上工业企业负债合计,通用设备制造业规模以上工业企业负债合计,造纸和纸制品业规模以上工业企业负债合计,酒、饮料和精制茶制造业规模以上工业企业负债合计,金属制品、机械和设备修理业规模以上工业企业负债合计,金属制品业规模以上工业企业负债合计,铁路、船舶、航空航天和其他运输设备规模以上工业企业负债合计,非金属矿物制品业规模以上工业企业负债合计,非金属矿采选业规模以上工业企业负债合计,食品制造业规模以上工业企业负债合计,黑色金属冶炼和压延加工业规模以上工业企业负债合计,黑色金属矿采选业规模以上工业企业负债合计
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,14679.92992,2835.67968,944.65259,4.28683,12745.29368,30351.34852,3605.60082,6902.8281,1816.65045,1869.81351,924.37993,1330.40615,2716.83043,17690.75767,1997.97446,2002.09815,8502.414,3615.79992,22744.75941,1770.49732,27205.07307,2547.02151,61410.30077,24540.17531,2709.28197,13615.34666,8250.36752,11460.77804,5137.8251,445371.75,27011.61473,17400.99613,6882.27945,5392.42601,678.7444,10620.84466,12399.98506,19406.19561,1235.90601,4836.06217,39123.47427,4455.04514
2013年,16994.26,3117.09,1223.38,4.65,14915.12,35600.54,3942.19,8112.3,2217.49,2132.39,1104.86,1528.19,3411.83,20748.08,2355.79,2329.49,9490.53,4232.24,26885.89,2025.08,31775.22,2883.92,67772.25,27371.48,3098.76,15299.92,8884.92,12406.29,5552.87,505694.32,30565.84,19670.94,7398.12,6253.8,685.33,11770.21,13151.57,22711.8,1534.99,5639.13,43674.87,5220.7
2014年,18023.12,3449.67,1267.84,4.99,16218.05,39666.58,4008.63,9437.87,2341.32,2321.07,1195.52,1426.03,4111.96,23061.39,2698.52,2552.02,10034.53,5018.65,30073.43,1822.26,34631.81,3575.87,72557.12,30138.57,3246.0,16350.22,9425.6,12838.78,5880.7,547031.43,35172.49,21366.13,7647.12,6489.28,627.1,13198.74,13554.77,24935.0,1726.03,6158.94,42952.27,5825.44
