,专用设备制造业规模以上工业企业个人资本金,仪器仪表制造业规模以上工业企业个人资本金,其他制造业规模以上工业企业个人资本金,其他采矿业规模以上工业企业个人资本金,农副食品加工业规模以上工业企业个人资本金,化学原料和化学制品制造业规模以上工业企业个人资本金,化学纤维制造业规模以上工业企业个人资本金,医药制造业规模以上工业企业个人资本金,印刷和记录媒介复制业规模以上工业企业个人资本金,家具制造业规模以上工业企业个人资本金,废弃资源综合利用业规模以上工业企业个人资本金,开采辅助活动规模以上工业企业个人资本金,文教、工美、体育和娱乐用品制造业规模以上工业企业个人资本金,有色金属冶炼和压延加工业规模以上工业企业个人资本金,有色金属矿采选业规模以上工业企业个人资本金,木材加工和木、竹、藤、棕、草制品业规模以上工业企业个人资本金,橡胶和塑料制品业规模以上工业企业个人资本金,水的生产和供应业规模以上工业企业个人资本金,汽车制造业规模以上工业企业个人资本金,烟草制品业规模以上工业企业个人资本金,煤炭开采和洗选业规模以上工业企业个人资本金,燃气生产和供应业规模以上工业企业个人资本金,电力、热力生产和供应业规模以上工业企业个人资本金,电气机械和器材制造业规模以上工业企业个人资本金,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业个人资本金,石油加工、炼焦和核燃料加工业规模以上工业企业个人资本金,石油和天然气开采业规模以上工业企业个人资本金,纺织业规模以上工业企业个人资本金,纺织服装、服饰业规模以上工业企业个人资本金,规模以上工业企业个人资本金,计算机、通信和其他电子设备制造业规模以上工业企业个人资本金,通用设备制造业规模以上工业企业个人资本金,造纸和纸制品业规模以上工业企业个人资本金,酒、饮料和精制茶制造业规模以上工业企业个人资本金,金属制品、机械和设备修理业规模以上工业企业个人资本金,金属制品业规模以上工业企业个人资本金,铁路、船舶、航空航天和其他运输设备规模以上工业企业个人资本金,非金属矿物制品业规模以上工业企业个人资本金,非金属矿采选业规模以上工业企业个人资本金,食品制造业规模以上工业企业个人资本金,黑色金属冶炼和压延加工业规模以上工业企业个人资本金,黑色金属矿采选业规模以上工业企业个人资本金
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1305.22469,362.29361,73.19791,2.51981,1707.13597,2386.74331,289.82766,860.73674,250.4298,337.11625,78.11502,13.5452,320.4334,933.68423,252.36844,526.37777,1055.74735,36.50901,838.53384,2.56223,851.89521,44.58215,507.73805,2667.63286,349.26909,534.35953,5.48992,1626.89007,628.12438,30627.46149,1111.04954,1898.57979,623.84363,472.22596,35.02287,1405.47136,412.55407,2708.9912,221.15286,562.63239,1956.40258,370.45174
2013年,1668.15,410.79,90.75,6.03,3564.48,2845.95,328.63,1078.21,311.65,439.47,103.0,17.24,419.88,1169.69,278.69,633.61,1268.28,50.32,998.06,1.78,942.81,46.83,488.3,3467.25,956.68,936.53,11.75,1954.66,748.49,38806.07,1167.36,2253.43,560.17,771.83,30.15,1620.97,481.81,3041.76,268.51,716.44,2227.99,427.68
2014年,2020.12,469.21,144.23,2.49,2411.46,3224.15,355.13,2230.3,380.9,467.82,129.63,21.34,521.21,1147.79,290.07,810.07,1514.35,74.46,1132.07,1.09,1028.59,78.65,547.8,3494.87,505.8,679.26,10.57,2134.42,899.73,42257.57,1324.31,2869.48,629.2,700.84,32.73,1843.1,536.26,3763.92,269.69,820.44,2208.55,531.47
