,专用设备制造业规模以上工业企业销售费用,仪器仪表制造业规模以上工业企业销售费用,其他制造业规模以上工业企业销售费用,其他采矿业规模以上工业企业销售费用,农副食品加工业规模以上工业企业销售费用,化学原料和化学制品制造业规模以上工业企业销售费用,化学纤维制造业规模以上工业企业销售费用,医药制造业规模以上工业企业销售费用,印刷和记录媒介复制业规模以上工业企业销售费用,家具制造业规模以上工业企业销售费用,废弃资源综合利用业规模以上工业企业销售费用,开采辅助活动规模以上工业企业销售费用,文教、工美、体育和娱乐用品制造业规模以上工业企业销售费用,有色金属冶炼和压延加工业规模以上工业企业销售费用,有色金属矿采选业规模以上工业企业销售费用,木材加工和木、竹、藤、棕、草制品业规模以上工业企业销售费用,橡胶和塑料制品业规模以上工业企业销售费用,水的生产和供应业规模以上工业企业销售费用,汽车制造业规模以上工业企业销售费用,烟草制品业规模以上工业企业销售费用,煤炭开采和洗选业规模以上工业企业销售费用,燃气生产和供应业规模以上工业企业销售费用,电力、热力生产和供应业规模以上工业企业销售费用,电气机械和器材制造业规模以上工业企业销售费用,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业销售费用,石油加工、炼焦和核燃料加工业规模以上工业企业销售费用,石油和天然气开采业规模以上工业企业销售费用,纺织业规模以上工业企业销售费用,纺织服装、服饰业规模以上工业企业销售费用,规模以上工业企业销售费用,计算机、通信和其他电子设备制造业规模以上工业企业销售费用,通用设备制造业规模以上工业企业销售费用,造纸和纸制品业规模以上工业企业销售费用,酒、饮料和精制茶制造业规模以上工业企业销售费用,金属制品、机械和设备修理业规模以上工业企业销售费用,金属制品业规模以上工业企业销售费用,铁路、船舶、航空航天和其他运输设备规模以上工业企业销售费用,非金属矿物制品业规模以上工业企业销售费用,非金属矿采选业规模以上工业企业销售费用,食品制造业规模以上工业企业销售费用,黑色金属冶炼和压延加工业规模以上工业企业销售费用,黑色金属矿采选业规模以上工业企业销售费用
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,881.90968,238.41092,50.85382,0.88547,1082.85903,1893.3211,62.1968,1977.39418,119.22971,191.30155,29.08444,13.05187,216.6902,331.95663,78.5822,238.79246,578.19374,81.7437,1577.89356,153.21105,908.33554,102.52967,175.92378,1864.44658,283.67961,309.90273,47.06284,458.55783,625.93537,22908.73516,1583.00905,1097.13368,332.87919,1064.72322,18.62101,574.95118,260.88295,1210.84697,147.53513,1209.66528,694.85352,139.69792
2013年,980.6,267.43,59.68,1.23,1281.2,2081.34,68.35,2357.13,151.62,231.61,35.52,6.04,278.19,386.26,82.25,279.14,657.32,90.69,1942.59,154.2,856.52,115.52,166.08,2133.19,312.07,333.43,48.52,506.27,661.8,25945.22,1761.03,1245.28,354.14,1230.06,19.31,669.35,273.33,1412.88,180.16,1375.51,749.14,149.22
2014年,1024.32,306.32,64.17,1.77,1306.33,2361.23,75.98,2719.26,172.23,257.5,35.4,5.82,318.98,416.1,86.18,309.78,713.8,100.52,2081.34,146.34,809.48,134.38,152.4,2355.86,334.94,364.95,48.83,556.18,699.2,28001.07,1862.26,1329.17,373.44,1283.99,12.26,726.2,317.38,1556.25,197.02,1439.57,792.49,151.45
