,国外主要检索工具收录中医学科技论文篇数,国外主要检索工具收录临床医学科技论文篇数,国外主要检索工具收录交通运输科技论文篇数,国外主要检索工具收录信息、系统科学科技论文篇数,国外主要检索工具收录其他学科科技论文篇数,国外主要检索工具收录军事医学与特种医学科技论文篇数,国外主要检索工具收录农学科技论文篇数,国外主要检索工具收录冶金、金属学科技论文篇数,国外主要检索工具收录力学科技论文篇数,国外主要检索工具收录动力与电气科技论文篇数,国外主要检索工具收录化学科技论文篇数,国外主要检索工具收录化工科技论文篇数,国外主要检索工具收录土木建筑科技论文篇数,国外主要检索工具收录地学科技论文篇数,国外主要检索工具收录基础医学科技论文篇数,国外主要检索工具收录天文学科技论文篇数,国外主要检索工具收录安全科学技术科技论文篇数,国外主要检索工具收录工程与技术基础学科科技论文篇数,国外主要检索工具收录数学科技论文篇数,国外主要检索工具收录机械、仪表科技论文篇数,国外主要检索工具收录材料科学科技论文篇数,国外主要检索工具收录林学科技论文篇数,国外主要检索工具收录核科学技术科技论文篇数,国外主要检索工具收录水产学科技论文篇数,国外主要检索工具收录水利科技论文篇数,国外主要检索工具收录测绘科学技术科技论文篇数,国外主要检索工具收录物理学科技论文篇数,国外主要检索工具收录环境科技论文篇数,国外主要检索工具收录生物学科技论文篇数,国外主要检索工具收录电子、通讯与自动控制科技论文篇数,国外主要检索工具收录畜牧、兽医科学科技论文篇数,国外主要检索工具收录矿山工程技术科技论文篇数,国外主要检索工具收录科技论文数,国外主要检索工具收录管理科技论文篇数,国外主要检索工具收录能源科学技术科技论文篇数,国外主要检索工具收录航空航天科技论文篇数,国外主要检索工具收录药学科技论文篇数,国外主要检索工具收录计算技术科技论文篇数,国外主要检索工具收录轻工、纺织科技论文篇数,国外主要检索工具收录预防医学与卫生学科技论文篇数,国外主要检索工具收录食品科技论文篇数
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,9.0,3677.0,1224.0,1862.0,16.0,253.0,1048.0,3494.0,2852.0,7346.0,27977.0,4348.0,3052.0,4816.0,2240.0,523.0,1076.0,1103.0,6043.0,3909.0,12065.0,76.0,333.0,213.0,660.0,2720.0,16616.0,2259.0,8039.0,12668.0,196.0,597.0,152825.0,1662.0,1937.0,951.0,886.0,13433.0,140.0,321.0,185.0
2006年,,3903.0,1261.0,854.0,763.0,279.0,1569.0,3706.0,3016.0,6618.0,30815.0,4220.0,4368.0,5111.0,2780.0,876.0,239.0,2052.0,6893.0,3499.0,11043.0,39.0,335.0,178.0,357.0,174.0,19051.0,3301.0,9584.0,18736.0,39.0,780.0,171748.0,2284.0,1543.0,1304.0,569.0,19194.0,28.0,170.0,217.0
2007年,63.0,5377.0,1232.0,802.0,49.0,38.0,1233.0,6307.0,1822.0,8240.0,28115.0,1332.0,6859.0,6410.0,3107.0,827.0,522.0,1466.0,7836.0,5197.0,18399.0,65.0,447.0,293.0,726.0,798.0,20181.0,4135.0,13107.0,16533.0,63.0,1911.0,196629.0,2726.0,3195.0,1169.0,1193.0,23892.0,130.0,564.0,268.0
2008年,,6201.0,1031.0,1429.0,373.0,525.0,2624.0,4680.0,8878.0,5209.0,33040.0,3456.0,6299.0,6708.0,5468.0,966.0,390.0,1909.0,13273.0,6148.0,19756.0,106.0,467.0,324.0,584.0,476.0,24743.0,5922.0,13034.0,29820.0,105.0,1026.0,240186.0,4388.0,3369.0,1859.0,1790.0,22251.0,197.0,470.0,892.0
2009年,155.0,7128.0,1002.0,447.0,4471.0,25.0,1844.0,2644.0,12837.0,3281.0,42041.0,4267.0,4416.0,4827.0,5534.0,1057.0,4446.0,4972.0,15952.0,8068.0,18210.0,107.0,575.0,267.0,431.0,384.0,26304.0,619.0,15237.0,23709.0,544.0,464.0,253982.0,2854.0,2760.0,1147.0,1317.0,28009.0,87.0,657.0,886.0
2010年,450.0,9527.0,1107.0,8695.0,5583.0,333.0,3227.0,3129.0,11425.0,3986.0,44551.0,4443.0,8571.0,7691.0,8707.0,1048.0,615.0,5501.0,18859.0,10385.0,28158.0,140.0,495.0,353.0,612.0,626.0,32351.0,6075.0,19004.0,29068.0,578.0,345.0,320354.0,5003.0,4665.0,1841.0,1396.0,29426.0,103.0,1244.0,1038.0
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
