,国外主要检索工具收录中医学科技论文位次,国外主要检索工具收录临床医学科技论文位次,国外主要检索工具收录交通运输科技论文位次,国外主要检索工具收录信息、系统科学科技论文位次,国外主要检索工具收录其他学科科技论文位次,国外主要检索工具收录军事医学与特种医学科技论文位次,国外主要检索工具收录农学科技论文位次,国外主要检索工具收录冶金、金属学科技论文位次,国外主要检索工具收录力学科技论文位次,国外主要检索工具收录动力与电气科技论文位次,国外主要检索工具收录化学科技论文位次,国外主要检索工具收录化工科技论文位次,国外主要检索工具收录土木建筑科技论文位次,国外主要检索工具收录地学科技论文位次,国外主要检索工具收录基础医学科技论文位次,国外主要检索工具收录天文学科技论文位次,国外主要检索工具收录安全科学技术科技论文位次,国外主要检索工具收录工程与技术基础学科科技论文位次,国外主要检索工具收录数学科技论文位次,国外主要检索工具收录机械、仪表科技论文位次,国外主要检索工具收录材料科学科技论文位次,国外主要检索工具收录林学科技论文位次,国外主要检索工具收录核科学技术科技论文位次,国外主要检索工具收录水产学科技论文位次,国外主要检索工具收录水利科技论文位次,国外主要检索工具收录测绘科学技术科技论文位次,国外主要检索工具收录物理学科技论文位次,国外主要检索工具收录环境科技论文位次,国外主要检索工具收录生物学科技论文位次,国外主要检索工具收录电子、通讯与自动控制科技论文位次,国外主要检索工具收录畜牧、兽医科学科技论文位次,国外主要检索工具收录矿山工程技术科技论文位次,国外主要检索工具收录管理科技论文位次,国外主要检索工具收录能源科学技术科技论文位次,国外主要检索工具收录航空航天科技论文位次,国外主要检索工具收录药学科技论文位次,国外主要检索工具收录计算技术科技论文位次,国外主要检索工具收录轻工、纺织科技论文位次,国外主要检索工具收录预防医学与卫生学科技论文位次,国外主要检索工具收录食品科技论文位次
2005年,40.0,12.0,22.0,20.0,39.0,33.0,25.0,13.0,15.0,7.0,1.0,10.0,14.0,9.0,18.0,30.0,24.0,23.0,8.0,11.0,5.0,38.0,31.0,34.0,28.0,16.0,2.0,17.0,6.0,4.0,35.0,29.0,21.0,19.0,26.0,27.0,3.0,37.0,32.0,36.0
2006年,40.0,12.0,23.0,25.0,27.0,31.0,20.0,13.0,16.0,8.0,1.0,11.0,10.0,9.0,17.0,24.0,32.0,19.0,7.0,14.0,5.0,37.0,30.0,34.0,29.0,35.0,3.0,15.0,6.0,4.0,37.0,26.0,18.0,21.0,22.0,28.0,2.0,39.0,36.0,33.0
2007年,37.0,12.0,23.0,27.0,39.0,40.0,22.0,11.0,19.0,7.0,1.0,21.0,9.0,10.0,16.0,26.0,31.0,20.0,8.0,13.0,4.0,36.0,32.0,33.0,29.0,28.0,3.0,14.0,6.0,5.0,37.0,18.0,17.0,15.0,25.0,24.0,2.0,35.0,30.0,34.0
2008年,40.0,11.0,25.0,24.0,35.0,30.0,20.0,16.0,8.0,15.0,1.0,18.0,10.0,9.0,14.0,27.0,34.0,21.0,6.0,12.0,5.0,38.0,33.0,36.0,29.0,31.0,3.0,13.0,7.0,2.0,39.0,26.0,17.0,19.0,22.0,23.0,4.0,37.0,32.0,28.0
2009年,37.0,10.0,26.0,33.0,14.0,40.0,22.0,21.0,8.0,18.0,1.0,17.0,16.0,13.0,11.0,25.0,15.0,12.0,6.0,9.0,5.0,38.0,30.0,36.0,34.0,35.0,3.0,29.0,7.0,4.0,31.0,32.0,19.0,20.0,24.0,23.0,2.0,39.0,28.0,27.0
2010年,35.0,10.0,27.0,12.0,16.0,38.0,22.0,23.0,8.0,21.0,1.0,20.0,13.0,14.0,11.0,28.0,31.0,17.0,7.0,9.0,5.0,39.0,34.0,36.0,32.0,30.0,2.0,15.0,6.0,4.0,33.0,37.0,18.0,19.0,24.0,25.0,3.0,40.0,26.0,29.0
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
