,SCI收录中医学科技论文篇数,SCI收录临床医学科技论文篇数,SCI收录交通运输科技论文篇数,SCI收录信息、系统科学科技论文篇数,SCI收录其他学科科技论文篇数,SCI收录军事医学与特种医学科技论文篇数,SCI收录农学科技论文篇数,SCI收录冶金、金属学科技论文篇数,SCI收录力学科技论文篇数,SCI收录动力与电气科技论文篇数,SCI收录化学科技论文篇数,SCI收录化工科技论文篇数,SCI收录土木建筑科技论文篇数,SCI收录地学科技论文篇数,SCI收录基础医学科技论文篇数,SCI收录天文学科技论文篇数,SCI收录安全科学技术科技论文篇数,SCI收录工程与技术基础学科科技论文篇数,SCI收录数学科技论文篇数,SCI收录机械、仪表科技论文篇数,SCI收录材料科学科技论文篇数,SCI收录林学科技论文篇数,SCI收录核科学技术科技论文篇数,SCI收录水产学科技论文篇数,SCI收录水利科技论文篇数,SCI收录测绘科学技术科技论文篇数,SCI收录物理学科技论文篇数,SCI收录环境科技论文篇数,SCI收录生物学科技论文篇数,SCI收录电子、通讯与自动控制科技论文篇数,SCI收录畜牧、兽医科学科技论文篇数,SCI收录矿山工程技术科技论文篇数,SCI收录科技论文篇数,SCI收录管理科技论文篇数,SCI收录能源科学技术科技论文篇数,SCI收录航空航天科技论文篇数,SCI收录药学科技论文篇数,SCI收录计算技术科技论文篇数,SCI收录轻工、纺织科技论文篇数,SCI收录预防医学与卫生学科技论文篇数,SCI收录食品科技论文篇数
2005年,7.0,2393.0,4.0,292.0,15.0,253.0,678.0,1132.0,369.0,1502.0,18656.0,1006.0,352.0,1989.0,1698.0,339.0,24.0,160.0,3063.0,968.0,6657.0,46.0,58.0,192.0,3.0,2.0,9351.0,981.0,4963.0,444.0,193.0,14.0,63150.0,64.0,119.0,65.0,864.0,3844.0,1.0,300.0,89.0
2006年,,3196.0,2.0,6.0,274.0,92.0,1166.0,1218.0,224.0,11.0,20317.0,936.0,351.0,2044.0,1692.0,622.0,7.0,651.0,3670.0,763.0,5929.0,33.0,87.0,171.0,11.0,,10239.0,1516.0,7076.0,2468.0,38.0,12.0,71351.0,155.0,333.0,101.0,505.0,5157.0,,156.0,122.0
2007年,63.0,4831.0,7.0,355.0,39.0,38.0,993.0,1137.0,270.0,38.0,23356.0,951.0,428.0,3039.0,2077.0,611.0,18.0,65.0,4565.0,1210.0,7501.0,64.0,188.0,276.0,53.0,1.0,10966.0,1797.0,7667.0,2847.0,63.0,22.0,79669.0,190.0,398.0,108.0,1102.0,1770.0,1.0,361.0,203.0
2008年,,6068.0,13.0,312.0,129.0,525.0,1707.0,1143.0,473.0,25.0,23734.0,1617.0,484.0,3351.0,4220.0,667.0,1.0,411.0,5281.0,1472.0,7516.0,92.0,198.0,318.0,40.0,,13426.0,2439.0,10081.0,3302.0,104.0,28.0,95506.0,243.0,778.0,371.0,1788.0,2040.0,6.0,454.0,649.0
2009年,155.0,7015.0,9.0,447.0,179.0,25.0,1273.0,1226.0,514.0,13.0,28799.0,1426.0,727.0,3509.0,4880.0,822.0,3288.0,1478.0,5620.0,1504.0,6860.0,93.0,372.0,265.0,65.0,2.0,13927.0,3.0,13122.0,4324.0,544.0,72.0,108806.0,191.0,759.0,283.0,1312.0,2736.0,3.0,573.0,391.0
2010年,281.0,7767.0,20.0,642.0,93.0,332.0,1996.0,1516.0,444.0,8.0,30898.0,1413.0,791.0,4084.0,5269.0,836.0,4.0,1311.0,6211.0,1652.0,8653.0,126.0,172.0,345.0,73.0,,14707.0,3729.0,16289.0,5070.0,573.0,77.0,121530.0,185.0,941.0,318.0,1134.0,2241.0,,718.0,611.0
2011年,355.0,10591.0,206.0,1039.0,41.0,117.0,2819.0,3665.0,1170.0,343.0,26628.0,2292.0,500.0,3641.0,5947.0,1003.0,34.0,2141.0,6583.0,1668.0,12512.0,188.0,238.0,720.0,588.0,3.0,16677.0,4178.0,14320.0,3383.0,384.0,99.0,136445.0,431.0,2079.0,226.0,4167.0,3236.0,2.0,925.0,1306.0
2012年,813.0,14757.0,65.0,1228.0,47.0,106.0,2280.0,1698.0,1650.0,809.0,33384.0,2366.0,793.0,4987.0,7478.0,1092.0,361.0,541.0,7190.0,1656.0,13242.0,279.0,333.0,499.0,841.0,13.0,18822.0,3842.0,16731.0,5447.0,989.0,85.0,158615.0,157.0,2275.0,299.0,3739.0,5051.0,20.0,1094.0,1556.0
2013年,1014.0,18632.0,376.0,701.0,221.0,173.0,2561.0,1840.0,1819.0,728.0,36201.0,2637.0,1060.0,6689.0,9411.0,1201.0,4820.0,725.0,8934.0,2761.0,16272.0,368.0,450.0,788.0,864.0,9.0,24453.0,22.0,21518.0,6584.0,895.0,131.0,192697.0,256.0,3013.0,451.0,4149.0,6665.0,4.0,1444.0,1857.0
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
