,交通运输、仓储和邮政业研究与试验发展人员劳务费支出,交通运输、仓储和邮政业研究与试验发展仪器和设备经费支出,交通运输、仓储和邮政业研究与试验发展日常性经费支出,交通运输、仓储和邮政业研究与试验发展资产性经费支出,信息传输、计算机服务和软件业研究与试验发展人员劳务费支出,信息传输、计算机服务和软件业研究与试验发展仪器和设备经费支出,信息传输、计算机服务和软件业研究与试验发展日常性经费支出,信息传输、计算机服务和软件业研究与试验发展资产性经费支出,农、林、牧、渔业研究与试验发展人员劳务费支出,农、林、牧、渔业研究与试验发展仪器和设备经费支出,农、林、牧、渔业研究与试验发展日常性经费支出,农、林、牧、渔业研究与试验发展资产性经费支出,制造业研究与试验发展人员劳务费支出,制造业研究与试验发展仪器和设备经费支出,制造业研究与试验发展日常性经费支出,制造业研究与试验发展资产性经费支出,卫生、社会保障和社会福利业研究与试验发展人员劳务费支出,卫生、社会保障和社会福利业研究与试验发展仪器和设备经费支出,卫生、社会保障和社会福利业研究与试验发展日常性经费支出,卫生、社会保障和社会福利业研究与试验发展资产性经费支出,建筑业研究与试验发展人员劳务费支出,建筑业研究与试验发展仪器和设备经费支出,建筑业研究与试验发展日常性经费支出,建筑业研究与试验发展资产性经费支出,教育研究与试验发展人员劳务费支出,教育研究与试验发展仪器和设备经费支出,教育研究与试验发展日常性经费支出,教育研究与试验发展资产性经费支出,文化、体育和娱乐业研究与试验发展人员劳务费支出,文化、体育和娱乐业研究与试验发展仪器和设备经费支出,文化、体育和娱乐业研究与试验发展日常性经费支出,文化、体育和娱乐业研究与试验发展资产性经费支出,水利、环境和公共设施管理业研究与试验发展人员劳务费支出,水利、环境和公共设施管理业研究与试验发展仪器和设备经费支出,水利、环境和公共设施管理业研究与试验发展日常性经费支出,水利、环境和公共设施管理业研究与试验发展资产性经费支出,电力、燃气及水的生产和供应业研究与试验发展人员劳务费支出,电力、燃气及水的生产和供应业研究与试验发展仪器和设备经费支出,电力、燃气及水的生产和供应业研究与试验发展日常性经费支出,电力、燃气及水的生产和供应业研究与试验发展资产性经费支出,研究与试验发展人员劳务费支出,研究与试验发展仪器和设备经费支出,研究与试验发展日常性经费支出,研究与试验发展资产性经费支出,科学研究、技术服务和地质勘查业研究与试验发展人员劳务费支出,科学研究、技术服务和地质勘查业研究与试验发展仪器和设备经费支出,科学研究、技术服务和地质勘查业研究与试验发展日常性经费支出,科学研究、技术服务和地质勘查业研究与试验发展资产性经费支出,租赁和商务服务业研究与试验发展人员劳务费支出,租赁和商务服务业研究与试验发展仪器和设备经费支出,租赁和商务服务业研究与试验发展日常性经费支出,租赁和商务服务业研究与试验发展资产性经费支出,采矿业研究与试验发展人员劳务费支出,采矿业研究与试验发展仪器和设备经费支出,采矿业研究与试验发展日常性经费支出,采矿业研究与试验发展资产性经费支出,金融业研究与试验发展人员劳务费支出,金融业研究与试验发展仪器和设备经费支出,金融业研究与试验发展日常性经费支出,金融业研究与试验发展资产性经费支出
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,3.56637,1.48832,8.80131,1.83318,88.34784,10.66316,146.47625,11.04106,3.33423,1.97115,10.71772,2.73455,893.9214,416.14065,3131.29488,439.98458,33.72845,14.87383,53.0341,15.94782,35.23256,14.56955,119.40718,15.71681,76.76945,67.48475,367.72188,83.81363,0.78032,0.25984,1.36578,0.26127,0.84989,0.31205,2.1991,0.34735,8.37412,5.03632,28.99686,5.15831,1431.46051,748.38271,4868.78926,933.31765,220.86744,191.44899,808.79551,329.89503,14.72956,3.63414,40.9838,4.2243,50.60982,20.15045,148.27433,22.00233,0.34906,0.34951,0.72056,0.35743
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667.0047,934.8058,5925.2528,1137.3248,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2104.4229,1150.3996,7335.3585,1351.6535,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
