,交通运输、仓储和邮政业研究与试验发展项目(课题)人员全时当量,交通运输、仓储和邮政业研究与试验发展项目(课题)数,交通运输、仓储和邮政业研究与试验发展项目(课题)经费支出,信息传输、计算机服务和软件业研究与试验发展项目(课题)人员全时当量,信息传输、计算机服务和软件业研究与试验发展项目(课题)数,信息传输、计算机服务和软件业研究与试验发展项目(课题)经费支出,农、林、牧、渔业研究与试验发展项目(课题)人员全时当量,农、林、牧、渔业研究与试验发展项目(课题)数,农、林、牧、渔业研究与试验发展项目(课题)经费支出,制造业研究与试验发展项目(课题)人员全时当量,制造业研究与试验发展项目(课题)数,制造业研究与试验发展项目(课题)经费支出,卫生、社会保障和社会福利业研究与试验发展项目(课题)人员全时当量,卫生、社会保障和社会福利业研究与试验发展项目(课题)数,卫生、社会保障和社会福利业研究与试验发展项目(课题)经费支出,建筑业研究与试验发展项目(课题)人员全时当量,建筑业研究与试验发展项目(课题)数,建筑业研究与试验发展项目(课题)经费支出,教育研究与试验发展项目(课题)人员全时当量,教育研究与试验发展项目(课题)数,教育研究与试验发展项目(课题)经费支出,文化、体育和娱乐业研究与试验发展项目(课题)人员全时当量,文化、体育和娱乐业研究与试验发展项目(课题)数,文化、体育和娱乐业研究与试验发展项目(课题)经费支出,水利、环境和公共设施管理业研究与试验发展项目(课题)人员全时当量,水利、环境和公共设施管理业研究与试验发展项目(课题)数,水利、环境和公共设施管理业研究与试验发展项目(课题)经费支出,电力、燃气及水的生产和供应业研究与试验发展项目(课题)人员全时当量,电力、燃气及水的生产和供应业研究与试验发展项目(课题)数,电力、燃气及水的生产和供应业研究与试验发展项目(课题)经费支出,研究与试验发展项目(课题)人员全时当量,研究与试验发展项目(课题)数,研究与试验发展项目(课题)经费支出,科学研究、技术服务和地质勘查业研究与试验发展项目(课题)人员全时当量,科学研究、技术服务和地质勘查业研究与试验发展项目(课题)数,科学研究、技术服务和地质勘查业研究与试验发展项目(课题)经费支出,租赁和商务服务业研究与试验发展项目(课题)人员全时当量,租赁和商务服务业研究与试验发展项目(课题)数,租赁和商务服务业研究与试验发展项目(课题)经费支出,采矿业研究与试验发展项目(课题)人员全时当量,采矿业研究与试验发展项目(课题)数,采矿业研究与试验发展项目(课题)经费支出,金融业研究与试验发展项目(课题)人员全时当量,金融业研究与试验发展项目(课题)数,金融业研究与试验发展项目(课题)经费支出
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,0.42425,1164.0,7.63968,6.93973,7113.0,140.851427,1.0606,2187.0,9.504704,115.312,184631.0,3035.50643,9.33644,40869.0,30.43767,5.03756,6581.0,103.309953,24.08995,451034.0,352.688199,0.08797,326.0,0.687828,0.19528,496.0,1.696732,1.2489,2578.0,22.68032,200.01743,775316.0,4549.273795,28.16085,69345.0,676.710822,1.7516,1648.0,39.31711,6.3458,7191.0,127.67885,0.0265,153.0,0.56407
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
