,交通运输、仓储和邮政业基础研究经费支出,交通运输、仓储和邮政业应用研究经费支出,交通运输、仓储和邮政业研究与试验发展经费支出,交通运输、仓储和邮政业试验发展经费支出,信息传输、计算机服务和软件业基础研究经费支出,信息传输、计算机服务和软件业应用研究经费支出,信息传输、计算机服务和软件业研究与试验发展经费支出,信息传输、计算机服务和软件业试验发展经费支出,农、林、牧、渔业基础研究经费支出,农、林、牧、渔业应用研究经费支出,农、林、牧、渔业研究与试验发展经费支出,农、林、牧、渔业试验发展经费支出,制造业基础研究经费支出,制造业应用研究经费支出,制造业研究与试验发展经费支出,制造业试验发展经费支出,卫生、社会保障和社会福利业基础研究经费支出,卫生、社会保障和社会福利业应用研究经费支出,卫生、社会保障和社会福利业研究与试验发展经费支出,卫生、社会保障和社会福利业试验发展经费支出,建筑业基础研究经费支出,建筑业应用研究经费支出,建筑业研究与试验发展经费支出,建筑业试验发展经费支出,教育基础研究经费支出,教育应用研究经费支出,教育研究与试验发展经费支出,教育试验发展经费支出,文化、体育和娱乐业基础研究经费支出,文化、体育和娱乐业应用研究经费支出,文化、体育和娱乐业研究与试验发展经费支出,文化、体育和娱乐业试验发展经费支出,水利、环境和公共设施管理业基础研究经费支出,水利、环境和公共设施管理业应用研究经费支出,水利、环境和公共设施管理业研究与试验发展经费支出,水利、环境和公共设施管理业试验发展经费支出,电力、燃气及水的生产和供应业基础研究经费支出,电力、燃气及水的生产和供应业应用研究经费支出,电力、燃气及水的生产和供应业研究与试验发展经费支出,电力、燃气及水的生产和供应业试验发展经费支出,科学研究、技术服务和地质勘查业基础研究经费支出,科学研究、技术服务和地质勘查业应用研究经费支出,科学研究、技术服务和地质勘查业研究与试验发展经费支出,科学研究、技术服务和地质勘查业试验发展经费支出,租赁和商务服务业基础研究经费支出,租赁和商务服务业应用研究经费支出,租赁和商务服务业研究与试验发展经费支出,租赁和商务服务业试验发展经费支出,采矿业基础研究经费支出,采矿业应用研究经费支出,采矿业研究与试验发展经费支出,采矿业试验发展经费支出,金融业基础研究经费支出,金融业应用研究经费支出,金融业研究与试验发展经费支出,金融业试验发展经费支出
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,0.08383,0.36807,10.63449,10.18259,0.11639,5.91083,157.51731,151.49009,0.28793,0.71062,13.45227,12.45372,2.11843,41.47759,3571.27946,3527.68344,12.67047,41.69409,68.98192,14.61736,0.09899,13.0585,135.12399,121.9665,139.36938,239.75181,451.53541,72.41402,0.43401,0.51069,1.62705,0.68235,0.28792,0.99694,2.54645,1.26159,0.0029,0.87451,34.15517,33.27776,114.51368,373.09958,1138.69054,651.07728,0.02402,1.69949,45.2081,43.48459,0.27765,10.59954,170.27666,159.39947,0.0001,0.03922,1.07799,1.03867
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
