,专用设备制造业大中型工业企业主营业务收入,交通运输设备制造业大中型工业企业主营业务收入,仪器仪表及文化、办公用机械制造业大中型工业企业主营业务收入,其他采矿业大中型工业企业主营业务收入,农副食品加工业大中型工业企业主营业务收入,化学原料及化学制品制造业大中型工业企业主营业务收入,化学纤维制造业大中型工业企业主营业务收入,医药制造业大中型工业企业主营业务收入,印刷业和记录媒介的复制大中型工业企业主营业务收入,塑料制品业大中型工业企业主营业务收入,大中型工业企业主营业务收入,家具制造业大中型工业企业主营业务收入,工艺品及其他制造业大中型工业企业主营业务收入,废弃资源和废旧材料回收加工业大中型工业企业主营业务收入,文教体育用品制造业大中型工业企业主营业务收入,有色金属冶炼及压延加工业大中型工业企业主营业务收入,有色金属矿采选业大中型工业企业主营业务收入,木材加工及木、竹、藤、棕、草制品业大中型工业企业主营业务收入,橡胶制品业大中型工业企业主营业务收入,水的生产和供应业大中型工业企业主营业务收入,烟草制品业大中型工业企业主营业务收入,煤炭开采和洗选业大中型工业企业主营业务收入,燃气生产和供应业大中型工业企业主营业务收入,电力、热力的生产和供应业大中型工业企业主营业务收入,电气机械及器材制造业大中型工业企业主营业务收入,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业主营业务收入,石油加工、炼焦及核燃料加工业大中型工业企业主营业务收入,石油和天然气开采业大中型工业企业主营业务收入,纺织业大中型工业企业主营业务收入,纺织服装、鞋、帽制造业大中型工业企业主营业务收入,通信设备、计算机及其他电子设备制造大中型工业企业主营业务收入,通用设备制造业大中型工业企业主营业务收入,造纸及纸制品业大中型工业企业主营业务收入,金属制品业大中型工业企业主营业务收入,非金属矿物制品业大中型工业企业主营业务收入,非金属矿采选业大中型工业企业主营业务收入,食品制造业大中型工业企业主营业务收入,饮料制造业大中型工业企业主营业务收入,黑色金属冶炼及压延加工业大中型工业企业主营业务收入,黑色金属矿采选业大中型工业企业主营业务收入
2003年,2353.73303,9283.65449,1068.28687,11.50065,2524.02478,5514.15842,1107.32958,1944.13621,408.89922,1203.67031,99710.07,326.54919,395.42901,12.82137,449.89761,2344.09961,289.04482,332.47225,862.43861,234.43052,2175.78944,2021.0236,231.47806,9628.66148,4916.35144,1101.29011,5793.10027,3207.54486,4403.86611,1348.83208,13815.38508,3060.17126,1337.55987,1509.04912,2447.98023,161.12213,1300.50864,1552.97614,8834.09058,196.70949
2004年,2805.77,10857.36,1414.17,3.77,3466.7,7398.12,1377.26,1979.68,450.76,1500.5,134039.04,539.28,619.82,36.76,576.88,3553.34,443.9,398.52,1167.86,269.33,2532.62,3203.41,299.42,13540.8,6779.04,1207.89,8091.83,4232.97,5076.54,1529.33,19952.27,4177.39,1681.21,1939.93,3042.18,179.2,1680.37,1670.91,14000.89,361.07
2005年,3466.5343,12621.73002,1807.98665,4.56859,4359.02114,9465.26956,2008.96159,2674.6631,571.17274,1897.4888,169237.88,662.83891,780.6684,35.51948,704.77135,4847.54482,631.4703,497.77723,1470.0788,282.55137,2803.8683,4461.38203,357.6824,16190.37353,8687.24278,1669.9777,10851.36863,5804.6836,6670.7251,2076.78504,23995.89335,5491.75193,2162.89998,2641.81753,3808.22126,214.23324,2207.94739,2159.4222,17740.46682,450.51511
2006年,4483.18519,16213.53275,2348.39042,0.0,5265.02533,11544.74988,2457.98915,3013.30128,658.66043,2311.35347,210877.13,897.29376,1012.691,65.57261,829.95219,7993.58113,953.4289,653.40968,1756.67402,366.09254,3141.0858,5523.17648,420.57691,19302.65027,11274.6457,1964.79948,13458.98597,7374.15287,7786.00635,2710.47691,29336.6255,7063.21913,2654.03662,3479.52355,4745.21436,289.22118,2722.54811,2705.66246,21473.4119,626.22835
2007年,5779.65088,21411.1573,2829.07656,,7065.69874,14613.79863,3134.30176,3721.84182,810.84593,2784.09586,264015.82,1104.37834,1313.38077,101.43517,964.99555,11020.86054,1141.0563,922.61136,2206.50193,414.6606,3704.81955,6888.92312,577.66855,22545.47886,14882.43667,2514.29532,15976.10948,8057.2913,9104.12717,3347.12989,35118.26436,9003.49314,3300.52796,4439.91481,6130.38844,326.71199,3364.0992,3388.30508,29125.5188,879.96358
2008年,7657.49615,25820.34513,3094.3957,,9422.42313,17619.34289,2871.86393,4518.32534,907.71257,3142.40762,318812.46,1236.2993,1570.97424,281.01802,1096.94605,12359.08474,1347.96091,1082.12047,2536.41379,446.01785,4207.03064,10913.88563,756.98266,25995.02221,18299.44339,2838.42213,20174.20813,10644.99611,9730.22041,3919.21307,37946.20239,11010.74739,3771.44629,5415.9339,7867.52989,447.92511,4162.38708,3945.38046,38200.24356,1554.09164
2009年,8614.65003,32379.54645,2985.35169,,10906.18567,18345.37442,2787.48903,5487.81459,966.46665,3247.70757,335751.14,1270.94091,1753.62172,243.76973,1087.62005,12536.33616,1382.78276,1225.99166,2817.64198,508.22644,4819.62051,12307.05073,853.1364,29244.46606,19595.15475,3141.74328,18576.12743,7482.15633,10340.03484,4302.0206,38763.14341,11694.72903,3883.50342,5337.27976,8779.14439,526.85008,4915.95078,4743.2239,36555.58981,1342.69383
2010年,11517.72685,44500.33888,3885.85821,3.0,13998.97119,24698.2799,3822.56465,6868.2422,1116.61678,4253.45585,439013.72,1766.90801,2453.83691,685.84027,1312.23232,17876.42403,1848.37693,1524.3111,3620.31435,608.40363,5588.63413,16987.1626,1337.23286,35316.4687,26585.00291,4146.88776,25966.25782,10113.17733,13338.55221,5170.26412,48553.69988,15233.75924,5098.87462,7195.1428,11569.1615,584.69398,6097.71306,5695.07965,45298.59662,2775.65812
2011年,14529.42332,51937.87686,4799.29806,0.61567,19438.53842,33185.63421,5066.51836,9013.15953,1484.59765,5615.61491,554055.83,2442.41193,3836.15896,992.37317,1730.86206,23279.50628,2319.31108,2292.60871,4978.5936,670.29781,6345.83258,23672.28765,1694.50903,41288.74544,32745.94515,5456.3516,33022.36709,12612.42082,17797.32666,7822.64879,56614.68387,19431.21956,6245.32869,9439.58691,16366.72877,1155.94142,8327.67607,7765.31006,54831.92456,3805.59524
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
