,专用设备制造业大中型工业企业港澳台资本金,交通运输设备制造业大中型工业企业港澳台资本金,仪器仪表及文化、办公用机械制造业大中型工业企业港澳台资本金,其他采矿业大中型工业企业港澳台资本金,农副食品加工业大中型工业企业港澳台资本金,化学原料及化学制品制造业大中型工业企业港澳台资本金,化学纤维制造业大中型工业企业港澳台资本金,医药制造业大中型工业企业港澳台资本金,印刷业和记录媒介的复制大中型工业企业港澳台资本金,塑料制品业大中型工业企业港澳台资本金,大中型工业企业港澳台资本金,家具制造业大中型工业企业港澳台资本金,工艺品及其他制造业大中型工业企业港澳台资本金,废弃资源和废旧材料回收加工业大中型工业企业港澳台资本金,文教体育用品制造业大中型工业企业港澳台资本金,有色金属冶炼及压延加工业大中型工业企业港澳台资本金,有色金属矿采选业大中型工业企业港澳台资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业港澳台资本金,橡胶制品业大中型工业企业港澳台资本金,水的生产和供应业大中型工业企业港澳台资本金,烟草制品业大中型工业企业港澳台资本金,煤炭开采和洗选业大中型工业企业港澳台资本金,燃气生产和供应业大中型工业企业港澳台资本金,电力、热力的生产和供应业大中型工业企业港澳台资本金,电气机械及器材制造业大中型工业企业港澳台资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业港澳台资本金,石油加工、炼焦及核燃料加工业大中型工业企业港澳台资本金,石油和天然气开采业大中型工业企业港澳台资本金,纺织业大中型工业企业港澳台资本金,纺织服装、鞋、帽制造业大中型工业企业港澳台资本金,通信设备、计算机及其他电子设备制造大中型工业企业港澳台资本金,通用设备制造业大中型工业企业港澳台资本金,造纸及纸制品业大中型工业企业港澳台资本金,金属制品业大中型工业企业港澳台资本金,非金属矿物制品业大中型工业企业港澳台资本金,非金属矿采选业大中型工业企业港澳台资本金,食品制造业大中型工业企业港澳台资本金,饮料制造业大中型工业企业港澳台资本金,黑色金属冶炼及压延加工业大中型工业企业港澳台资本金,黑色金属矿采选业大中型工业企业港澳台资本金
2003年,32.46493,85.39896,44.38875,0.0463,25.81506,82.61742,58.28856,31.03234,48.00513,116.72098,2187.86807,35.37999,23.05304,,64.8744,35.71031,0.6953,17.26625,26.24241,1.83733,1.42632,0.05552,0.455,113.62064,117.67642,74.48731,39.36654,29.81746,195.59762,66.91364,338.67986,38.89556,57.02061,63.64835,99.08411,0.33271,52.70021,90.64278,77.60995,
2004年,49.91,88.63,56.49,0.0,43.1,99.1,46.25,29.32,46.51,132.68,2733.37,38.43,38.97,0.9,75.22,65.65,0.1,17.38,51.75,5.16,1.14,0.03,4.0,137.33,187.53,74.09,43.91,9.76,258.1,91.35,477.63,58.21,73.29,87.55,128.41,1.07,42.4,72.03,99.89,0.11
2005年,60.98608,91.50803,56.67783,0.53,59.69922,90.56698,71.89117,33.57976,59.4011,159.2755,3237.92883,43.55704,42.22391,,83.6517,56.25614,0.2601,17.54259,50.30501,6.43339,1.40163,0.88535,5.68236,157.03,204.7485,97.74336,37.65754,17.68437,292.95367,97.36928,678.3514,58.30688,94.09249,100.68419,146.44689,0.76032,59.64037,74.12913,127.99105,0.0245
2006年,71.91173,120.76542,57.57071,,68.31778,121.03698,79.5473,35.03883,69.9859,152.7654,4003.16395,66.97977,61.84594,1.04189,94.74637,74.54815,0.49935,17.66708,60.8696,9.89294,1.185,1.13156,12.49514,157.04069,277.45072,116.03398,42.54749,20.14409,347.11109,259.24061,790.42677,74.54926,131.3592,117.70234,184.11232,1.27041,66.37864,84.40803,153.54547,
2007年,103.9359,161.23626,86.4669,,73.27565,142.52987,100.90728,45.84548,87.58735,180.2035,4729.87532,73.54125,61.96551,1.04189,103.20283,89.34321,0.66495,26.4309,113.70534,15.1954,1.13944,3.22734,19.03634,142.47567,291.14385,141.61625,48.44437,25.15531,418.63722,174.84273,1050.10831,118.75847,120.90466,149.40849,207.40319,1.48794,79.96318,104.00898,164.76113,0.27298
2008年,141.29651,220.75803,90.3529,,88.94976,201.09181,79.91665,60.34244,98.98058,184.15938,5620.6274,79.48998,77.74998,0.05914,119.66319,112.15686,2.00995,21.68018,74.03733,37.02661,0.85599,7.81639,29.89413,151.16276,363.11445,154.2924,53.59525,0.05,456.61257,203.00563,1328.78108,144.0792,209.57144,160.40046,280.18704,2.14548,113.92283,111.05498,154.97069,5.39335
2009年,133.48436,252.74304,70.561,,107.81108,209.15943,86.08837,84.73976,78.60593,206.01783,6103.33858,67.13935,70.41736,0.055,131.33403,169.72112,3.26079,26.95848,72.51346,37.55773,0.63936,3.39573,26.38501,159.23799,394.74193,173.2709,46.8438,1.82,458.13838,229.48728,1480.12695,180.69478,239.42351,200.45327,288.89015,1.54017,111.78381,122.67007,170.23273,5.39464
2010年,144.98579,301.95567,102.32353,,122.2059,289.75265,118.64495,93.51466,74.37502,227.92458,6706.59152,76.6385,70.88072,4.60601,116.68189,201.1221,1.62573,22.52543,65.75076,45.3853,0.63936,30.50465,37.20169,161.18899,449.45344,190.45246,71.43058,0.05,486.55983,228.57589,1571.18265,142.73339,251.18646,225.67336,340.46897,1.66004,109.07995,123.64253,196.62533,7.38276
2011年,198.67319,307.36972,86.3464,,141.19682,424.05978,135.2022,112.27502,98.48922,255.29036,7473.07226,89.74001,78.03355,4.37061,125.88698,243.69748,8.06084,34.51434,70.43264,44.97745,0.97606,45.14915,43.04394,178.47937,463.83736,196.49572,56.95383,0.69454,501.51331,257.75633,1665.15346,175.51923,284.24209,185.56186,427.50305,2.85669,181.92149,152.46038,190.90184,3.43595
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
