,专用设备制造业大中型工业企业营业利润,交通运输设备制造业大中型工业企业营业利润,仪器仪表及文化、办公用机械制造业大中型工业企业营业利润,其他采矿业大中型工业企业营业利润,农副食品加工业大中型工业企业营业利润,化学原料及化学制品制造业大中型工业企业营业利润,化学纤维制造业大中型工业企业营业利润,医药制造业大中型工业企业营业利润,印刷业和记录媒介的复制大中型工业企业营业利润,塑料制品业大中型工业企业营业利润,大中型工业企业营业利润,家具制造业大中型工业企业营业利润,工艺品及其他制造业大中型工业企业营业利润,废弃资源和废旧材料回收加工业大中型工业企业营业利润,文教体育用品制造业大中型工业企业营业利润,有色金属冶炼及压延加工业大中型工业企业营业利润,有色金属矿采选业大中型工业企业营业利润,木材加工及木、竹、藤、棕、草制品业大中型工业企业营业利润,橡胶制品业大中型工业企业营业利润,水的生产和供应业大中型工业企业营业利润,烟草制品业大中型工业企业营业利润,煤炭开采和洗选业大中型工业企业营业利润,燃气生产和供应业大中型工业企业营业利润,电力、热力的生产和供应业大中型工业企业营业利润,电气机械及器材制造业大中型工业企业营业利润,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业营业利润,石油加工、炼焦及核燃料加工业大中型工业企业营业利润,石油和天然气开采业大中型工业企业营业利润,纺织业大中型工业企业营业利润,纺织服装、鞋、帽制造业大中型工业企业营业利润,通信设备、计算机及其他电子设备制造大中型工业企业营业利润,通用设备制造业大中型工业企业营业利润,造纸及纸制品业大中型工业企业营业利润,金属制品业大中型工业企业营业利润,非金属矿物制品业大中型工业企业营业利润,非金属矿采选业大中型工业企业营业利润,食品制造业大中型工业企业营业利润,饮料制造业大中型工业企业营业利润,黑色金属冶炼及压延加工业大中型工业企业营业利润,黑色金属矿采选业大中型工业企业营业利润
2003年,91.2173,589.41122,56.7836,0.68408,82.54342,287.08135,47.369,196.16961,41.14442,67.12117,6377.1357,17.65945,18.7291,0.08679,23.55308,122.88863,25.28757,11.85569,42.62645,-9.00137,254.46491,103.57032,-10.60327,613.41076,238.15632,50.36883,135.11272,1214.68672,143.33897,76.11585,492.13103,188.68507,69.35912,86.54884,145.72576,6.94367,80.39104,129.24471,630.39217,15.8816
2004年,120.43,534.84,53.57,0.08,137.16,601.39,36.26,192.02,46.64,85.08,8712.73,28.38,31.99,0.47,22.87,241.67,69.61,15.08,48.63,-5.81,325.22,304.32,-4.24,598.89,311.65,48.82,289.12,1670.47,128.54,86.17,726.61,256.98,87.82,119.42,198.2,11.0,90.42,117.32,1021.91,63.74
2005年,161.29633,441.96055,86.78133,0.60435,224.83395,627.71613,44.26276,245.1428,48.3092,98.39672,10732.98843,34.50324,41.82446,1.2167,29.14638,351.70369,144.85117,24.17928,69.37578,-13.69101,377.4996,465.6781,-10.65458,782.62908,412.868,81.46338,-209.98533,2814.3459,244.92095,125.16369,794.04828,354.00208,113.15283,162.8639,157.43107,23.77968,149.23658,170.99543,971.93971,89.19627
2006年,256.60623,707.85036,115.1197,,299.61155,685.81948,52.55596,259.70471,58.74052,117.74186,14045.73434,50.9853,57.07267,2.45633,27.30434,751.04723,245.11863,34.08146,72.1231,4.20949,441.61567,536.38836,-2.94932,1140.90111,534.94948,101.47224,-311.72194,3469.74731,303.02931,165.84942,991.29729,459.24638,154.96634,201.57447,247.25855,26.8708,202.73999,227.23122,1258.58687,98.53187
2007年,442.7688,1329.07244,166.88602,,445.86344,1154.42119,146.09932,378.95063,79.23942,179.35382,19600.98031,59.61616,72.64395,3.06939,37.9422,987.34582,279.1309,56.05112,117.47843,2.21327,612.9366,800.64896,19.71544,1385.36934,867.91028,145.58418,129.35726,3337.10507,423.69784,225.87619,1261.38548,661.57141,236.49879,268.02809,462.57322,31.38373,248.64901,325.57999,2036.98163,181.98148
2008年,559.95464,1673.63114,187.22443,,544.73756,1034.43424,35.67066,571.59228,87.34183,191.32097,20889.74508,55.62647,94.7561,23.3173,29.18892,673.71797,268.21457,78.62855,90.59524,-17.77794,685.58759,1855.45125,36.71423,443.94813,1258.68123,192.10812,-1257.36843,4430.29948,450.99667,273.8533,1434.89759,814.94427,238.8162,344.7992,597.72698,50.44283,324.96212,389.27184,1718.4086,423.02895
2009年,681.36849,2585.28501,231.55502,,659.68818,1042.17862,120.0548,685.9512,113.21361,226.87983,23320.97629,83.07659,113.0253,21.43869,54.93456,722.87323,208.6091,87.90011,212.70269,-16.80254,681.22427,1685.83004,69.62125,875.70943,1538.83504,248.15277,856.91649,1787.26565,534.76584,356.60812,1541.63187,937.15075,280.55594,400.15936,830.23592,42.89044,467.44306,538.4413,1590.15709,223.44917
2010年,1112.65976,4284.88023,325.6938,0.58,1107.95096,1962.85269,299.06828,912.67558,132.29776,333.31466,36390.58297,125.24154,168.47438,39.93517,72.2235,1267.27393,346.82357,117.78125,253.84384,-12.45275,733.4676,2745.81664,132.95923,1521.31337,2189.38526,384.10119,1153.47332,2887.3155,884.26852,484.95509,2536.42334,1414.80003,397.26012,648.05878,1286.75498,63.10204,657.51289,713.51732,2209.74203,495.23757
2011年,1288.52922,4764.45984,393.91323,0.01461,1423.78128,2570.56125,305.94907,1115.128,167.41537,416.12851,42921.76352,178.56256,240.14674,77.65657,95.18518,1544.70451,486.84778,190.03987,294.98001,0.18867,812.5217,3785.48552,175.14895,1437.69195,2391.85241,490.65798,282.33533,4227.85854,1157.75108,661.3085,2522.35121,1661.3229,418.13079,743.21279,1770.71729,141.06116,830.1694,995.86961,2134.26343,727.86071
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
