,专用设备制造业大中型工业企业法人资本金,交通运输设备制造业大中型工业企业法人资本金,仪器仪表及文化、办公用机械制造业大中型工业企业法人资本金,其他采矿业大中型工业企业法人资本金,农副食品加工业大中型工业企业法人资本金,化学原料及化学制品制造业大中型工业企业法人资本金,化学纤维制造业大中型工业企业法人资本金,医药制造业大中型工业企业法人资本金,印刷业和记录媒介的复制大中型工业企业法人资本金,塑料制品业大中型工业企业法人资本金,大中型工业企业法人资本金,家具制造业大中型工业企业法人资本金,工艺品及其他制造业大中型工业企业法人资本金,废弃资源和废旧材料回收加工业大中型工业企业法人资本金,文教体育用品制造业大中型工业企业法人资本金,有色金属冶炼及压延加工业大中型工业企业法人资本金,有色金属矿采选业大中型工业企业法人资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业法人资本金,橡胶制品业大中型工业企业法人资本金,水的生产和供应业大中型工业企业法人资本金,烟草制品业大中型工业企业法人资本金,煤炭开采和洗选业大中型工业企业法人资本金,燃气生产和供应业大中型工业企业法人资本金,电力、热力的生产和供应业大中型工业企业法人资本金,电气机械及器材制造业大中型工业企业法人资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业法人资本金,石油加工、炼焦及核燃料加工业大中型工业企业法人资本金,石油和天然气开采业大中型工业企业法人资本金,纺织业大中型工业企业法人资本金,纺织服装、鞋、帽制造业大中型工业企业法人资本金,通信设备、计算机及其他电子设备制造大中型工业企业法人资本金,通用设备制造业大中型工业企业法人资本金,造纸及纸制品业大中型工业企业法人资本金,金属制品业大中型工业企业法人资本金,非金属矿物制品业大中型工业企业法人资本金,非金属矿采选业大中型工业企业法人资本金,食品制造业大中型工业企业法人资本金,饮料制造业大中型工业企业法人资本金,黑色金属冶炼及压延加工业大中型工业企业法人资本金,黑色金属矿采选业大中型工业企业法人资本金
2003年,279.33335,876.64883,47.11913,,142.32507,798.99055,91.98576,244.04009,39.66677,68.60096,9504.16233,16.74707,18.18771,,10.04782,252.05981,20.89278,32.55317,60.40913,61.35814,16.08223,288.26941,76.94478,1541.9469,270.78515,22.62408,657.26188,968.24648,284.50905,64.29112,451.67189,296.93509,125.80473,79.91442,350.01795,39.92153,84.73828,119.23567,685.11682,18.87873
2004年,288.82,1065.64,58.34,0.0,157.46,1041.58,221.25,251.24,46.6,70.81,12607.8,24.87,30.65,0.58,16.07,335.56,31.43,27.42,89.06,86.33,30.45,431.61,132.72,2734.4,354.0,23.61,500.57,1253.52,299.23,79.0,621.4,351.55,132.22,99.45,462.08,31.46,133.4,163.88,840.3,89.23
2005年,299.18807,1616.34514,70.74872,,194.2483,1142.10074,256.56555,302.47487,58.30005,96.53235,14712.19279,19.8116,31.19788,0.5064,18.59778,405.35997,86.43605,32.51237,86.04488,99.0949,49.73795,468.63003,144.81964,3042.06783,357.15998,28.91734,800.2649,1195.34257,367.21008,98.50123,618.28433,417.35339,147.91916,113.58282,563.15505,25.18873,150.96615,188.75153,1014.1945,104.07996
2006年,306.34523,1465.00513,69.55847,,205.65105,1361.04718,299.8338,349.65504,62.45448,82.16835,16732.94777,26.90666,35.94675,0.51488,18.04904,438.43912,123.72504,43.00422,92.54928,126.76535,214.04857,631.75227,151.1373,3432.2643,443.16834,37.28362,868.24329,1591.64246,377.7127,132.33882,658.22902,461.58347,245.12264,134.11768,599.73621,48.07952,152.99403,208.01898,1190.37772,47.47776
2007年,365.64457,1720.7144,87.99356,,284.78001,1670.94765,317.60401,383.77829,80.67191,140.00879,19373.58304,35.89282,48.49888,1.01888,20.95419,597.51544,105.28451,47.11744,106.13132,140.89552,362.39545,779.41874,70.87921,3789.07784,538.81449,64.29453,940.30638,1847.86354,443.10404,149.19011,720.50983,488.59313,285.43844,180.02226,727.85027,35.64505,182.73093,229.57735,1237.75635,144.66291
2008年,616.65534,2227.22723,160.14972,,352.40904,1731.24327,269.73123,399.42128,112.5686,154.42757,23627.80792,41.68428,50.08362,10.46306,22.58738,790.78505,103.634,67.53353,107.03586,160.35188,558.91003,912.93457,141.60996,3841.43178,762.26533,73.59197,1349.34513,2222.37453,487.16467,171.19451,1211.89215,628.16911,386.25529,244.91673,859.44865,53.08553,208.49139,261.46794,1699.50539,175.76132
2009年,578.40958,2467.90577,162.08739,,401.60557,2172.48771,284.6907,484.15911,114.26374,185.6264,27183.96496,41.97965,64.55359,9.1219,39.21522,989.5698,133.75826,60.84499,126.44918,168.73522,609.50068,1381.88197,159.9958,4601.70596,920.01265,94.05515,1202.14993,1943.34599,531.15256,193.11802,1292.99149,842.27953,450.05262,293.25724,983.09238,54.81048,282.94835,285.07834,2438.95158,138.12046
2010年,815.27251,2764.92308,203.6258,,452.58447,2665.2154,262.99607,549.72391,117.12748,212.55379,32082.87568,58.84245,76.47709,13.20686,35.94544,1170.8811,191.14704,87.35242,141.02234,246.20612,622.14944,1834.70873,177.37295,5397.85609,1227.38183,90.24351,1310.83809,2529.55324,588.44393,218.04995,1655.17065,924.61932,499.37243,290.28396,1194.01244,43.01133,292.47788,378.51708,2442.57638,301.13308
2011年,922.00016,3437.09382,191.12414,,578.62132,2805.99309,275.05662,648.27864,148.28645,267.31315,37854.42433,87.23129,152.45951,17.12044,48.88241,1337.28313,196.02661,100.61573,166.09718,293.46451,688.39026,2078.60608,177.11866,5834.01669,1712.65529,148.74723,1780.47757,2678.03885,749.87716,299.79562,2190.14697,1082.22879,534.29467,404.50213,1591.93234,65.88791,456.59599,435.59569,2972.04905,300.51918
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
