,专用设备制造业大中型工业企业工业销售产值(现价),交通运输设备制造业大中型工业企业工业销售产值(现价),仪器仪表及文化、办公用机械制造业大中型工业企业工业销售产值(现价),其他采矿业大中型工业企业工业销售产值(现价),农副食品加工业大中型工业企业工业销售产值(现价),化学原料及化学制品制造业大中型工业企业工业销售产值(现价),化学纤维制造业大中型工业企业工业销售产值(现价),医药制造业大中型工业企业工业销售产值(现价),印刷业和记录媒介的复制大中型工业企业工业销售产值(现价),塑料制品业大中型工业企业工业销售产值(现价),大中型工业企业工业销售产值(现价),家具制造业大中型工业企业工业销售产值(现价),工艺品及其他制造业大中型工业企业工业销售产值(现价),废弃资源和废旧材料回收加工业大中型工业企业工业销售产值(现价),文教体育用品制造业大中型工业企业工业销售产值(现价),有色金属冶炼及压延加工业大中型工业企业工业销售产值(现价),有色金属矿采选业大中型工业企业工业销售产值(现价),木材加工及木、竹、藤、棕、草制品业大中型工业企业工业销售产值(现价),橡胶制品业大中型工业企业工业销售产值(现价),水的生产和供应业大中型工业企业工业销售产值(现价),烟草制品业大中型工业企业工业销售产值(现价),煤炭开采和洗选业大中型工业企业工业销售产值(现价),燃气生产和供应业大中型工业企业工业销售产值(现价),电力、热力的生产和供应业大中型工业企业工业销售产值(现价),电气机械及器材制造业大中型工业企业工业销售产值(现价),皮革、毛皮、羽毛(绒)及其制品业大中型工业企业工业销售产值(现价),石油加工、炼焦及核燃料加工业大中型工业企业工业销售产值(现价),石油和天然气开采业大中型工业企业工业销售产值(现价),纺织业大中型工业企业工业销售产值(现价),纺织服装、鞋、帽制造业大中型工业企业工业销售产值(现价),通信设备、计算机及其他电子设备制造大中型工业企业工业销售产值(现价),通用设备制造业大中型工业企业工业销售产值(现价),造纸及纸制品业大中型工业企业工业销售产值(现价),金属制品业大中型工业企业工业销售产值(现价),非金属矿物制品业大中型工业企业工业销售产值(现价),非金属矿采选业大中型工业企业工业销售产值(现价),食品制造业大中型工业企业工业销售产值(现价),饮料制造业大中型工业企业工业销售产值(现价),黑色金属冶炼及压延加工业大中型工业企业工业销售产值(现价),黑色金属矿采选业大中型工业企业工业销售产值(现价)
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,2365.37299,9213.63194,1063.94178,6.42125,2528.98808,5423.21795,1113.61672,1826.82681,405.03673,1183.95666,94411.046,322.48839,411.36195,11.57362,452.13483,2280.62099,295.05676,327.1574,904.56112,241.49504,2178.02654,1943.84646,155.14392,5317.56442,4984.54568,1147.58718,5639.23543,3196.27857,4362.9857,1368.7926,13669.71617,3052.99505,1338.25423,1516.61042,2458.3883,156.42458,1320.42142,1577.84688,8469.49881,179.42263
2004年,2777.96,10884.19,1389.45,3.77,3426.12,7248.87,1385.91,1947.53,443.99,1477.91,131109.42,538.7,629.03,35.64,576.87,3486.92,440.04,397.69,1206.41,273.67,2549.89,3044.8,209.4,12444.28,6795.39,1226.36,7943.09,4132.75,5082.81,1562.78,19201.53,4260.19,1687.68,1940.8,3068.35,173.64,1691.41,1631.63,13555.82,336.14
2005年,3400.03571,12603.29411,1807.68951,4.24131,4299.22871,9287.61137,2007.48948,2570.79296,566.44514,1867.55644,165005.02387,663.04435,783.19481,40.34819,704.65133,4768.10162,623.79712,497.42398,1459.37034,287.285,2756.75951,4164.92668,252.19943,14140.56807,8788.48927,1701.94109,10705.87983,5714.96566,6667.12076,2092.24869,23549.6661,5547.30587,2150.47944,2655.98171,3792.36601,205.5292,2199.41494,2088.16998,17170.94827,418.46188
2006年,4442.04713,15916.05359,2329.06393,0.0,5180.14146,11185.92978,2459.76981,2947.51763,655.64879,2288.80887,204373.20949,893.90157,1001.24411,65.44356,829.7226,7824.82514,883.09141,652.45772,1767.63454,366.68597,2895.06035,5145.39703,314.753,16669.70888,11313.80602,1979.6937,13445.89288,7032.7053,7770.2322,2724.32118,28634.01785,7133.04664,2617.75611,3458.66747,4702.2765,285.33806,2700.99828,2568.27349,20692.58855,598.68839
2007年,5732.09705,21216.07065,2852.44982,0.0,6894.52233,14220.74826,3147.80487,3653.64325,819.27551,2785.11315,258277.58615,1097.91309,1299.23284,101.26082,967.83574,10760.23635,1106.72036,926.56317,2228.70722,413.82579,3738.7671,6314.49366,482.9551,21264.22232,14951.93288,2554.06284,15808.27002,7565.4082,9132.3446,3352.41917,34597.70237,9000.06962,3326.72899,4511.44941,6127.94126,329.94529,3393.82446,3290.16124,27436.19903,874.66832
2008年,7476.76924,25740.66439,3088.44118,0.0,9239.88858,17317.88087,2857.87816,4504.43206,920.07541,3163.04824,311528.24553,1231.0092,1508.96858,257.78173,1102.29223,11971.31764,1270.32707,1078.38688,2523.85616,441.7667,4290.90652,9975.95569,671.29355,24422.48714,18422.02572,2887.81577,19896.83193,9013.44568,9816.74065,3979.67717,37689.83487,11058.41598,3877.3477,5514.81387,7763.94635,427.655,4134.44172,3850.42587,36620.01474,1519.38529
2009年,8419.07728,32049.19557,3008.89536,0.0,10633.25935,17967.62854,2758.11473,5334.12892,982.10702,3304.67957,328193.85862,1268.85847,1722.56577,230.68061,1092.66814,11667.56303,1224.47336,1209.35583,2832.04181,492.30982,4857.983,10953.67995,772.52105,28561.70296,19555.89255,3155.22075,18580.0715,7015.99663,10319.41463,4304.7596,38195.80868,11654.44639,3966.86129,5389.69039,8878.89223,509.11777,5010.35113,4504.0181,34464.48291,1345.34393
2010年,11051.899,43899.19936,3839.30198,3.0,13584.79521,24148.76373,3661.80435,6583.79525,1128.7169,4281.19833,425902.42597,1754.729,2318.92045,674.55943,1315.09444,16361.24942,1706.7455,1531.1469,3587.45717,583.96605,5709.59937,14971.9796,1238.52311,35034.77279,26367.14001,4132.95207,25654.81922,9275.40937,13189.58965,5163.19005,47581.22445,15093.62286,5110.58252,7229.51061,11591.9392,569.2397,5957.20737,5389.45189,42172.84946,2452.4802
2011年,14322.97888,50961.6743,4789.10634,0.56569,18970.63774,32718.65674,4924.42016,8739.69291,1493.08227,5643.11105,540852.40998,2452.77342,3735.32164,965.51436,1741.55302,21497.68885,2288.88183,2295.49438,4895.80062,665.2712,6510.42235,20586.48944,1623.09781,41163.85458,32690.95582,5449.86587,32543.61429,12500.52949,17604.59753,7792.20233,55770.73932,19275.76809,6242.1606,9433.49327,16423.46334,1163.04399,8254.17729,7503.13281,51825.78382,3392.79254
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
