,专用设备制造业大中型工业企业主营业务成本,交通运输设备制造业大中型工业企业主营业务成本,仪器仪表及文化、办公用机械制造业大中型工业企业主营业务成本,其他采矿业大中型工业企业主营业务成本,农副食品加工业大中型工业企业主营业务成本,化学原料及化学制品制造业大中型工业企业主营业务成本,化学纤维制造业大中型工业企业主营业务成本,医药制造业大中型工业企业主营业务成本,印刷业和记录媒介的复制大中型工业企业主营业务成本,塑料制品业大中型工业企业主营业务成本,大中型工业企业主营业务成本,家具制造业大中型工业企业主营业务成本,工艺品及其他制造业大中型工业企业主营业务成本,废弃资源和废旧材料回收加工业大中型工业企业主营业务成本,文教体育用品制造业大中型工业企业主营业务成本,有色金属冶炼及压延加工业大中型工业企业主营业务成本,有色金属矿采选业大中型工业企业主营业务成本,木材加工及木、竹、藤、棕、草制品业大中型工业企业主营业务成本,橡胶制品业大中型工业企业主营业务成本,水的生产和供应业大中型工业企业主营业务成本,烟草制品业大中型工业企业主营业务成本,煤炭开采和洗选业大中型工业企业主营业务成本,燃气生产和供应业大中型工业企业主营业务成本,电力、热力的生产和供应业大中型工业企业主营业务成本,电气机械及器材制造业大中型工业企业主营业务成本,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业主营业务成本,石油加工、炼焦及核燃料加工业大中型工业企业主营业务成本,石油和天然气开采业大中型工业企业主营业务成本,纺织业大中型工业企业主营业务成本,纺织服装、鞋、帽制造业大中型工业企业主营业务成本,通信设备、计算机及其他电子设备制造大中型工业企业主营业务成本,通用设备制造业大中型工业企业主营业务成本,造纸及纸制品业大中型工业企业主营业务成本,金属制品业大中型工业企业主营业务成本,非金属矿物制品业大中型工业企业主营业务成本,非金属矿采选业大中型工业企业主营业务成本,食品制造业大中型工业企业主营业务成本,饮料制造业大中型工业企业主营业务成本,黑色金属冶炼及压延加工业大中型工业企业主营业务成本,黑色金属矿采选业大中型工业企业主营业务成本
2003年,1949.10166,7594.34684,908.72107,9.60002,2252.06991,4443.47943,985.06632,1208.63307,317.53492,1039.84962,81445.72,275.07449,340.81212,12.49521,385.03753,1997.67968,213.30515,291.34493,708.28709,184.76605,829.11248,1368.13131,208.98244,8262.794,4058.76367,969.98807,5148.18048,1608.16206,3936.04508,1141.88469,12349.49306,2465.70903,1112.37217,1283.99301,1949.72733,111.85219,972.14733,982.69971,7420.46992,148.01148
2004年,2339.63,9150.29,1240.69,2.98,3093.89,5835.45,1252.57,1226.78,349.67,1302.66,111168.19,460.96,527.57,34.54,503.6,3041.35,313.39,344.05,985.75,210.71,914.69,2075.59,266.74,12026.42,5671.32,1063.47,7221.96,2072.29,4582.69,1289.56,17992.29,3428.1,1423.76,1657.98,2432.38,122.23,1283.58,1090.46,12104.53,231.63
2005年,2906.94907,10820.6573,1578.4425,3.53135,3855.33822,7706.91867,1861.35026,1719.96559,459.32352,1659.93334,141880.22,566.55502,667.78182,31.28819,616.69889,4146.5522,409.82173,428.16712,1253.16401,229.81181,1006.12185,2971.44965,327.85913,14398.7441,7353.12749,1463.53857,10372.61969,2415.47348,5977.5145,1729.33584,21738.09747,4553.88749,1844.43738,2273.6629,3177.6658,139.25258,1665.84629,1449.81331,15811.5911,287.92912
2006年,3719.74631,13696.4891,2039.18182,0.0,4615.33477,9599.36665,2296.67011,1958.11072,522.75985,1998.37018,176592.29,755.52379,864.89908,58.59173,721.60873,6754.21807,600.96027,557.49753,1526.05511,267.90662,1085.09064,3787.07839,377.91879,17007.20911,9587.85315,1710.50953,12990.66948,3114.81239,6970.69197,2251.26683,26490.83261,5884.9078,2243.23286,3013.5903,3930.79761,202.50423,2084.31549,1835.36859,19033.33492,437.01768
2007年,4702.07037,17874.26434,2445.63632,,6169.10452,11931.9283,2833.06485,2390.38287,641.91668,2389.99657,219425.49,931.64419,1117.86579,92.54145,830.82583,9415.93987,737.31053,779.69478,1896.95354,301.73015,1203.37762,4624.525,498.05611,19702.71684,12587.48137,2175.9388,14709.05284,3877.84009,8069.78011,2770.22101,31577.25464,7401.44845,2761.7472,3843.39281,4965.73455,230.45496,2566.17101,2286.7294,25527.03179,563.66155
2008年,6374.44705,21820.74322,2655.05672,,8365.77945,14841.3929,2666.61131,2885.71676,721.816,2704.39966,268933.22,1059.07381,1348.81272,241.19058,967.70273,10974.55028,952.88897,912.76893,2214.7336,341.44945,1284.28866,7133.28131,654.52694,24179.07241,15305.68003,2423.85227,20045.66256,4800.50987,8625.36985,3240.05254,34054.12424,9112.86984,3248.71171,4684.71317,6405.34972,314.23572,3153.70378,2700.92319,34576.07796,941.07653
2009年,7135.70288,26956.67968,2494.40695,,9703.82015,15422.99097,2535.59137,3491.01772,754.04454,2774.34924,280972.63,1066.22294,1519.53583,215.93609,950.50573,11289.1582,1049.56187,1047.85815,2347.15572,380.87484,1458.92691,8687.1318,711.19607,26944.72301,16249.80332,2658.06782,14620.85898,4511.13633,9171.86233,3528.53714,34757.86477,9705.50109,3291.563,4519.22919,7193.83024,394.4209,3697.46929,3242.86979,33531.56251,960.66205
2010年,9363.23071,36852.58917,3247.74925,2.323,12322.78941,20493.80072,3380.00512,4391.11119,873.14584,3617.64594,365216.54,1482.93318,2127.22214,615.09005,1133.73818,15881.48002,1347.14886,1282.88799,3116.38038,455.1114,1709.72095,11714.21588,1067.60119,32437.58859,22144.10871,3449.4675,21274.3976,5427.41917,11728.72088,4183.80256,43310.00374,12512.07439,4329.75548,6085.41802,9367.34184,437.71434,4592.13987,3865.99037,41538.98882,2053.69123
2011年,11848.38358,43278.87306,3976.87727,0.55434,17131.60668,27683.02083,4564.62497,5997.37629,1170.45583,4778.06926,463087.02,2031.04049,3344.24156,885.87535,1488.22934,20760.31982,1616.31184,1924.21007,4325.67292,498.20221,1738.21018,16566.97867,1417.47219,38322.31973,27562.15315,4503.96269,28879.0449,5882.40362,15616.50862,6371.52894,50710.86536,16037.45419,5364.20942,8026.1779,13202.23923,852.60946,6339.03662,5334.15916,50280.95984,2774.78094
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
