,专用设备制造业大中型工业企业所有者权益合计,交通运输设备制造业大中型工业企业所有者权益合计,仪器仪表及文化、办公用机械制造业大中型工业企业所有者权益合计,其他采矿业大中型工业企业所有者权益合计,农副食品加工业大中型工业企业所有者权益合计,化学原料及化学制品制造业大中型工业企业所有者权益合计,化学纤维制造业大中型工业企业所有者权益合计,医药制造业大中型工业企业所有者权益合计,印刷业和记录媒介的复制大中型工业企业所有者权益合计,塑料制品业大中型工业企业所有者权益合计,大中型工业企业所有者权益合计,家具制造业大中型工业企业所有者权益合计,工艺品及其他制造业大中型工业企业所有者权益合计,废弃资源和废旧材料回收加工业大中型工业企业所有者权益合计,文教体育用品制造业大中型工业企业所有者权益合计,有色金属冶炼及压延加工业大中型工业企业所有者权益合计,有色金属矿采选业大中型工业企业所有者权益合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业所有者权益合计,橡胶制品业大中型工业企业所有者权益合计,水的生产和供应业大中型工业企业所有者权益合计,烟草制品业大中型工业企业所有者权益合计,煤炭开采和洗选业大中型工业企业所有者权益合计,燃气生产和供应业大中型工业企业所有者权益合计,电力、热力的生产和供应业大中型工业企业所有者权益合计,电气机械及器材制造业大中型工业企业所有者权益合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业所有者权益合计,石油加工、炼焦及核燃料加工业大中型工业企业所有者权益合计,石油和天然气开采业大中型工业企业所有者权益合计,纺织业大中型工业企业所有者权益合计,纺织服装、鞋、帽制造业大中型工业企业所有者权益合计,通信设备、计算机及其他电子设备制造大中型工业企业所有者权益合计,通用设备制造业大中型工业企业所有者权益合计,造纸及纸制品业大中型工业企业所有者权益合计,金属制品业大中型工业企业所有者权益合计,非金属矿物制品业大中型工业企业所有者权益合计,非金属矿采选业大中型工业企业所有者权益合计,食品制造业大中型工业企业所有者权益合计,饮料制造业大中型工业企业所有者权益合计,黑色金属冶炼及压延加工业大中型工业企业所有者权益合计,黑色金属矿采选业大中型工业企业所有者权益合计
2003年,1105.83931,4025.35194,390.10659,21.74692,711.46732,3214.56006,555.35854,1371.50635,299.2279,622.41989,52297.22,144.13092,161.63542,0.21209,181.98077,1150.19732,167.97858,163.32193,414.02886,840.93354,1584.67002,2141.38456,337.16085,7825.21539,1977.26095,303.25329,1763.75113,3036.03562,1968.26473,536.46756,3785.62608,1552.06252,819.41646,570.57424,1774.70987,197.08727,603.69276,1091.14082,4710.01634,177.42224
2004年,1233.12,4749.03,432.13,1.53,955.51,3658.03,676.87,1421.42,317.13,700.4,66263.47,183.15,286.36,6.67,233.56,1473.47,249.64,198.41,499.8,986.68,1868.06,2452.83,427.09,14182.09,2292.36,344.08,2082.06,3557.55,2012.79,618.45,4823.69,1852.47,970.0,742.1,2077.64,170.46,777.05,1028.65,5398.97,322.15
2005年,1408.86068,5046.46931,583.81004,2.65439,1112.59613,4441.14012,837.60931,1734.69373,390.72387,870.02555,75928.6,216.60635,292.73476,12.62127,265.86968,1877.49653,346.8547,233.08072,547.77319,977.47005,2148.40734,2898.8706,438.46766,14625.7178,2820.96306,442.2412,2512.66561,4212.34442,2480.78094,740.91071,5645.54544,2193.63946,1177.06885,891.99167,2302.8129,136.86266,881.55232,1193.03384,6585.55257,400.07965
2006年,1765.00856,6151.7076,704.93618,0.0,1370.2244,5423.96668,873.66687,1978.12467,438.43302,952.67731,90904.4,321.51376,382.24862,13.04968,300.1224,2556.93146,553.15707,276.45183,618.44892,1186.55885,2395.58716,3718.61227,463.12079,17167.46491,3300.96191,546.73024,2909.72195,4836.29174,2876.78534,1060.04788,6620.70753,2627.5789,1400.05344,1124.90037,2913.61996,172.52476,1016.159,1370.49703,7991.80344,523.99981
2007年,2479.5806,7492.39967,886.2819,,1767.39888,6489.90465,1113.70004,2335.71802,524.81479,1049.38692,109607.36,401.53485,466.14637,12.09623,344.95275,3866.58626,631.2188,335.17999,804.32273,1278.47464,2785.32219,4596.58058,500.10609,19007.35172,4195.68835,669.63714,3657.3609,5771.18815,3318.38655,1131.66225,7710.00099,3463.55736,1702.40091,1354.42137,3317.59425,186.10055,1271.04459,1610.51303,10375.1889,703.55365
2008年,3096.46982,9347.9918,1147.72895,,2183.00372,7678.02136,1059.79106,2667.87243,607.60508,1195.35558,127861.45,402.3525,498.9314,43.76473,396.47559,4722.60748,785.47955,455.69842,882.27618,1399.07744,3318.8235,6607.61321,591.83618,18644.80174,5583.45353,803.42852,3937.52162,7448.50733,3640.55994,1374.13275,9175.81657,4025.03355,2073.51815,1718.34247,4040.5992,254.02208,1369.27818,1987.2652,11592.95795,1103.43307
2009年,3529.16852,11162.65891,1270.70459,,2736.49465,8430.53218,1017.73941,3334.87524,656.21809,1301.70443,143890.2,429.1415,604.02334,53.23237,436.52782,5263.58748,816.07982,450.14332,1030.63206,1516.1361,3695.54921,8175.1766,702.74179,19749.27601,6379.14653,929.18895,4232.56802,7773.99498,3985.31133,1525.94931,10285.83892,4851.02746,2175.03224,1971.26981,4726.50796,280.84824,1703.78932,2235.17989,13485.2586,986.94534
2010年,5019.43479,14472.99495,1628.24083,2.39,3418.4915,10505.12549,1321.39478,4273.26049,749.82965,1707.02578,176816.6,571.78579,789.49044,78.57333,480.05782,6278.65092,1009.97035,576.42353,1254.27914,1705.93152,4116.72513,10619.53612,782.63298,21064.12551,8748.95942,1205.63881,5397.11182,9104.50692,4694.2166,1938.72031,14689.20585,6273.20382,2711.45292,2555.53838,5875.54395,365.7239,2036.09268,2673.48161,14002.40751,2118.42895
2011年,6254.50726,17687.70202,2119.43455,0.02392,4397.62588,12450.42813,1596.14204,5303.35087,863.95544,2026.05627,206050.11,766.62397,1042.52405,210.9398,553.86704,7108.62838,1162.2149,694.2992,1513.02401,1930.47773,4479.03551,13452.72146,942.56901,22861.41501,10915.36586,1524.93012,6218.57071,9445.76959,5551.7737,2443.71827,14686.30248,7698.81272,3252.65925,3161.93802,7475.50278,560.62306,2710.42518,3429.95247,15078.75674,2477.43772
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
