,专用设备制造业大中型工业企业个人资本金,交通运输设备制造业大中型工业企业个人资本金,仪器仪表及文化、办公用机械制造业大中型工业企业个人资本金,其他采矿业大中型工业企业个人资本金,农副食品加工业大中型工业企业个人资本金,化学原料及化学制品制造业大中型工业企业个人资本金,化学纤维制造业大中型工业企业个人资本金,医药制造业大中型工业企业个人资本金,印刷业和记录媒介的复制大中型工业企业个人资本金,塑料制品业大中型工业企业个人资本金,大中型工业企业个人资本金,家具制造业大中型工业企业个人资本金,工艺品及其他制造业大中型工业企业个人资本金,废弃资源和废旧材料回收加工业大中型工业企业个人资本金,文教体育用品制造业大中型工业企业个人资本金,有色金属冶炼及压延加工业大中型工业企业个人资本金,有色金属矿采选业大中型工业企业个人资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业个人资本金,橡胶制品业大中型工业企业个人资本金,水的生产和供应业大中型工业企业个人资本金,烟草制品业大中型工业企业个人资本金,煤炭开采和洗选业大中型工业企业个人资本金,燃气生产和供应业大中型工业企业个人资本金,电力、热力的生产和供应业大中型工业企业个人资本金,电气机械及器材制造业大中型工业企业个人资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业个人资本金,石油加工、炼焦及核燃料加工业大中型工业企业个人资本金,石油和天然气开采业大中型工业企业个人资本金,纺织业大中型工业企业个人资本金,纺织服装、鞋、帽制造业大中型工业企业个人资本金,通信设备、计算机及其他电子设备制造大中型工业企业个人资本金,通用设备制造业大中型工业企业个人资本金,造纸及纸制品业大中型工业企业个人资本金,金属制品业大中型工业企业个人资本金,非金属矿物制品业大中型工业企业个人资本金,非金属矿采选业大中型工业企业个人资本金,食品制造业大中型工业企业个人资本金,饮料制造业大中型工业企业个人资本金,黑色金属冶炼及压延加工业大中型工业企业个人资本金,黑色金属矿采选业大中型工业企业个人资本金
2003年,88.82971,123.558,16.62339,,68.31006,177.6657,39.98052,120.3991,17.74798,54.22966,2412.25075,12.50608,15.82926,0.104,12.72342,76.54145,6.69299,18.639,25.14892,3.55155,0.17527,21.97207,3.18687,43.32687,184.08326,39.82664,55.35713,6.10658,265.65574,66.39315,110.74143,130.85087,61.98854,67.66444,184.96341,5.97562,54.45678,61.29824,161.60118,7.54587
2004年,101.17,168.91,21.24,0.0,117.7,234.54,62.48,142.43,21.27,71.59,3149.63,14.76,18.49,0.12,16.72,100.93,8.63,17.49,26.16,5.22,0.13,49.21,4.42,76.17,202.45,34.39,80.58,6.19,317.16,76.44,159.34,167.72,68.02,86.05,236.12,10.0,69.55,64.88,277.14,13.82
2005年,115.32389,224.74618,28.61661,,130.07859,271.54322,63.95035,139.51944,25.05495,82.51961,3811.35006,19.29248,25.35532,0.41986,15.64875,130.01756,12.80726,24.7817,40.43548,4.71156,,53.03501,8.3382,110.37991,294.208,46.27543,102.01971,8.31426,378.40135,86.40187,175.26441,228.18655,80.36152,114.67436,281.29564,15.88215,70.27446,64.68968,321.2228,17.30194
2006年,130.07292,255.83132,36.74537,,143.53228,320.62411,66.07924,185.18123,34.11966,89.0195,4462.90636,24.09592,30.0355,0.9496,17.09838,149.12036,14.02491,29.98175,46.7298,6.43376,,83.39069,3.47911,94.78728,332.50871,54.7581,129.1376,9.58966,467.34601,107.97392,160.09679,256.67429,112.16774,129.13463,308.74617,12.5927,89.79169,83.12257,422.43143,25.50166
2007年,166.08165,299.78766,67.00937,,181.36695,418.85139,83.1386,206.77825,42.50325,116.05813,5387.79452,33.61101,33.28072,1.15049,15.46521,165.87705,25.33809,38.71896,55.81756,5.79991,0.05,115.8626,6.83393,110.8035,384.52313,61.24963,147.65974,12.48378,498.32613,126.85849,221.35128,329.08325,123.86328,143.79243,385.95135,17.28367,93.31536,102.89289,512.59831,36.37752
2008年,213.10566,382.04084,86.75449,,258.84164,583.79422,130.20761,231.8614,42.54062,108.83453,6801.24123,41.39849,45.07432,2.65524,23.78512,230.66515,40.02325,50.14691,60.42419,6.39742,0.16919,172.55022,7.3734,165.42351,463.75501,75.02437,220.89925,3.84655,550.31467,136.39893,285.44848,399.80474,143.9521,204.99179,440.97956,17.37391,148.82249,149.10783,625.83034,50.62379
2009年,248.78435,414.40503,79.93166,,264.71154,577.07638,103.19064,266.4552,41.74759,109.81453,7357.64242,46.94839,59.76335,2.78573,24.2505,299.22446,44.48152,66.90797,68.56509,6.05137,0.76919,185.79222,5.6773,159.96407,518.18317,71.04979,331.17584,7.17077,543.29052,146.5633,316.93637,393.62749,151.29258,184.3395,521.32103,15.56395,145.18264,134.9827,714.65051,85.01418
2010年,351.1764,459.99858,89.1993,1.98,347.18012,639.28167,98.915,318.57958,49.59196,127.79955,8498.33997,56.29914,61.60811,6.42492,24.84221,283.37835,42.67289,58.88373,94.85104,7.31122,7.36401,220.52596,13.86282,168.14498,673.40228,105.57411,242.40182,7.59977,626.82939,172.83852,388.15931,499.7825,170.3662,247.28906,557.75608,15.62153,162.18857,161.11797,860.60344,76.93788
2011年,453.08005,589.10211,170.71693,,433.01183,837.54125,143.18547,437.52799,64.54117,191.73838,11180.41018,88.83838,87.73518,12.08557,29.00853,351.85666,54.4068,97.11886,108.17629,8.8262,2.01789,349.64247,14.85053,157.61333,969.8918,122.03781,300.42438,7.66126,743.32916,305.60479,486.71784,696.28139,209.75075,322.0707,710.93225,29.42057,223.82763,192.12185,1033.67352,144.04261
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
