,专用设备制造业大中型工业企业主营业务税金及附加,交通运输设备制造业大中型工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业大中型工业企业主营业务税金及附加,其他采矿业大中型工业企业主营业务税金及附加,农副食品加工业大中型工业企业主营业务税金及附加,化学原料及化学制品制造业大中型工业企业主营业务税金及附加,化学纤维制造业大中型工业企业主营业务税金及附加,医药制造业大中型工业企业主营业务税金及附加,印刷业和记录媒介的复制大中型工业企业主营业务税金及附加,塑料制品业大中型工业企业主营业务税金及附加,大中型工业企业主营业务税金及附加,家具制造业大中型工业企业主营业务税金及附加,工艺品及其他制造业大中型工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业大中型工业企业主营业务税金及附加,文教体育用品制造业大中型工业企业主营业务税金及附加,有色金属冶炼及压延加工业大中型工业企业主营业务税金及附加,有色金属矿采选业大中型工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业大中型工业企业主营业务税金及附加,橡胶制品业大中型工业企业主营业务税金及附加,水的生产和供应业大中型工业企业主营业务税金及附加,烟草制品业大中型工业企业主营业务税金及附加,煤炭开采和洗选业大中型工业企业主营业务税金及附加,燃气生产和供应业大中型工业企业主营业务税金及附加,电力、热力的生产和供应业大中型工业企业主营业务税金及附加,电气机械及器材制造业大中型工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业大中型工业企业主营业务税金及附加,石油和天然气开采业大中型工业企业主营业务税金及附加,纺织业大中型工业企业主营业务税金及附加,纺织服装、鞋、帽制造业大中型工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造大中型工业企业主营业务税金及附加,通用设备制造业大中型工业企业主营业务税金及附加,造纸及纸制品业大中型工业企业主营业务税金及附加,金属制品业大中型工业企业主营业务税金及附加,非金属矿物制品业大中型工业企业主营业务税金及附加,非金属矿采选业大中型工业企业主营业务税金及附加,食品制造业大中型工业企业主营业务税金及附加,饮料制造业大中型工业企业主营业务税金及附加,黑色金属冶炼及压延加工业大中型工业企业主营业务税金及附加,黑色金属矿采选业大中型工业企业主营业务税金及附加
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,8.04825,170.66628,5.0372,0.04157,7.63695,43.19493,3.89288,12.78207,1.62005,2.95063,1770.28,0.84623,1.76865,0.00701,0.91103,9.4382,2.37524,1.51793,14.50353,3.4232,852.30028,26.44716,1.43408,49.41145,12.64002,3.09722,223.41501,76.3153,15.21126,4.99122,10.53348,11.03164,4.33633,5.13588,16.40954,4.27104,5.24366,104.59921,48.64945,4.14918
2004年,9.46,186.46,1.35,0.12,10.55,51.64,7.35,12.31,2.16,5.03,2191.08,0.79,2.11,0.11,1.57,13.74,2.73,1.33,15.43,3.15,1016.96,46.04,1.66,70.54,14.45,3.18,308.2,105.72,16.83,6.27,15.29,15.56,6.1,5.79,22.72,4.56,7.95,121.63,67.77,6.49
2005年,14.1951,217.9866,2.14858,0.01007,15.26258,65.95923,6.31222,16.36751,2.16747,4.62975,2469.03,1.59745,2.70471,0.16427,1.11606,27.80023,4.35456,1.97832,15.37626,2.80496,1128.98619,70.12272,1.74392,85.25993,20.34421,4.97732,291.26793,121.91245,24.87738,7.17886,14.96942,19.53873,9.15756,7.02963,23.85009,5.29517,8.79907,131.88024,80.97734,7.92991
2006年,14.62318,328.46711,3.60927,0.0,13.66956,63.27878,5.01764,15.98481,2.24984,5.80128,3061.03,3.36949,3.12035,1.06518,1.17119,38.69466,7.95877,3.67842,9.80069,3.96772,1303.9876,93.68002,2.00895,108.19248,26.60701,5.86376,331.52961,239.29872,27.21805,11.27973,30.59384,21.42349,11.22602,13.91436,33.99014,7.24301,10.09946,148.64947,95.5655,13.13421
2007年,20.37996,444.16589,3.97873,,25.43407,85.32983,7.51891,23.40843,2.56817,6.42657,3849.41,3.95371,5.73016,0.36607,1.74818,87.94436,10.18758,6.68269,11.29527,4.21555,1563.62759,116.52079,3.635,129.19808,35.61457,8.28492,400.65229,258.08592,32.74317,14.78519,41.1753,50.14353,12.06155,17.06998,42.13152,8.97977,12.22629,168.38241,165.04911,17.71007
2008年,29.70548,463.94756,11.69635,,45.94018,124.32475,5.18515,26.53444,3.3804,10.53651,4800.55,4.4046,10.85702,2.99298,13.43906,80.43331,13.23626,9.25919,12.25829,4.60063,1839.64013,176.31419,4.22074,137.70037,67.91005,11.45113,406.94695,543.63281,41.32563,14.97561,58.63472,50.89388,14.00306,31.41981,62.08849,13.67653,24.13359,182.8123,219.58421,26.45089
2009年,35.35148,700.87066,11.32539,,77.41996,216.9235,7.46652,37.91588,3.78078,19.33977,7303.89,6.34396,11.1657,2.18403,5.51593,65.30556,13.34488,10.22007,13.05516,5.5739,2268.06188,207.35886,6.18747,130.11276,88.28355,12.38849,2365.08812,246.23468,48.1053,16.90896,54.69813,54.22728,16.21128,30.98489,71.26933,14.7755,31.45194,212.83255,153.02537,32.57774
2010年,50.85098,990.85299,10.73164,0.075,72.5301,287.43118,7.98632,42.38062,4.08425,15.04959,9300.84,7.27811,13.90988,4.06602,2.98309,67.92739,17.67513,11.89273,15.92227,7.52448,2814.66423,273.60023,5.39516,146.37046,109.41638,15.35494,2639.5094,777.45849,56.76587,22.37805,73.33305,89.59835,16.84978,36.10452,78.61218,16.67885,35.08289,244.4773,175.74029,42.29966
2011年,61.3899,833.62135,17.88962,0.00553,62.99686,321.15299,12.15616,58.95183,7.44616,22.45419,10748.54,13.44246,15.18168,4.5907,7.09574,70.48121,22.29214,15.06902,20.05142,8.02623,3325.54541,391.99621,7.00569,154.0485,109.71585,24.44097,2822.4858,1235.21078,85.10574,36.82299,126.20966,86.34564,22.35839,43.01192,106.24695,20.54601,47.08663,322.54845,162.75678,44.76014
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
