,哲学、社会科学图书出口数量,哲学、社会科学图书出口种数,哲学、社会科学图书出口金额,哲学、社会科学图书进口数量,哲学、社会科学图书进口种数,哲学、社会科学图书进口金额,图书、期刊、报纸出口数量,图书、期刊、报纸出口种数,图书、期刊、报纸出口金额,图书、期刊、报纸进口数量,图书、期刊、报纸进口种数,图书、期刊、报纸进口金额,图书出口数量,图书出口种数,图书出口金额,图书进口数量,图书进口种数,图书进口金额,少儿读物出口数量,少儿读物出口种数,少儿读物出口金额,少儿读物进口数量,少儿读物进口种数,少儿读物进口金额,报纸出口数量,报纸出口种数,报纸出口金额,报纸进口数量,报纸进口种数,报纸进口金额,文化、教育图书出口数量,文化、教育图书出口种数,文化、教育图书出口金额,文化、教育图书进口数量,文化、教育图书进口种数,文化、教育图书进口金额,文学、艺术图书出口数量,文学、艺术图书出口种数,文学、艺术图书出口金额,文学、艺术图书进口数量,文学、艺术图书进口种数,文学、艺术图书进口金额,期刊出口数量,期刊出口种数,期刊出口金额,期刊进口数量,期刊进口种数,期刊进口金额,综合性图书出口数量,综合性图书出口种数,综合性图书出口金额,综合性图书进口数量,综合性图书进口种数,综合性图书进口金额,自然、科学技术图书出口数量,自然、科学技术图书出口种数,自然、科学技术图书出口金额,自然、科学技术图书进口数量,自然、科学技术图书进口种数,自然、科学技术图书进口金额
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,122.1031,154521.0,690.779024,60.20904,150338.37,1728.548885,801.81422,947204.0,3487.24951124,3452.54473,703787.16,24061.3972329,653.41952,900204.0,3130.58959499,437.65443,648907.16,8155.2386018,64.2542,32594.0,87.57776,58.8918,40839.61,414.9417488,56.3493,902.0,138.532384,2566.032,1121.0,2615.4227711,104.2925,132481.0,419.861092,69.92717,76805.3,1005.076107,105.54052,166603.0,494.138786174,108.71342,76551.96,977.841684,92.0454,46098.0,218.127532247,448.8583,53759.0,13290.73586,227.3301,367236.0,1282.27979282,56.3663,85015.44,665.76549,29.8991,46769.0,155.95314,83.5467,219356.48,3363.064687
2009年,84.03978,196721.0,686.618869,87.3192,193885.0,1856.33851,885.16212,900344.0,3437.720732,2794.53308,811265.0,24505.2676718,624.84182,855934.0,2962.025364,533.53308,755849.0,8316.65171,70.6417,29216.0,127.733598,38.4465,41617.0,428.9177,48.6737,669.0,124.5635,1812.908,1253.0,2527.14572566,123.973,167418.0,549.297843,144.084,99250.0,1060.6045,105.11954,192528.0,471.853118,89.08908,95886.0,1033.8545,211.6466,43741.0,351.131868,448.092,54163.0,13661.4702361,150.9605,185926.0,823.155184,68.5629,78531.0,704.0518,90.1073,84125.0,303.366752,106.0314,246680.0,3232.8847
2010年,105.3226,198094.0,826.1764,61.1123,177503.0,1606.473135,945.6351,954954.0,3710.9989,2881.87479335,879714.0,26008.5847499,707.2322,913328.0,3232.1139,568.57,806076.0,9402.00733,140.4724,70337.0,264.8579,39.4736,42123.0,375.303885,43.61,561.0,54.913,1892.6508,1582.0,2777.61351989,124.2408,170183.0,552.6131,126.28,142811.0,1745.8597,129.7037,206848.0,601.5098,90.23,132207.0,1271.2978,194.7929,41065.0,423.972,420.65548,72056.0,13828.9639,147.6371,167479.0,641.027,143.8811,92175.65,924.31142,59.8592,100387.0,345.9297,107.59,219256.0,3478.76559
2011年,101.52477284,201653.0,752.504197,117.99,276618.0,2476.69,1144.1752,914726.0,3905.506907,2979.88,1119975.0,28373.26,855.7634,878174.0,3276.608107,754.85,1042288.0,11666.91,205.23285408,64657.0,280.607403,78.66,63665.0,629.25,35.5174,534.0,55.4625,1785.1045,1350.0,2800.18,158.08142656,181888.0,571.182751,180.2499,165089.0,2037.88,144.66235734,208855.0,650.661303,138.23,168122.0,1690.11,252.8944,36018.0,573.4363,439.9288,76337.0,13906.17,188.27250208,131466.997349,675.768458,105.09,116767.0,1418.68,57.9894871,89654.0,345.883995,134.63,252027.0,3414.3
2012年,173.435421,,1222.08695008,45.93,,1861.68,2061.77001,,7282.57956618,3138.07,,30121.65,1677.17,,6582.77864281,743.51,,13707.99,538.23395,,632.492965458,76.14,,440.31,93.2664,,57.06,1904.23,,2293.63,350.600935,,1494.56709372,138.78,,2420.4,233.41124,,1269.9721012,165.18,,1861.16,291.33361,,642.740923369,490.33,,14120.03,295.994984,,1535.08056951,209.74,,3531.16,85.49447,,428.57856285,107.74,,3593.28
2013年,159.543783974,,1750.249233,57.2309,,1632.33039692,1992.85568397,,6012.404192,2361.53561,,28048.629505,1737.58438397,,5216.384724,857.8878,,12054.655536,724.3856,,447.311731,106.8843,,476.912375,39.59,,51.166,1106.5095,,1373.915098,386.2728,,1029.521148,152.2344,,1998.76666417,203.5165,,891.950259,176.1353,,1998.97220532,215.6813,,744.853468,397.13831,,14620.058871,201.6045,,713.508516,242.2058,,2697.48892801,62.2612,,383.843837,123.1971,,3250.18496661
2014年,111.6503,,1677.82855723,69.0944,,1937.54034,1689.41922,,5649.66128006,2538.85045,,28381.5725812,1465.74692,,5060.58663606,977.80515,,12588.3750212,807.07952,,547.67891838,172.4499,,689.529744634,35.6001,,44.7268,1164.3626,,1561.1309,216.2219,,940.68407079,202.6951,,2211.278531,143.8745,,918.84224164,127.666,,1431.674971,188.0722,,544.347844,396.6827,,14232.06666,145.3954,,672.780409,358.77985,,3601.45040857,41.5253,,302.77243902,47.1199,,2716.901026
