,动画电视出口量,向东南亚出口动画电视量,向东南亚出口电视剧量(部),向东南亚出口电视剧量(集),向东南亚出口电视节目量,向东南亚出口纪录片量,向中国台湾出口动画电视量,向中国台湾出口电视剧量(部),向中国台湾出口电视剧量(集),向中国台湾出口电视节目量,向中国台湾出口纪录片量,向中国香港出口动画电视量,向中国香港出口电视剧量(部),向中国香港出口电视剧量(集),向中国香港出口电视节目量,向中国香港出口纪录片量,向亚洲出口动画电视量,向亚洲出口电视剧量(部),向亚洲出口电视剧量(集),向亚洲出口电视节目量,向亚洲出口纪录片量,向大洋洲出口动画电视量,向大洋洲出口电视剧量(部),向大洋洲出口电视剧量(集),向大洋洲出口电视节目量,向大洋洲出口纪录片量,向日本出口动画电视量,向日本出口电视剧量(部),向日本出口电视剧量(集),向日本出口电视节目量,向日本出口纪录片量,向欧洲出口动画电视量,向欧洲出口电视剧量(部),向欧洲出口电视剧量(集),向欧洲出口电视节目量,向欧洲出口纪录片量,向美国出口动画电视量,向美国出口电视剧量(部),向美国出口电视剧量(集),向美国出口电视节目量,向美国出口纪录片量,向美洲出口动画电视量,向美洲出口电视剧量(部),向美洲出口电视剧量(集),向美洲出口电视节目量,向美洲出口纪录片量,向非洲出口动画电视量,向非洲出口电视剧量(部),向非洲出口电视剧量(集),向非洲出口电视节目量,向非洲出口纪录片量,向韩国出口动画电视量,向韩国出口电视剧量(部),向韩国出口电视剧量(集),向韩国出口电视节目量,向韩国出口纪录片量,电视剧出口量(部),电视剧出口量(集),电视节目出口量,纪录片出口量
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,801.0,846.0,0.0,0.0,11.0,239.0,346.0,0.0,0.0,12.0,898.0,1464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,542.0,500.0,0.0,0.0,9.0,304.0,410.0,0.0,149.0,6662.0,10300.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,384.0,367.0,0.0,0.0,7.0,168.0,278.0,0.0,0.0,18.0,805.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.0,48.0,0.0,0.0,10.0,475.0,525.0,0.0,128.0,5825.0,10238.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,134.0,192.0,0.0,0.0,8.0,338.0,505.0,0.0,0.0,89.0,2838.0,3032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,81.0,113.0,0.0,0.0,13.0,521.0,668.0,0.0,288.0,12362.0,13762.0,0.0
2011年,426.0,260.0,78.0,4851.0,5217.0,0.0,27.0,39.0,1750.0,2318.0,37.0,109.0,28.0,1561.0,2775.0,5.0,261.0,152.0,8381.0,11106.0,40.0,0.0,2.0,67.0,52.0,0.0,1.0,17.0,573.0,625.0,31.0,79.0,3.0,130.0,888.0,38.0,103.0,87.0,3396.0,8455.0,0.0,155.0,87.0,3337.0,6949.0,0.0,3.0,26.0,1034.0,1294.0,33.0,26.0,17.0,682.0,1039.0,33.0,298.0,14001.0,25657.0,111.0
2012年,1678.0,325.0,78.0,3472.0,5554.0,364.0,199.0,45.0,2095.0,5442.0,685.0,306.0,42.0,1861.0,2775.0,374.0,961.0,199.0,8521.0,14949.0,1545.0,28.0,39.0,3876.0,3179.0,264.0,0.0,9.0,257.0,242.0,7.0,239.0,20.0,537.0,916.0,59.0,383.0,48.0,1759.0,15538.0,498.0,449.0,57.0,2063.0,18246.0,498.0,0.0,11.0,332.0,283.0,3.0,53.0,14.0,590.0,695.0,115.0,326.0,15329.0,37573.0,2369.0
2013年,2507.0,422.0,93.0,3798.0,3549.0,155.0,190.0,36.0,1609.0,1782.0,390.0,240.0,16.0,731.0,1481.0,294.0,1018.0,177.0,7541.0,8136.0,943.0,0.0,5.0,201.0,210.0,10.0,121.0,13.0,575.0,561.0,7.0,223.0,5.0,184.0,1065.0,154.0,417.0,39.0,1564.0,9380.0,1809.0,417.0,45.0,2840.0,10617.0,2055.0,850.0,11.0,414.0,1240.0,80.0,45.0,19.0,828.0,763.0,97.0,243.0,11180.0,21270.0,3241.0
2014年,2627.81666667,136.833333333,91.0,3897.0,3410.08333333,0.0,183.933333333,71.0,3183.0,2993.51666667,401.583333333,229.85,24.0,1029.0,1177.9,36.7,1794.55,211.0,9239.0,11980.25,468.95,84.3666666667,4.0,161.0,208.0,0.0,8.8833333333,6.0,336.0,261.016666667,0.0,40.5,11.0,361.0,695.333333333,15.0,419.066666667,30.0,992.0,4558.9,239.55,689.333333333,66.0,3908.0,8471.58333333,956.55,19.0666666667,4.0,155.0,314.483333333,105.5,2.8666666667,14.0,630.0,504.75,28.0,296.0,13824.0,21669.65,1546.0
