,中国对不丹承包工程完成营业额,中国对东帝汶承包工程完成营业额,中国对中国台湾承包工程完成营业额,中国对中国澳门承包工程完成营业额,中国对中国香港承包工程完成营业额,中国对乌兹别克斯坦承包工程完成营业额,中国对也门共和国承包工程完成营业额,中国对亚洲其他国家承包工程完成营业额,中国对亚洲承包工程完成营业额,中国对以色列承包工程完成营业额,中国对伊拉克承包工程完成营业额,中国对伊朗承包工程完成营业额,中国对卡塔尔承包工程完成营业额,中国对印度尼西亚承包工程完成营业额,中国对印度承包工程完成营业额,中国对叙利亚承包工程完成营业额,中国对吉尔吉斯斯坦承包工程完成营业额,中国对哈萨克斯坦承包工程完成营业额,中国对土库曼斯坦承包工程完成营业额,中国对土耳其承包工程完成营业额,中国对塔吉克斯坦承包工程完成营业额,中国对塞浦路斯承包工程完成营业额,中国对孟加拉国承包工程完成营业额,中国对尼泊尔承包工程完成营业额,中国对巴基斯坦承包工程完成营业额,中国对巴林承包工程完成营业额,中国对文莱承包工程完成营业额,中国对斯里兰卡承包工程完成营业额,中国对新加坡承包工程完成营业额,中国对日本承包工程完成营业额,中国对朝鲜承包工程完成营业额,中国对柬埔寨承包工程完成营业额,中国对沙特阿拉伯承包工程完成营业额,中国对泰国承包工程完成营业额,中国对科威特承包工程完成营业额,中国对约旦承包工程完成营业额,中国对缅甸承包工程完成营业额,中国对老挝承包工程完成营业额,中国对菲律宾承包工程完成营业额,中国对蒙古承包工程完成营业额,中国对越南承包工程完成营业额,中国对阿富汗承包工程完成营业额,中国对阿曼承包工程完成营业额,中国对阿联酋承包工程完成营业额,中国对韩国承包工程完成营业额,中国对马尔代夫承包工程完成营业额,中国对马来西亚承包工程完成营业额,中国对黎巴嫩承包工程完成营业额
1999年,0,0,2,11824,196653,495,9467,0,450209,1048,4316,20012,203,2240,2642,786,0,871,2191,66,495,669,14491,6360,30577,0,1673,4645,53085,316,1209,1501,3390,10865,18750,1140,19269,8321,5558,1139,6534,0,0,2517,148,0,8793,0
2000年,0,0,446,9789,202782,1329,9636,0,479477,672,7876,36029,953,1196,919,448,825,4418,3188,473,388,1226,22042,5201,32042,0,955,5809,65421,1513,1274,1866,1588,8645,5203,1300,17848,9077,4026,1778,6715,0,2255,2638,37,1,9478,5
2001年,0,0,239,6411,169976,1274,5986,0,466288,1243,10264,19962,3720,2704,1360,17898,2182,14369,7332,623,415,1480,34298,4925,42044,0,220,4761,51104,1855,1397,3527,3059,11499,755,882,24909,10068,6809,2053,9491,0,277,2511,527,88,7059,0
2002年,0,0,2047,7934,213750,2063,6513,0,573791,1086,14506,38208,2621,8134,5764,2260,1265,24072,6027,2339,30,1028,40024,2243,35455,0,35,5496,54026,5004,255,5756,5323,18428,121,5492,28805,13677,7348,5485,14700,0,0,5823,893,79,12827,0
2003年,0,0,4897,17041,263732,6068,5644,0,692664,786,12843,32844,1482,14414,8485,684,10363,21023,7290,1895,646,2796,34882,2424,61473,1,0,10413,49933,2739,487,3542,3485,11411,798,3426,37074,10189,10082,17073,16148,519,1011,13331,9101,0,23308,2271
2004年,38,0,2548,21776,254278,4529,6964,1620,814158,1543,888,37195,664,26303,23773,1215,12485,10914,5980,4464,1329,2170,51426,3875,57423,12,296,9351,65626,5335,3487,6215,11634,16556,10298,5459,33120,13284,12660,23872,27784,3452,3345,32170,10482,125,21394,38
2005年,14,768,8151,37280,178277,6834,8751,5456,931788,5457,1136,64086,1643,52363,40100,1810,15863,36918,1664,7170,739,233,60815,1442,66088,0,934,8926,76758,9953,2634,12312,31729,30099,15877,3982,28672,16953,17925,18032,27530,5565,8634,28039,21215,791,22647,1181
2006年,32,911,18191,79227,175485,6374,16557,3750,1377173,6205,5051,74886,29505,70934,110271,9163,5511,58315,5554,8699,3560,600,48495,5167,90063,8,908,13039,83253,13670,2874,9827,102082,62518,9913,2785,27789,15192,18898,25813,55202,4654,10098,88918,32149,186,43012,1193
2007年,0,1700,3053,117173,199401,17402,23924,3044,2035295,3393,9783,104122,45784,121727,193955,3866,7100,104143,6843,34558,17829,450,38753,8072,135568,1983,530,14360,87439,19355,722,15367,127614,51942,8720,5976,43402,15658,42850,38742,116972,7777,10722,140293,17618,362,64985,120
2008年,18,1723,9624,87900,168569,18149,43758,1215,2890266,11863,9575,111434,41980,223671,420856,11614,12344,95943,31299,80812,44481,677,25545,10761,191586,3478,66,38501,132048,21280,3349,35977,245371,48238,11307,13508,68278,22530,39463,25847,192343,4076,16367,210954,24969,1250,75669,0
2009年,0,1352,4624,53413,179860,75826,46047,750,3981117,7055,35313,210376,42364,264688,579396,20343,8704,140555,93323,123207,33537,5170,33862,5417,173330,6853,1953,68569,199893,18349,1801,39782,359158,52682,21018,33527,83030,41294,56423,50991,237106,3449,27113,354167,61318,1322,115398,0
2010年,0,5362,16515,113538,159148,50042,37252,860,4265811,149,67165,186068,104330,351773,525532,20143,15611,146447,73770,81928,26459,4338,35500,6667,210848,8873,3843,76868,226734,25781,3018,64818,322705,46165,40754,11006,133316,57310,177258,25124,310961,3766,45627,297160,9871,825,130840,3743
2011年,0,12529,3580,50157,197255,34916,30225,542,5102172,244,177328,215792,112918,345935,744166,11946,20874,124237,96045,84201,22792,4005,207304,19143,237277,1519,4377,125715,252784,24092,5610,82530,435846,66845,65926,25339,144684,98918,128502,65442,319342,5805,58892,193825,21088,5395,214546,1739
2012年,0,13275,3746,46594,278729,54730,6623,0,5429281,3254,170054,149418,151785,346415,669331,4813,35089,156766,130727,105698,25244,2091,146176,16658,277832,179,6257,153025,288006,46443,10667,117150,462231,107853,72217,1774,219811,190523,116112,84063,299763,15553,29681,154369,10164,5653,237311,3457
2013年,0,11463,2616,41845,302814,70579,10544,4115,6439758,4934,338070,218133,166010,471874,528189,1418,71188,291714,209852,194266,44456,625,87710,49932,370093,533,8766,209186,280991,62094,12088,143077,588411,131931,104947,4216,126126,196887,124668,107163,359283,43242,24229,133959,20152,1957,253013,10206
2014年,0,2824,8702,79792,372760,49772,10485,3154,6483818,9535,489810,222979,156402,458443,253595,941,58736,235768,124000,180958,40931,8191,177854,27283,424619,265,3822,219139,337607,33406,9049,96533,594713,183624,140063,1661,81856,232773,134928,114102,398439,1630,30408,115007,39342,6866,310112,935
