,中国对乌拉圭承包工程完成营业额,中国对伯利兹承包工程完成营业额,中国对危地马拉承包工程完成营业额,中国对厄瓜多尔承包工程完成营业额,中国对古巴承包工程完成营业额,中国对哥伦比亚承包工程完成营业额,中国对哥斯达黎加承包工程完成营业额,中国对圣卢西亚承包工程完成营业额,中国对圣文森特和格林纳丁斯承包工程完成营业额,中国对圭亚那承包工程完成营业额,中国对墨西哥承包工程完成营业额,中国对多米尼克承包工程完成营业额,中国对多米尼加共和国承包工程完成营业额,中国对委内瑞拉承包工程完成营业额,中国对安提瓜和巴布达承包工程完成营业额,中国对尼加拉瓜承包工程完成营业额,中国对巴哈马承包工程完成营业额,中国对巴巴多斯承包工程完成营业额,中国对巴拉圭承包工程完成营业额,中国对巴拿马承包工程完成营业额,中国对巴西承包工程完成营业额,中国对拉丁美洲承包工程完成营业额,中国对智利承包工程完成营业额,中国对格林纳达承包工程完成营业额,中国对洪都拉斯承包工程完成营业额,中国对海地承包工程完成营业额,中国对牙买加承包工程完成营业额,中国对特克斯和凯科斯岛承包工程完成营业额,中国对特立尼达和多巴哥承包工程完成营业额,中国对玻利维亚承包工程完成营业额,中国对秘鲁承包工程完成营业额,中国对苏里南承包工程完成营业额,中国对英属维尔京群岛承包工程完成营业额,中国对阿根廷承包工程完成营业额
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,59,0,0,482,152,0,0,607,0,437,200,0,0,1430,3667,0,0,948,0,16,0,10376,180,0,0,0,510,0,0,193,12,1470,0,13
1999年,0,1,0,713,90,0,0,993,0,111,10,0,0,47,887,0,0,286,0,0,238,7184,150,0,0,0,9,0,415,0,756,1131,0,711
2000年,10,0,0,134,771,0,0,863,10,328,1369,0,159,3451,2528,0,39,383,0,0,1267,16820,180,292,49,0,0,0,472,600,2312,1271,0,332
2001年,0,0,0,149,5025,0,0,868,116,370,880,0,40,5706,2209,208,6,508,0,0,2444,26284,0,347,70,0,2267,0,170,0,1549,1576,0,1776
2002年,153,0,0,1039,7475,49,7,789,0,30,604,207,207,15811,624,0,0,1207,0,0,1382,34722,203,85,0,0,0,0,150,13,1587,2275,0,1039
2003年,35,602,0,4836,8876,249,0,147,0,10,24756,0,3366,8657,846,0,1260,636,0,3270,1325,64800,437,0,0,0,0,0,580,33,1326,1304,0,2249
2004年,185,1380,0,4244,7569,320,0,27,0,399,16479,43,3739,18838,1137,12,740,984,0,1093,6460,80789,2893,0,87,0,137,0,148,225,9286,1122,0,3242
2005年,183,990,0,3394,2091,2260,0,60,0,910,38006,933,645,36868,759,8,82,603,0,3127,24868,141309,2734,148,0,0,1482,0,0,0,6581,2310,0,12267
2006年,109,0,2,4600,14830,4166,0,1327,0,13295,40801,991,689,53284,2690,0,0,1784,0,8080,15539,191296,2955,2645,0,0,9081,0,1868,39,5275,2160,277,4648
2007年,217,1608,0,15113,7593,7483,0,943,806,3463,43324,194,4,67022,667,0,0,1524,0,5359,76882,287786,4620,562,0,0,7946,1698,14026,359,8573,3604,0,14196
2008年,0,3634,39,10754,5306,10532,0,0,1170,932,52329,0,104,77418,193,0,536,1755,0,187,93145,299547,2961,1074,0,0,4660,2320,10274,150,7527,1737,0,10810
2009年,2269,2597,2200,22247,4698,6928,3283,0,404,1395,16557,0,1002,92847,844,0,1291,1560,0,7,111156,364418,8218,164,0,0,9776,309,27538,111,18967,7711,0,18058
2010年,3277,926,8484,21886,6991,8093,5330,0,466,688,39047,1720,0,347961,3423,0,2292,1180,37,3837,101997,627449,6888,700,84,0,16178,0,16097,205,11071,8121,0,10470
2011年,1079,0,9200,53853,9194,8567,2479,0,618,2411,36620,4568,133,358147,397,87,14126,843,21,6748,143868,791669,19471,513,1454,441,32356,0,7921,29645,21108,6522,0,19279
2012年,2833,0,11757,160815,8374,41643,1641,0,335,1798,45626,4068,1647,515259,1687,0,30894,278,103,8448,164606,1131631,11467,272,4350,0,24567,0,10741,651,35005,7965,0,34801
2013年,6531,0,4774,202298,14425,23559,2745,0,875,4588,48552,576,1537,596708,4657,8491,46094,261,8,8744,188194,1330942,11125,58,2842,24220,25920,0,10387,15279,36291,2693,0,38230
2014年,6458,30,1374,240342,8667,30827,5447,0,10,11211,55670,923,3272,500509,11133,11508,66672,46,903,6994,150443,1318059,11219,3065,401,142,46559,0,16373,32950,41608,2755,0,50205
