,中国对丹麦承包工程完成营业额,中国对乌克兰承包工程完成营业额,中国对亚美尼亚承包工程完成营业额,中国对俄罗斯承包工程完成营业额,中国对保加利亚承包工程完成营业额,中国对冰岛承包工程完成营业额,中国对匈牙利承包工程完成营业额,中国对塞尔维亚承包工程完成营业额,中国对奥地利承包工程完成营业额,中国对希腊承包工程完成营业额,中国对德国承包工程完成营业额,中国对意大利承包工程完成营业额,中国对挪威承包工程完成营业额,中国对捷克承包工程完成营业额,中国对摩尔多瓦承包工程完成营业额,中国对摩纳哥承包工程完成营业额,中国对斯洛伐克承包工程完成营业额,中国对斯洛文尼亚承包工程完成营业额,中国对格鲁吉亚承包工程完成营业额,中国对欧洲承包工程完成营业额,中国对比利时承包工程完成营业额,中国对法国承包工程完成营业额,中国对波兰承包工程完成营业额,中国对波斯尼亚-黑塞哥维那承包工程完成营业额,中国对爱尔兰承包工程完成营业额,中国对爱沙尼亚承包工程完成营业额,中国对瑞典承包工程完成营业额,中国对瑞士承包工程完成营业额,中国对白俄罗斯承包工程完成营业额,中国对立陶宛承包工程完成营业额,中国对罗马尼亚承包工程完成营业额,中国对芬兰承包工程完成营业额,中国对英国承包工程完成营业额,中国对荷兰承包工程完成营业额,中国对葡萄牙承包工程完成营业额,中国对西班牙承包工程完成营业额,中国对阿塞拜缰承包工程完成营业额,中国对阿尔巴尼亚承包工程完成营业额,中国对马其顿共和国承包工程完成营业额,中国对马耳他承包工程完成营业额
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,8524,0,0,1,0,14,0,586,114,1490,0,0,0,0,0,100,23880,0,6,839,0,0,0,4090,0,0,0,50,30,3962,408,0,0,0,350,0,35
1999年,0,62,36,3322,3,0,0,0,300,5,392,399,388,0,0,0,0,0,0,12593,210,2,434,0,0,0,10,15,0,0,125,305,668,218,0,0,15,208,0,8
2000年,0,102,0,4484,0,0,19,0,112,0,5494,178,0,0,43,0,0,0,262,35446,413,0,624,0,0,0,63,0,0,0,35,1,2076,3491,0,2206,99,60,0,0
2001年,0,89,0,9018,0,0,0,0,0,0,7904,192,0,0,0,0,0,20,80,56367,9,641,746,0,0,0,0,0,0,0,37,0,1926,1573,137,1751,518,0,0,0
2002年,0,118,0,9952,0,0,0,0,0,2245,15291,9116,567,0,0,0,0,147,1642,90931,2000,1020,467,0,0,0,3015,0,64,0,5,0,5479,0,0,4035,50,59,0,160
2003年,880,451,56,8671,0,84,0,0,0,6960,18569,2783,2559,152,0,0,0,67,1671,116053,51,4397,130,0,213,31,32,1420,871,0,10024,2988,3770,51,0,1621,676,192,1260,33
2004年,1361,1085,0,19173,66,0,60,0,11,7224,20304,2263,5884,2189,0,740,0,185,685,139367,8832,9256,402,0,0,0,120,213,1088,5,886,3732,3680,680,6,2610,8784,1382,819,0
2005年,230,5727,0,27341,885,50,735,0,401,7836,25529,3213,5971,706,0,1030,0,277,282,213281,10437,17882,0,0,296,0,93,92,1134,0,952,1836,6057,6177,797,8103,13585,2836,347,0
2006年,3079,8280,60,41961,7404,527,888,0,487,34244,24481,6934,7125,1696,0,390,48,0,180,342337,14459,32478,450,0,296,0,1291,422,12798,0,926,3672,14601,18261,1095,10204,9834,3517,0,449
2007年,1245,18852,0,76151,1834,444,2981,0,1905,53928,38408,9971,1644,744,274,0,34,2,369,358596,12697,32856,7131,0,0,0,3806,509,11198,480,7306,199,18324,31253,2139,15975,2828,2341,0,370
2008年,491,16346,42,99637,933,712,2690,144,514,32311,41682,3389,6659,1241,132,0,46,172,2385,329932,19298,37861,1239,70,580,0,1564,436,7444,0,6595,370,17487,2685,1080,11406,6411,5063,0,486
2009年,4414,22114,1831,88382,406,474,6503,303,1059,3970,45887,10678,1059,2569,0,0,114,202,426,317464,7345,20319,3362,0,201,0,519,235,8327,27,5460,53,28525,10332,5083,16109,12509,8639,0,0
2010年,241,12915,1136,143128,13209,1410,4429,426,1788,3333,34556,7790,3529,6468,284,0,75,3,3925,498723,11322,46848,5898,0,11,66,1291,366,48876,6,5727,105,43241,11927,4377,22156,55097,1945,57,0
2011年,420,15866,3836,139797,2307,1684,5647,5114,3765,5491,30255,8263,10,3753,25,0,880,0,18617,460042,2197,86753,3369,56,29,0,1487,1897,40511,128,5416,82,24078,9868,2595,7984,25586,2268,4,4
2012年,2957,16363,1478,164631,5969,163,4835,13685,12073,8553,87818,9700,86,4913,102,0,700,19,36250,706182,35075,117932,628,0,0,755,4416,693,56693,0,22498,306,37562,30436,4481,10362,13836,83,0,29
2013年,2399,30865,157,137161,20679,0,3272,7975,3304,18018,46660,10874,722,4730,528,0,0,37,21226,822737,7385,145083,3484,4242,1173,0,8924,1629,164638,0,18722,5,61519,41067,4033,25225,20341,50,287,704
2014年,102,16937,857,115501,20894,0,3693,23525,1895,3345,38138,6176,1432,4618,16,0,0,76,19323,715057,7002,148177,12952,29548,713,0,9284,485,117515,0,16331,0,48281,23173,5044,8902,12947,616,16515,105
