,规模以上专用设备制造业工业企业开发新产品经费,规模以上交通运输设备制造业工业企业开发新产品经费,规模以上仪器仪表及文化、办公用机械制造业工业企业开发新产品经费,规模以上农副食品加工业企业开发新产品经费,规模以上化学原料及化学制品制造业工业企业开发新产品经费,规模以上化学纤维制造业工业企业开发新产品经费,规模以上医药制造业工业企业开发新产品经费,规模以上印刷业和记录媒介的复制工业企业开发新产品经费,规模以上塑料制品业工业企业开发新产品经费,规模以上家具制造业工业企业开发新产品经费,规模以上工业企业开发新产品经费,规模以上工艺品及其他制造业工业企业开发新产品经费,规模以上文教体育用品制造业工业企业开发新产品经费,规模以上有色金属冶炼及压延加工业企业开发新产品经费,规模以上有色金属矿采选业工业企业开发新产品经费,规模以上木材加工及木、竹、藤、棕、草制品业工业企业开发新产品经费,规模以上橡胶制品业工业企业开发新产品经费,规模以上水的生产和供应业工业企业开发新产品经费,规模以上烟草制品业工业企业开发新产品经费,规模以上煤炭开采和洗选业工业企业开发新产品经费,规模以上燃气生产和供应业工业企业开发新产品经费,规模以上电力、热力的生产和供应业工业企业开发新产品经费,规模以上电气机械及器材制造业工业企业开发新产品经费,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业开发新产品经费,规模以上石油加工、炼焦及核燃料加工工业企业开发新产品经费,规模以上石油和天然气开采业工业企业开发新产品经费,规模以上纺织业工业企业开发新产品经费,规模以上纺织服装、鞋、帽制造业工业企业开发新产品经费,规模以上通信设备、计算机及电子设备制造业其他工业企业开发新产品经费,规模以上通用设备制造业工业企业开发新产品经费,规模以上造纸及纸制品业工业企业开发新产品经费,规模以上金属制品业工业企业开发新产品经费,规模以上非金属矿物制品业工业企业开发新产品经费,规模以上非金属矿采选业工业企业开发新产品经费,规模以上食品制造业工业企业开发新产品经费,规模以上饮料制造业工业企业开发新产品经费,规模以上黑色金属冶炼及压延加工业企业开发新产品经费,规模以上黑色金属矿采选业工业企业开发新产品经费
2004年,,,,,,,,,,,9657000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,36760615.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,44819855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,4580085.7,9734549.9,1483066.3,1197057.1,4460791.2,847647.3,2330717.9,219486.6,919429.9,129601.7,68459429.8,268384.0,172333.9,1784679.5,37522.4,160893.0,810419.1,11578.0,164400.8,503870.7,10886.7,265257.2,7683598.7,209395.0,607878.7,304433.3,1652356.9,401891.6,12357995.5,5003972.1,635175.1,1275446.9,1375154.6,38939.8,682740.7,716557.0,5368655.4,30761.1
2012年,5139262.5,,,1611686.1,5432972.8,885544.9,3082346.6,287795.3,,208509.5,79985405.1,,,2128459.2,74987.0,240672.2,,23068.4,152353.6,638024.9,29390.6,277267.4,8630769.0,,797241.4,266716.8,1761983.5,,13639751.7,5719081.0,742744.8,2126664.3,1660509.9,57087.7,897427.5,,6071824.0,16521.6
2013年,5887266.5,,,2140687.0,6292465.9,939357.9,3645005.6,328121.1,,283317.7,92467435.9,,,2629011.7,65144.4,300401.4,,32114.6,195983.5,807902.7,24203.5,397664.6,10453248.9,,1131378.8,243636.5,1905565.5,,15558038.6,6555971.4,795367.6,2473428.7,2193521.2,51074.4,1049121.5,,6060242.4,49431.6
2014年,6370376.7,,,2250686.5,6934590.4,1002438.8,4079308.4,341469.4,,343029.4,101231582.0,,,2721549.1,147445.3,370635.1,,37557.2,201412.6,711094.6,29711.6,353030.0,11286991.7,,1037901.8,204528.0,2046845.9,,17822715.2,7015415.5,828185.6,2701305.2,2506637.8,69157.9,1315863.5,,6155502.3,50805.6
