,规模以上专用设备制造业工业企业新产品出口销售收入,规模以上交通运输设备制造业工业企业新产品出口销售收入,规模以上仪器仪表及文化、办公用机械制造业工业企业新产品出口销售收入,规模以上农副食品加工业企业新产品出口销售收入,规模以上化学原料及化学制品制造业工业企业新产品出口销售收入,规模以上化学纤维制造业工业企业新产品出口销售收入,规模以上医药制造业工业企业新产品出口销售收入,规模以上印刷业和记录媒介的复制工业企业新产品出口销售收入,规模以上塑料制品业工业企业新产品出口销售收入,规模以上家具制造业工业企业新产品出口销售收入,规模以上工业企业新产品出口销售收入,规模以上工艺品及其他制造业工业企业新产品出口销售收入,规模以上文教体育用品制造业工业企业新产品出口销售收入,规模以上有色金属冶炼及压延加工业企业新产品出口销售收入,规模以上有色金属矿采选业工业企业新产品出口销售收入,规模以上木材加工及木、竹、藤、棕、草制品业工业企业新产品出口销售收入,规模以上橡胶制品业工业企业新产品出口销售收入,规模以上水的生产和供应业工业企业新产品出口销售收入,规模以上烟草制品业工业企业新产品出口销售收入,规模以上煤炭开采和洗选业工业企业新产品出口销售收入,规模以上燃气生产和供应业工业企业新产品出口销售收入,规模以上电力、热力的生产和供应业工业企业新产品出口销售收入,规模以上电气机械及器材制造业工业企业新产品出口销售收入,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业新产品出口销售收入,规模以上石油加工、炼焦及核燃料加工工业企业新产品出口销售收入,规模以上石油和天然气开采业工业企业新产品出口销售收入,规模以上纺织业工业企业新产品出口销售收入,规模以上纺织服装、鞋、帽制造业工业企业新产品出口销售收入,规模以上通信设备、计算机及电子设备制造业其他工业企业新产品出口销售收入,规模以上通用设备制造业工业企业新产品出口销售收入,规模以上造纸及纸制品业工业企业新产品出口销售收入,规模以上金属制品业工业企业新产品出口销售收入,规模以上非金属矿物制品业工业企业新产品出口销售收入,规模以上非金属矿采选业工业企业新产品出口销售收入,规模以上食品制造业工业企业新产品出口销售收入,规模以上饮料制造业工业企业新产品出口销售收入,规模以上黑色金属冶炼及压延加工业企业新产品出口销售收入,规模以上黑色金属矿采选业工业企业新产品出口销售收入
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,53122000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,140816000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,115725306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,5093861.4,21612716.5,3159888.1,1258787.2,6666167.6,1375161.4,2424277.2,211688.8,1669939.4,879144.5,202230938.1,1220726.5,954128.7,3253270.9,1896.0,374461.3,2790811.1,,32325.8,842514.4,,45023.4,23161204.8,1264770.9,37031.6,2102.4,6164165.0,953207.0,96385715.6,7452655.2,1073575.8,2952550.0,1899670.0,5239.6,930873.2,214597.3,5866789.5,
2012年,6428327.9,,,1199277.7,8009253.6,1106669.7,2933596.2,227750.6,,1130409.7,218941519.3,,,3909708.8,4600.0,558121.1,,,41206.2,736899.0,,46076.9,22507520.7,,49335.8,,6295479.9,,105419212.5,9579730.1,923184.5,4066462.0,2588919.9,5969.2,1298583.7,,7605736.2,5.2
2013年,8280087.4,,,1338445.8,8136824.3,1191032.9,3168254.7,318939.5,,1524342.6,228534683.0,,,3578179.1,2103.4,523592.0,,,61447.1,507529.9,,33378.1,22512999.2,,57765.8,580.0,5578100.3,,113450701.3,8871992.1,866566.4,4471631.3,2778272.5,6172.9,1280354.0,,7545887.2,
2014年,7543519.6,,,1509677.2,8910377.9,1374265.7,3194422.0,380125.5,,1595520.7,269043782.5,,,3635328.1,10801.1,689355.4,,,38638.2,362210.9,,33773.3,27047272.9,,42732.2,,6753510.9,,138749123.8,9798770.9,1161912.7,5146222.6,2718396.7,6120.1,1214700.3,,8863480.4,739.2
