,专用设备制造业煤炭消费总量,交通运输、仓储和邮政业煤炭消费总量,仪器仪表制造业煤炭消费总量,其他制造业煤炭消费总量,其他行业煤炭消费总量,其他采矿业煤炭消费总量,农、林、牧、渔、水利业煤炭消费总量,农副食品加工业煤炭消费总量,制造业煤炭消费总量,化学原料及化学制品制造业煤炭消费总量,化学纤维制造业煤炭消费总量,医药制造业煤炭消费总量,印刷业和记录媒介的复制煤炭消费总量,塑料制品业煤炭消费总量,家具制造业煤炭消费总量,工业煤炭消费总量,废弃资源综合利用业煤炭消费总量,建筑业煤炭消费总量,开采辅助活动煤炭消费总量,批发、零售业和住宿、餐饮业煤炭消费总量,文教体育用品制造业煤炭消费总量,有色金属冶炼及压延加工业煤炭消费总量,有色金属矿采选业煤炭消费总量,木材加工及木、竹、藤、棕、草制品业煤炭消费总量,橡胶制品业煤炭消费总量,橡胶和塑料制品业煤炭消费总量,水的生产和供应业煤炭消费总量,汽车制造业煤炭消费总量,烟草制品业煤炭消费总量,煤炭开采和洗选业煤炭消费总量,煤炭消费总量,燃气生产和供应业煤炭消费总量,生活消费煤炭消费总量,电力、热力的生产和供应业煤炭消费总量,电力、煤气及水生产和供应业煤炭消费总量,电气机械及器材制造业煤炭消费总量,皮革、毛皮、羽毛及其制品和制鞋业煤炭消费总量,石油加工、炼焦及核燃料加工业煤炭消费总量,石油和天然气开采业煤炭消费总量,纺织业煤炭消费总量,纺织服装、服饰业煤炭消费总量,通信设备、计算机及其他电子设备制造业煤炭消费总量,通用设备制造业煤炭消费总量,造纸及纸制品业煤炭消费总量,酒、饮料和精制茶制造业煤炭消费总量,采掘业煤炭消费总量,金属制品、机械和设备修理业煤炭消费总量,金属制品业煤炭消费总量,铁路、船舶、航空航天和其他运输设备制造业煤炭消费总量,非金属矿物制品业煤炭消费总量,非金属矿采选业煤炭消费总量,食品制造业煤炭消费总量,黑色金属冶炼及硣延加工业煤炭消费总量,黑色金属矿采选业煤炭消费总量
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,375.742150091,882.239792522,37.1316019511,350.48749577,1161.01,137.867720647,933.376,1581.25309405,57742.3377102,8838.68680255,953.480453112,614.978265389,58.3204873226,168.522559855,49.5067565475,127806.65,0.0,536.82,,1314.64,20.2481552721,1512.84171623,102.998840879,264.736669757,315.16469855,,50.4374307096,825.307662213,150.414002905,9874.50801709,141091.695793,1120.29938097,8456.96,57380.7159349,58551.4527466,220.398486275,81.4609378597,9078.34438326,846.813573264,1638.21746188,139.673271358,82.8244444078,411.514295911,2081.69561655,725.475942383,11512.8595432,,271.783991052,,13804.6359607,472.061098975,747.347107006,12342.14324,78.6102923549
2001年,363.365057376,841.279296188,32.5975440737,287.355966199,1164.73,146.599800167,899.748,1634.88332383,58290.5689157,8848.69587413,912.488456105,614.506831701,61.564367194,169.455779192,54.0783937261,131446.25,0.0,504.98,,1260.87,22.1042756037,1562.54652614,108.030957485,264.98842878,332.913189961,,47.9666639654,847.96663998,164.308023869,9561.46816693,144528.107296,1056.95435894,,60721.8714943,61826.7925172,209.468260494,84.065369497,10187.348338,884.310088617,1650.44374245,149.793682357,75.0948692987,424.362231193,2049.56494381,755.018289009,11328.8885671,,277.436027963,,13077.9120416,550.814026149,748.275457192,12427.966985,77.6655277089
2002年,338.233617884,851.956478801,33.8949265921,296.117589369,1267.06,125.234887021,936.023,1630.28868365,57839.1862406,9498.15706074,814.063101752,634.112888861,63.4201767311,141.119700711,53.0298450286,139042.35,0.0,513.55,,1259.08,20.9942056314,1619.16549733,107.693837701,276.629973566,343.083625858,,43.5779985321,908.939292485,170.437554171,8416.3799857,152282.659479,1074.56075935,,69797.5308644,70915.6696223,209.014202116,86.0842227978,10259.167009,942.40767122,1679.22383657,145.456804031,77.1413400881,429.899305627,2163.61082858,752.754650604,10287.4941372,,287.795443514,,11414.4500609,590.289267422,740.105207954,12752.7955884,105.488488094
2003年,459.984974321,958.335839313,41.1585722678,267.880515686,1450.62,234.122178409,1078.331,1712.49298376,68225.5762455,10609.1007676,841.050808684,683.694523608,78.7808701205,176.592239678,60.9928735713,166207.477214,100.967465785,527.15,,1360.42,22.4929761501,1875.115319,107.614201539,328.807681311,352.816520262,,44.5107367909,792.816127736,174.828561206,11125.3973602,180587.044054,1114.69691474,,83221.5426184,84380.7502699,194.312206232,85.8090340414,13130.7740215,1180.96899649,1828.51549281,159.324660151,85.6713958978,398.178726271,2197.4807697,785.903681567,13601.1506989,,259.677461093,,14058.1414246,826.817738279,678.049563011,15784.1640279,126.230223955
2004年,549.487938626,827.987310842,25.4862251662,600.115896265,1630.97047,2.10214743418,1425.8344,1391.21227697,82679.6591429,11595.2987305,832.146553808,653.137287036,45.6692192739,282.750805765,33.0171779534,191864.98,7.46051756003,571.5344,,1471.786548,20.9992247008,2342.99991358,111.534598641,441.731874024,434.781434651,,38.1588743492,939.270040546,158.302705395,11686.7009233,207561.289572,1223.46861067,,95069.8448195,96331.4723045,185.126059239,105.660300512,16387.874074,391.633062697,2407.64508175,211.489510254,160.732411323,412.350200624,3128.35819463,857.404491833,12853.8485526,,334.243321831,,19564.0728743,545.50250089,913.932405993,17656.9023948,116.37531965
2005年,553.914695197,811.169968918,24.6777377396,563.5642564,1715.88058,2.10030575797,1513.7987118,1392.32706194,92018.3903892,12915.2130532,813.134667124,686.305753036,45.6352048873,280.446525217,32.7462626102,215493.295837,7.0808982905,603.56,,1674.389958,20.9178651271,2488.32270364,112.392443672,437.059129134,443.139736495,,38.416047167,865.587192886,135.299208061,14535.9635971,231851.065901,1316.520747,10038.970845,106286.710091,107641.646885,172.756845152,105.196517074,19753.1503857,373.743875752,2555.37311792,237.135788246,155.248220323,411.62861323,3439.44606583,840.336230995,15833.2585625,,337.555435061,,20036.2301692,668.993394007,974.489261062,21294.4717885,140.064946199
2006年,580.710881225,769.935206001,25.6479962026,559.758203327,1802.89894747,2.1866833982,1502.60251566,1450.95629474,99084.3853721,13654.6946537,830.102490247,730.760417133,47.4157081984,293.780362842,34.0556650491,238510.226723,7.29911662218,651.993404557,,1791.455934,21.7528918246,2711.14052774,115.799185297,459.395406357,456.726289963,,40.1527456276,891.770503531,139.561683159,15599.753226,255065.453801,1441.37324479,10036.3410702,121059.668527,122541.194517,179.740486351,110.55692303,22944.0040608,376.514498891,2796.31538258,258.875268187,153.468716725,438.930754497,3823.23782156,860.560124013,16884.6468338,,340.659327669,,20708.5271728,645.544450666,1022.41868643,22551.5615556,144.848789586
2007年,571.949330456,735.894079385,25.0745885895,520.273112589,2043.4316,2.43933816169,1519.572405,1557.10534391,102002.353157,14187.9504836,886.904100266,701.886362705,46.2498352961,285.870152113,33.1966218783,256202.759038,7.25725092189,615.33243,,1868.27476,21.2283680855,2918.67901203,113.505312973,455.349573011,456.799286383,,38.9266137306,887.333514523,124.04029409,17626.3346508,272745.87719,1537.85192054,9760.6128783,133651.890236,135228.66877,176.083293634,107.293432044,25000.487375,381.191965695,2862.04686505,265.912433978,150.023036583,419.008532851,3819.30901247,864.035380396,18971.7371106,,333.345921461,,20416.7891659,694.844080116,1054.16954413,22846.7019332,153.421762873
2008年,548.0121715,665.407200411,26.5544845,491.7885514,1791.56256,1.39,1522.573405,1641.55174838,108176.797707,15067.4620519,751.473455673,717.670019176,41.5233557542,312.397391851,33.4632960312,265574.196032,9.54,603.177243267,,1791.389,18.2490708537,3301.3926344,95.7525757132,439.995540584,458.393760488,,35.163834,835.5665035,94.93855,18317.3024641,281095.916335,1136.08048329,9147.610894,136725.087475,137896.331792,179.343080519,85.600166211,26437.7150201,299.41224867,2529.11833557,229.353167983,185.1053415,436.374951,3858.05225175,856.526762876,19501.0665326,,342.55630597,,23049.0533643,605.159852497,1071.8514084,24126.174965,182.049391575
2009年,576.82808922,640.892566598,25.159690584,457.66801894,1986.13870675,2.26,1582.10983798,1673.25304335,112005.84254,15014.4141104,733.363281855,697.324153702,39.4678402225,367.28857206,29.735100018,279888.517138,10.358,635.585762647,,1977.888052,17.6341272296,3086.63333998,94.259263344,441.633898105,453.903142153,,28.34662748,845.848522225,89.198695,20245.2994644,295833.079811,1248.90495982,9121.9,144877.423214,146154.674801,383.106519415,85.717282996,27204.8737499,557.603751893,2433.3233715,219.342666582,184.681430275,425.41807745,4006.28240217,814.722373125,21727.9997972,,334.897799327,,23753.5118395,660.741682092,1047.00880224,26553.2446,167.835635545
2010年,627.83,639.23,25.46,471.78,2006.59,2.56,1711.1,1699.66,118821.5,14703.88,589.1,716.35,44.7,377.96,33.79,296031.63,12.95,718.91,,1969.87,17.74,5714.93,99.19,432.64,508.1,,66.68,853.95,80.06,23143.94,312236.5,1341.79,9159.17354849,151163.05,152571.52,253.54,75.11,29780.84,563.03,2618.04,233.77,185.11,432.85,4281.61,792.4,24638.61,,316.0,,23508.83,607.79,1210.93,28221.59,222.1
2011年,559.547808587,645.850776541,21.945768202,456.109043127,2112.20596947,0.0,1756.63150692,1719.05236625,128297.110331,16177.1713533,651.144205153,776.265045312,31.9977505802,353.142630827,33.8877259711,326229.970811,13.44632,781.807333573,,2211.71130423,15.0728582266,6227.18139352,107.900582956,433.544400508,468.391992585,,43.4556656422,798.64386891,109.107327123,24629.8991701,342950.24,1003.77527261,9212.05546075,170744.151402,171791.382341,519.063612213,68.9680553228,34087.2368173,559.717450061,2261.68217049,211.898955388,164.041068697,399.211930563,4466.51304333,801.3813357,26141.4781386,,281.417797898,,25031.8419234,632.726960296,1187.05303755,29971.1487253,211.233975207
2012年,430.69673837,614.263626717,30.7255622774,539.815879168,2283.19175712,1.91,1766.11797197,1753.25392962,132542.856321,17777.1172779,699.715248083,813.447985918,32.082793832,,34.088548137,335714.651304,14.4188528,753.408454141,,2361.99863383,26.6992873399,6411.06130531,112.061177126,421.049642519,,,63.66,577.98,62.9812049376,26163.3004343,352647.073669,1074.572776,9253.44192157,174273.37949,175411.612266,490.996430102,79.4954665148,36450.2471989,477.889178383,2065.59070521,228.405200002,245.444015923,268.853846917,4523.88871427,736.989525542,27760.1827167,,360.083357478,,24813.9983902,619.990745455,1296.99173433,30296.1645793,200.861181449
2013年,389.97,615.41,,,4135.5580249,2.88,2450.56845009,3211.2465408,173152.327855,25788.7092816,1122.85,1381.54,69.38,,70.8,403157.007736,62.83,811.385002226,,3966.17685886,,9377.68608,205.91625,620.98,,,56.5,,62.47,36772.3009108,424425.941022,934.96,9289.83495013,189848.48,190839.94,707.76,,47649.32,481.14,2895.63,,161.39,411.8,5302.654096,,39164.7398806,,646.32,,31633.3124962,1036.61,1961.39,34531.35,481.30271989
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
