,中国对中非劳务合作年末在外人员,中国对乌干达劳务合作年末在外人员,中国对乍得劳务合作年末在外人员,中国对佛得角劳务合作年末在外人员,中国对冈比亚劳务合作年末在外人员,中国对几内亚(比绍)劳务合作年末在外人员,中国对几内亚劳务合作年末在外人员,中国对刚果(布)劳务合作年末在外人员,中国对刚果(金)劳务合作年末在外人员,中国对利比亚劳务合作年末在外人员,中国对利比里亚劳务合作年末在外人员,中国对加纳劳务合作年末在外人员,中国对加蓬劳务合作年末在外人员,中国对南苏丹劳务合作年末在外人员,中国对南非劳务合作年末在外人员,中国对博茨瓦纳劳务合作年末在外人员,中国对卢旺达劳务合作年末在外人员,中国对厄立特里亚劳务合作年末在外人员,中国对吉布提劳务合作年末在外人员,中国对喀麦隆劳务合作年末在外人员,中国对圣多美和普林西比劳务合作年末在外人员,中国对坦桑尼亚劳务合作年末在外人员,中国对埃及劳务合作年末在外人员,中国对埃塞俄比亚劳务合作年末在外人员,中国对塞内加尔劳务合作年末在外人员,中国对塞拉利昂劳务合作年末在外人员,中国对塞舌尔劳务合作年末在外人员,中国对多哥劳务合作年末在外人员,中国对安哥拉劳务合作年末在外人员,中国对尼日利亚劳务合作年末在外人员,中国对尼日尔劳务合作年末在外人员,中国对布基纳法索劳务合作年末在外人员,中国对布隆迪劳务合作年末在外人员,中国对摩洛哥劳务合作年末在外人员,中国对斯威士兰劳务合作年末在外人员,中国对毛里塔尼亚劳务合作年末在外人员,中国对毛里求斯劳务合作年末在外人员,中国对津巴布韦劳务合作年末在外人员,中国对科摩罗劳务合作年末在外人员,中国对科特迪瓦劳务合作年末在外人员,中国对突尼斯劳务合作年末在外人员,中国对索马里劳务合作年末在外人员,中国对纳米比亚劳务合作年末在外人员,中国对肯尼亚劳务合作年末在外人员,中国对苏丹劳务合作年末在外人员,中国对莫桑比克劳务合作年末在外人员,中国对莱索托劳务合作年末在外人员,中国对贝宁劳务合作年末在外人员,中国对赞比亚劳务合作年末在外人员,中国对赤道几内亚劳务合作年末在外人员,中国对阿尔及利亚劳务合作年末在外人员,中国对非洲劳务合作年末在外人员,中国对马拉维劳务合作年末在外人员,中国对马达加斯加劳务合作年末在外人员,中国对马里劳务合作年末在外人员
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,0,100,36,651,0,0,41,705,27,0,684,81,274,1,850,109,69,256,2,27,0,329,67,212,32,59,68,53,8534,2315,13,0,13,179,177,476,4931,28,0,14,6,0,4,114,138,139,522,73,516,1126,4704,29041,0,212,74
2012年,0,122,80,1443,0,1,119,349,47,0,1788,473,341,0,1114,60,127,280,2,123,0,322,0,503,146,434,84,118,11699,1836,33,1,22,206,12,561,2892,35,0,27,8,0,0,46,69,119,645,36,730,1490,9061,37910,1,100,169
2013年,0,169,57,221,0,1,146,2053,391,65,1771,821,312,4,1456,31,164,114,2,148,0,576,0,684,115,481,84,107,12679,1647,38,1,29,188,4,402,1344,30,0,77,4,0,0,60,694,254,738,124,858,1384,14837,45948,11,359,213
2014年,0,311,402,183,0,1,252,2195,633,38,3637,974,309,122,832,31,239,126,24,104,0,695,0,753,116,588,192,131,11804,1633,110,1,59,195,3,454,1203,42,0,105,4,0,101,122,1779,526,852,151,1913,1665,25276,61532,21,366,259
