,中国对丹麦劳务合作年末在外人员,中国对乌克兰劳务合作年末在外人员,中国对亚美尼亚劳务合作年末在外人员,中国对俄罗斯劳务合作年末在外人员,中国对保加利亚劳务合作年末在外人员,中国对冰岛劳务合作年末在外人员,中国对匈牙利劳务合作年末在外人员,中国对塞尔维亚劳务合作年末在外人员,中国对奥地利劳务合作年末在外人员,中国对希腊劳务合作年末在外人员,中国对德国劳务合作年末在外人员,中国对意大利劳务合作年末在外人员,中国对挪威劳务合作年末在外人员,中国对捷克劳务合作年末在外人员,中国对摩尔多瓦劳务合作年末在外人员,中国对摩纳哥劳务合作年末在外人员,中国对斯洛伐克劳务合作年末在外人员,中国对斯洛文尼亚劳务合作年末在外人员,中国对格鲁吉亚劳务合作年末在外人员,中国对欧洲劳务合作年末在外人员,中国对比利时劳务合作年末在外人员,中国对法国劳务合作年末在外人员,中国对波兰劳务合作年末在外人员,中国对波斯尼亚-黑塞哥维那劳务合作年末在外人员,中国对爱尔兰劳务合作年末在外人员,中国对爱沙尼亚劳务合作年末在外人员,中国对瑞典劳务合作年末在外人员,中国对瑞士劳务合作年末在外人员,中国对白俄罗斯劳务合作年末在外人员,中国对立陶宛劳务合作年末在外人员,中国对罗马尼亚劳务合作年末在外人员,中国对芬兰劳务合作年末在外人员,中国对英国劳务合作年末在外人员,中国对荷兰劳务合作年末在外人员,中国对葡萄牙劳务合作年末在外人员,中国对西班牙劳务合作年末在外人员,中国对阿塞拜缰劳务合作年末在外人员,中国对阿尔巴尼亚劳务合作年末在外人员,中国对马其顿共和国劳务合作年末在外人员,中国对马耳他劳务合作年末在外人员
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,7,37,0,17527,0,0,4,1,0,332,4978,143,260,4,0,3,1,13,0,27421,0,61,138,0,174,0,29,2,209,53,15,25,1027,2176,0,0,1,0,0,201
2012年,57,37,0,14734,0,0,4,1,0,260,4941,188,421,0,0,0,0,13,0,24990,0,24,21,0,0,0,25,2,374,0,15,21,1218,2159,0,0,0,0,0,242
2013年,59,37,0,9819,0,0,4,1,0,81,3266,344,348,0,0,0,0,10,0,15569,1,22,17,0,1,0,18,2,19,0,0,2,909,345,0,0,0,0,0,233
2014年,69,0,0,13110,0,0,4,13,0,97,3622,630,550,0,0,0,0,4,230,20295,1,25,20,0,1,0,31,2,29,0,0,2,961,267,0,0,0,0,0,456
