,专用设备制造业国有控股工业企业资产总计,仪器仪表制造业国有控股工业企业资产总计,其他制造业国有控股工业企业资产总计,其他采矿业国有控股工业企业资产总计,农副食品加工业国有控股工业企业资产总计,化学原料和化学制品制造业国有控股工业企业资产总计,化学纤维制造业国有控股工业企业资产总计,医药制造业国有控股工业企业资产总计,印刷和记录媒介复制业国有控股工业企业资产总计,国有控股工业企业资产总计,家具制造业国有控股工业企业资产总计,废弃资源综合利用业国有控股工业企业资产总计,开采辅助活动国有控股工业企业资产总计,文教、工美、体育和娱乐用品制造业国有控股工业企业资产总计,有色金属冶炼和压延加工业国有控股工业企业资产总计,有色金属矿采选业国有控股工业企业资产总计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业资产总计,橡胶和塑料制品业国有控股工业企业资产总计,水的生产和供应业国有控股工业企业资产总计,汽车制造业国有控股工业企业资产总计,烟草制品业国有控股工业企业资产总计,煤炭开采和洗选业国有控股工业企业资产总计,燃气生产和供应业国有控股工业企业资产总计,电力、热力生产和供应业国有控股工业企业资产总计,电气机械和器材制造业国有控股工业企业资产总计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业资产总计,石油加工、炼焦和核燃料加工业国有控股工业企业资产总计,石油和天然气开采业国有控股工业企业资产总计,纺织业国有控股工业企业资产总计,纺织服装、服饰业国有控股工业企业资产总计,计算机、通信和其他电子设备制造业国有控股工业企业资产总计,通用设备制造业国有控股工业企业资产总计,造纸和纸制品业国有控股工业企业资产总计,酒、饮料和精制茶制造业国有控股工业企业资产总计,金属制品、机械和设备修理业国有控股工业企业资产总计,金属制品业国有控股工业企业资产总计,铁路、船舶、航空航天和其他运输设备国有控股工业企业资产总计,非金属矿物制品业国有控股工业企业资产总计,非金属矿采选业国有控股工业企业资产总计,食品制造业国有控股工业企业资产总计,黑色金属冶炼和压延加工业国有控股工业企业资产总计,黑色金属矿采选业国有控股工业企业资产总计
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,8150.88362,1117.3573,671.70706,1.92387,1975.41123,15867.47437,629.4869,2971.0717,622.39915,312094.37,81.59387,106.78592,2237.16561,195.93147,12068.18063,1818.16395,208.38142,1330.2949,5238.29058,19292.63838,7027.99416,31443.48271,2543.51096,83147.25108,6214.69824,64.51932,11945.79742,16625.03745,1009.43583,209.9506,8448.33269,7360.07651,1735.21632,3232.44693,645.48411,2718.23325,10621.02403,7007.31415,834.91726,941.46407,29769.61917,3963.41745
2013年,8946.49,1162.56,917.36,1.95,2266.75,17493.45,669.46,3210.84,687.47,343985.88,85.92,134.01,2465.86,225.66,13292.14,2043.45,216.01,1469.88,6128.78,22430.3,7903.4,34424.86,2632.67,92228.48,7040.87,54.26,12769.56,17891.42,1055.15,252.41,8766.02,8220.74,1640.82,3367.76,702.67,2925.78,11385.57,7839.65,984.74,1123.67,32508.59,4418.44
2014年,8848.67,1252.02,868.18,2.09,2527.76,19341.59,673.95,3499.93,709.19,371308.84,98.1,136.72,2272.35,262.11,14101.86,2378.15,238.73,1539.36,7080.39,24825.99,8385.85,37113.43,3403.74,100872.16,7481.32,53.74,13395.91,19064.81,1107.53,273.02,10183.25,8770.65,1667.35,3654.48,615.09,3177.9,11815.55,8795.1,1150.41,1231.24,33717.75,4721.41
