,专用设备制造业国有控股工业企业主营业务收入,仪器仪表制造业国有控股工业企业主营业务收入,其他制造业国有控股工业企业主营业务收入,其他采矿业国有控股工业企业主营业务收入,农副食品加工业国有控股工业企业主营业务收入,化学原料和化学制品制造业国有控股工业企业主营业务收入,化学纤维制造业国有控股工业企业主营业务收入,医药制造业国有控股工业企业主营业务收入,印刷和记录媒介复制业国有控股工业企业主营业务收入,国有控股工业企业主营业务收入,家具制造业国有控股工业企业主营业务收入,废弃资源综合利用业国有控股工业企业主营业务收入,开采辅助活动国有控股工业企业主营业务收入,文教、工美、体育和娱乐用品制造业国有控股工业企业主营业务收入,有色金属冶炼和压延加工业国有控股工业企业主营业务收入,有色金属矿采选业国有控股工业企业主营业务收入,木材加工和木、竹、藤、棕、草制品业国有控股工业企业主营业务收入,橡胶和塑料制品业国有控股工业企业主营业务收入,水的生产和供应业国有控股工业企业主营业务收入,汽车制造业国有控股工业企业主营业务收入,烟草制品业国有控股工业企业主营业务收入,煤炭开采和洗选业国有控股工业企业主营业务收入,燃气生产和供应业国有控股工业企业主营业务收入,电力、热力生产和供应业国有控股工业企业主营业务收入,电气机械和器材制造业国有控股工业企业主营业务收入,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业主营业务收入,石油加工、炼焦和核燃料加工业国有控股工业企业主营业务收入,石油和天然气开采业国有控股工业企业主营业务收入,纺织业国有控股工业企业主营业务收入,纺织服装、服饰业国有控股工业企业主营业务收入,计算机、通信和其他电子设备制造业国有控股工业企业主营业务收入,通用设备制造业国有控股工业企业主营业务收入,造纸和纸制品业国有控股工业企业主营业务收入,酒、饮料和精制茶制造业国有控股工业企业主营业务收入,金属制品、机械和设备修理业国有控股工业企业主营业务收入,金属制品业国有控股工业企业主营业务收入,铁路、船舶、航空航天和其他运输设备国有控股工业企业主营业务收入,非金属矿物制品业国有控股工业企业主营业务收入,非金属矿采选业国有控股工业企业主营业务收入,食品制造业国有控股工业企业主营业务收入,黑色金属冶炼和压延加工业国有控股工业企业主营业务收入,黑色金属矿采选业国有控股工业企业主营业务收入
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,5537.62121,768.62826,397.99002,0.84227,2982.9971,12455.93879,448.91065,2224.59811,486.42598,245075.97,93.7092,190.18913,1586.77833,437.51188,13962.55427,1668.87811,186.8859,1301.41393,907.00538,22690.81841,7522.57796,20157.52565,1713.20783,49302.71685,4624.73089,114.49445,27452.73623,10432.25319,850.50076,200.85484,6085.1555,4794.41231,911.56567,2663.13401,299.62902,2144.56675,6188.18867,4176.10945,472.94368,934.73356,24132.48162,1571.75548
2013年,5574.54,780.07,427.23,1.02,3427.07,13097.02,482.26,2295.57,515.98,257816.87,88.49,236.55,1717.26,517.72,15618.3,1843.77,190.85,1272.23,1032.7,25789.52,8245.01,19193.05,1926.88,52169.63,5212.85,105.95,27868.47,10157.34,894.98,207.42,6581.62,5056.24,724.53,2629.7,310.25,2262.37,6467.38,4829.75,519.95,1069.44,24782.53,1693.38
2014年,4955.4,800.37,410.12,0.94,3624.39,13285.58,472.85,2265.55,504.61,262692.28,80.99,187.29,1774.76,503.62,16670.29,1885.83,211.61,1258.51,1178.36,29565.23,8895.79,17734.6,2537.86,53219.08,5531.75,87.32,27226.9,9973.94,878.11,187.19,7224.32,4975.31,729.74,2617.6,280.71,2220.36,7216.1,5011.34,530.08,1213.82,23260.33,1503.73
