,专用设备制造业国有控股工业企业个人资本金,仪器仪表制造业国有控股工业企业个人资本金,其他制造业国有控股工业企业个人资本金,其他采矿业国有控股工业企业个人资本金,农副食品加工业国有控股工业企业个人资本金,化学原料和化学制品制造业国有控股工业企业个人资本金,化学纤维制造业国有控股工业企业个人资本金,医药制造业国有控股工业企业个人资本金,印刷和记录媒介复制业国有控股工业企业个人资本金,国有控股工业企业个人资本金,家具制造业国有控股工业企业个人资本金,废弃资源综合利用业国有控股工业企业个人资本金,开采辅助活动国有控股工业企业个人资本金,文教、工美、体育和娱乐用品制造业国有控股工业企业个人资本金,有色金属冶炼和压延加工业国有控股工业企业个人资本金,有色金属矿采选业国有控股工业企业个人资本金,木材加工和木、竹、藤、棕、草制品业国有控股工业企业个人资本金,橡胶和塑料制品业国有控股工业企业个人资本金,水的生产和供应业国有控股工业企业个人资本金,汽车制造业国有控股工业企业个人资本金,烟草制品业国有控股工业企业个人资本金,煤炭开采和洗选业国有控股工业企业个人资本金,燃气生产和供应业国有控股工业企业个人资本金,电力、热力生产和供应业国有控股工业企业个人资本金,电气机械和器材制造业国有控股工业企业个人资本金,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业个人资本金,石油加工、炼焦和核燃料加工业国有控股工业企业个人资本金,石油和天然气开采业国有控股工业企业个人资本金,纺织业国有控股工业企业个人资本金,纺织服装、服饰业国有控股工业企业个人资本金,计算机、通信和其他电子设备制造业国有控股工业企业个人资本金,通用设备制造业国有控股工业企业个人资本金,造纸和纸制品业国有控股工业企业个人资本金,酒、饮料和精制茶制造业国有控股工业企业个人资本金,金属制品、机械和设备修理业国有控股工业企业个人资本金,金属制品业国有控股工业企业个人资本金,铁路、船舶、航空航天和其他运输设备国有控股工业企业个人资本金,非金属矿物制品业国有控股工业企业个人资本金,非金属矿采选业国有控股工业企业个人资本金,食品制造业国有控股工业企业个人资本金,黑色金属冶炼和压延加工业国有控股工业企业个人资本金,黑色金属矿采选业国有控股工业企业个人资本金
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,66.03637,12.02928,2.38864,,26.6443,116.64853,29.32197,65.80524,8.92581,1616.85015,0.23666,0.14,0.23223,1.40311,94.74828,13.50506,4.44195,24.91581,13.9641,100.93506,0.02892,125.11459,7.87393,179.71491,53.00137,0.115,29.7005,0.00826,19.43329,0.58757,150.99029,52.975,42.10756,53.79276,0.19517,41.64436,23.18823,65.30542,2.01366,27.35025,146.54154,12.84517
2013年,57.39,10.36,10.39,0.0,24.7,127.9,30.18,75.12,7.41,1790.25,0.24,1.11,1.17,0.88,88.22,10.65,4.11,23.81,13.65,97.34,0.03,140.68,2.93,194.47,66.97,0.19,83.9,2.9,19.53,0.51,91.39,63.6,12.22,128.11,0.14,20.78,22.85,89.24,5.62,36.32,210.08,13.18
2014年,55.59,27.98,5.83,0.0,31.38,216.37,31.44,85.96,9.01,1911.56,0.23,0.91,0.94,0.9,71.23,10.03,4.78,27.51,31.14,123.05,0.1,177.47,7.27,203.65,66.62,0.11,38.59,0.04,22.7,0.53,85.57,66.57,23.31,47.92,4.93,16.56,25.01,86.87,8.02,45.05,238.33,12.04
