,专用设备制造业国有控股工业企业实收资本,仪器仪表制造业国有控股工业企业实收资本,其他制造业国有控股工业企业实收资本,其他采矿业国有控股工业企业实收资本,农副食品加工业国有控股工业企业实收资本,化学原料和化学制品制造业国有控股工业企业实收资本,化学纤维制造业国有控股工业企业实收资本,医药制造业国有控股工业企业实收资本,印刷和记录媒介复制业国有控股工业企业实收资本,国有控股工业企业实收资本,家具制造业国有控股工业企业实收资本,废弃资源综合利用业国有控股工业企业实收资本,开采辅助活动国有控股工业企业实收资本,文教、工美、体育和娱乐用品制造业国有控股工业企业实收资本,有色金属冶炼和压延加工业国有控股工业企业实收资本,有色金属矿采选业国有控股工业企业实收资本,木材加工和木、竹、藤、棕、草制品业国有控股工业企业实收资本,橡胶和塑料制品业国有控股工业企业实收资本,水的生产和供应业国有控股工业企业实收资本,汽车制造业国有控股工业企业实收资本,烟草制品业国有控股工业企业实收资本,煤炭开采和洗选业国有控股工业企业实收资本,燃气生产和供应业国有控股工业企业实收资本,电力、热力生产和供应业国有控股工业企业实收资本,电气机械和器材制造业国有控股工业企业实收资本,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业实收资本,石油加工、炼焦和核燃料加工业国有控股工业企业实收资本,石油和天然气开采业国有控股工业企业实收资本,纺织业国有控股工业企业实收资本,纺织服装、服饰业国有控股工业企业实收资本,计算机、通信和其他电子设备制造业国有控股工业企业实收资本,通用设备制造业国有控股工业企业实收资本,造纸和纸制品业国有控股工业企业实收资本,酒、饮料和精制茶制造业国有控股工业企业实收资本,金属制品、机械和设备修理业国有控股工业企业实收资本,金属制品业国有控股工业企业实收资本,铁路、船舶、航空航天和其他运输设备国有控股工业企业实收资本,非金属矿物制品业国有控股工业企业实收资本,非金属矿采选业国有控股工业企业实收资本,食品制造业国有控股工业企业实收资本,黑色金属冶炼和压延加工业国有控股工业企业实收资本,黑色金属矿采选业国有控股工业企业实收资本
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1380.82717,215.09209,117.92611,0.1,258.29904,3540.82229,138.15869,554.09832,209.71118,58417.00917,10.03481,20.06016,980.95559,40.32016,1952.86749,352.33306,46.81435,275.19907,1373.36892,2963.23862,946.1571,3820.11197,580.67268,14722.47316,897.1332,8.81692,3603.46389,5241.63098,186.49926,38.78811,2514.87978,987.64624,397.63657,402.62602,140.76851,582.86468,1798.11586,1536.30461,141.15746,190.26888,4468.52722,780.23895
2013年,1595.5,220.91,129.39,0.1,307.55,3961.06,147.95,806.56,247.74,63390.89,13.24,33.59,1172.96,53.01,2101.53,361.86,42.83,307.85,1529.45,3163.94,965.05,3967.38,711.43,15452.23,997.2,9.16,3551.52,7047.5,193.36,43.55,1758.09,1044.98,353.37,654.51,158.73,611.68,1962.97,1678.45,167.42,208.33,4813.04,843.92
2014年,1612.31,244.91,99.74,0.1,380.54,4172.74,140.67,646.59,248.83,67132.27,15.43,25.79,1040.14,54.71,2172.7,405.4,42.84,326.54,1658.42,3244.93,999.58,4330.98,1103.15,17039.29,1089.87,6.9,3847.67,6421.55,203.7,49.45,2058.2,1124.8,369.55,542.74,166.53,650.39,2051.4,1931.09,184.17,233.56,5275.64,918.71
