,专用设备制造业国有控股工业企业亏损企业单位数,仪器仪表制造业国有控股工业企业亏损企业单位数,其他制造业国有控股工业企业亏损企业单位数,其他采矿业国有控股工业企业亏损企业单位数,农副食品加工业国有控股工业企业亏损企业单位数,化学原料和化学制品制造业国有控股工业企业亏损企业单位数,化学纤维制造业国有控股工业企业亏损企业单位数,医药制造业国有控股工业企业亏损企业单位数,印刷和记录媒介复制业国有控股工业企业亏损企业单位数,国有控股工业企业亏损企业单位数,家具制造业国有控股工业企业亏损企业单位数,废弃资源综合利用业国有控股工业企业亏损企业单位数,开采辅助活动国有控股工业企业亏损企业单位数,文教、工美、体育和娱乐用品制造业国有控股工业企业亏损企业单位数,有色金属冶炼和压延加工业国有控股工业企业亏损企业单位数,有色金属矿采选业国有控股工业企业亏损企业单位数,木材加工和木、竹、藤、棕、草制品业国有控股工业企业亏损企业单位数,橡胶和塑料制品业国有控股工业企业亏损企业单位数,水的生产和供应业国有控股工业企业亏损企业单位数,汽车制造业国有控股工业企业亏损企业单位数,烟草制品业国有控股工业企业亏损企业单位数,煤炭开采和洗选业国有控股工业企业亏损企业单位数,燃气生产和供应业国有控股工业企业亏损企业单位数,电力、热力生产和供应业国有控股工业企业亏损企业单位数,电气机械和器材制造业国有控股工业企业亏损企业单位数,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业亏损企业单位数,石油加工、炼焦和核燃料加工业国有控股工业企业亏损企业单位数,石油和天然气开采业国有控股工业企业亏损企业单位数,纺织业国有控股工业企业亏损企业单位数,纺织服装、服饰业国有控股工业企业亏损企业单位数,计算机、通信和其他电子设备制造业国有控股工业企业亏损企业单位数,通用设备制造业国有控股工业企业亏损企业单位数,造纸和纸制品业国有控股工业企业亏损企业单位数,酒、饮料和精制茶制造业国有控股工业企业亏损企业单位数,金属制品、机械和设备修理业国有控股工业企业亏损企业单位数,金属制品业国有控股工业企业亏损企业单位数,铁路、船舶、航空航天和其他运输设备国有控股工业企业亏损企业单位数,非金属矿物制品业国有控股工业企业亏损企业单位数,非金属矿采选业国有控股工业企业亏损企业单位数,食品制造业国有控股工业企业亏损企业单位数,黑色金属冶炼和压延加工业国有控股工业企业亏损企业单位数,黑色金属矿采选业国有控股工业企业亏损企业单位数
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,148.0,17.0,5.0,,125.0,338.0,19.0,50.0,54.0,4288.0,2.0,10.0,11.0,13.0,161.0,36.0,36.0,48.0,289.0,165.0,6.0,262.0,51.0,948.0,130.0,4.0,95.0,10.0,73.0,30.0,115.0,165.0,37.0,63.0,17.0,85.0,99.0,293.0,24.0,58.0,163.0,33.0
2013年,188.0,33.0,8.0,0.0,128.0,361.0,17.0,57.0,58.0,4588.0,1.0,5.0,15.0,20.0,182.0,49.0,36.0,60.0,297.0,175.0,4.0,362.0,52.0,963.0,128.0,3.0,84.0,12.0,76.0,26.0,125.0,186.0,40.0,67.0,20.0,102.0,95.0,316.0,35.0,41.0,130.0,31.0
2014年,199.0,32.0,8.0,0.0,158.0,368.0,11.0,59.0,63.0,5016.0,3.0,8.0,7.0,14.0,205.0,68.0,22.0,64.0,309.0,187.0,8.0,454.0,59.0,1065.0,130.0,2.0,96.0,11.0,79.0,27.0,111.0,196.0,32.0,74.0,16.0,109.0,107.0,352.0,42.0,50.0,160.0,51.0
