,专用设备制造业国有控股工业企业应收帐款净额,仪器仪表制造业国有控股工业企业应收帐款净额,其他制造业国有控股工业企业应收帐款净额,其他采矿业国有控股工业企业应收帐款净额,农副食品加工业国有控股工业企业应收帐款净额,化学原料和化学制品制造业国有控股工业企业应收帐款净额,化学纤维制造业国有控股工业企业应收帐款净额,医药制造业国有控股工业企业应收帐款净额,印刷和记录媒介复制业国有控股工业企业应收帐款净额,国有控股工业企业应收帐款净额,家具制造业国有控股工业企业应收帐款净额,废弃资源综合利用业国有控股工业企业应收帐款净额,开采辅助活动国有控股工业企业应收帐款净额,文教、工美、体育和娱乐用品制造业国有控股工业企业应收帐款净额,有色金属冶炼和压延加工业国有控股工业企业应收帐款净额,有色金属矿采选业国有控股工业企业应收帐款净额,木材加工和木、竹、藤、棕、草制品业国有控股工业企业应收帐款净额,橡胶和塑料制品业国有控股工业企业应收帐款净额,水的生产和供应业国有控股工业企业应收帐款净额,汽车制造业国有控股工业企业应收帐款净额,烟草制品业国有控股工业企业应收帐款净额,煤炭开采和洗选业国有控股工业企业应收帐款净额,燃气生产和供应业国有控股工业企业应收帐款净额,电力、热力生产和供应业国有控股工业企业应收帐款净额,电气机械和器材制造业国有控股工业企业应收帐款净额,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业应收帐款净额,石油加工、炼焦和核燃料加工业国有控股工业企业应收帐款净额,石油和天然气开采业国有控股工业企业应收帐款净额,纺织业国有控股工业企业应收帐款净额,纺织服装、服饰业国有控股工业企业应收帐款净额,计算机、通信和其他电子设备制造业国有控股工业企业应收帐款净额,通用设备制造业国有控股工业企业应收帐款净额,造纸和纸制品业国有控股工业企业应收帐款净额,酒、饮料和精制茶制造业国有控股工业企业应收帐款净额,金属制品、机械和设备修理业国有控股工业企业应收帐款净额,金属制品业国有控股工业企业应收帐款净额,铁路、船舶、航空航天和其他运输设备国有控股工业企业应收帐款净额,非金属矿物制品业国有控股工业企业应收帐款净额,非金属矿采选业国有控股工业企业应收帐款净额,食品制造业国有控股工业企业应收帐款净额,黑色金属冶炼和压延加工业国有控股工业企业应收帐款净额,黑色金属矿采选业国有控股工业企业应收帐款净额
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1857.8661,262.44185,68.67351,2e-05,96.93148,547.25166,18.57578,276.10183,67.1712,19061.25612,21.10168,24.34669,379.4914,14.45284,534.99789,78.43595,15.22146,138.97229,135.60923,1605.09072,362.75157,1265.53626,94.13197,2372.44391,1392.9855,4.79933,448.3312,191.14336,61.4439,18.0372,1271.49423,1470.68558,84.8254,113.49766,88.93469,378.38469,1411.68339,678.66797,40.96436,98.5924,858.28989,210.89808
2013年,2296.07,268.75,74.98,0.01,136.26,716.04,21.21,310.2,75.15,22513.92,25.45,25.94,610.08,22.68,576.93,84.13,17.3,156.54,163.09,2130.95,385.81,1668.14,105.36,2418.5,1659.37,2.76,451.44,254.47,62.41,15.11,1375.08,1749.49,127.05,101.07,102.72,426.68,1628.16,831.66,54.53,106.27,1009.44,266.66
2014年,2375.3,337.53,68.78,0.02,126.19,749.17,21.38,330.06,87.51,24270.87,28.95,35.56,583.91,21.89,720.99,89.39,18.33,157.81,182.21,2297.26,324.73,2046.58,121.52,2656.79,1773.99,2.88,445.04,217.33,66.44,19.44,1638.07,1948.59,113.1,125.46,81.91,477.27,1605.18,873.69,44.54,114.88,1053.94,287.28
