,专用设备制造业国有控股工业企业财务费用,仪器仪表制造业国有控股工业企业财务费用,其他制造业国有控股工业企业财务费用,其他采矿业国有控股工业企业财务费用,农副食品加工业国有控股工业企业财务费用,化学原料和化学制品制造业国有控股工业企业财务费用,化学纤维制造业国有控股工业企业财务费用,医药制造业国有控股工业企业财务费用,印刷和记录媒介复制业国有控股工业企业财务费用,国有控股工业企业财务费用,家具制造业国有控股工业企业财务费用,废弃资源综合利用业国有控股工业企业财务费用,开采辅助活动国有控股工业企业财务费用,文教、工美、体育和娱乐用品制造业国有控股工业企业财务费用,有色金属冶炼和压延加工业国有控股工业企业财务费用,有色金属矿采选业国有控股工业企业财务费用,木材加工和木、竹、藤、棕、草制品业国有控股工业企业财务费用,橡胶和塑料制品业国有控股工业企业财务费用,水的生产和供应业国有控股工业企业财务费用,汽车制造业国有控股工业企业财务费用,烟草制品业国有控股工业企业财务费用,煤炭开采和洗选业国有控股工业企业财务费用,燃气生产和供应业国有控股工业企业财务费用,电力、热力生产和供应业国有控股工业企业财务费用,电气机械和器材制造业国有控股工业企业财务费用,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业财务费用,石油加工、炼焦和核燃料加工业国有控股工业企业财务费用,石油和天然气开采业国有控股工业企业财务费用,纺织业国有控股工业企业财务费用,纺织服装、服饰业国有控股工业企业财务费用,计算机、通信和其他电子设备制造业国有控股工业企业财务费用,通用设备制造业国有控股工业企业财务费用,造纸和纸制品业国有控股工业企业财务费用,酒、饮料和精制茶制造业国有控股工业企业财务费用,金属制品、机械和设备修理业国有控股工业企业财务费用,金属制品业国有控股工业企业财务费用,铁路、船舶、航空航天和其他运输设备国有控股工业企业财务费用,非金属矿物制品业国有控股工业企业财务费用,非金属矿采选业国有控股工业企业财务费用,食品制造业国有控股工业企业财务费用,黑色金属冶炼和压延加工业国有控股工业企业财务费用,黑色金属矿采选业国有控股工业企业财务费用
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,77.52359,4.55214,3.68255,0.05389,22.9788,272.00618,13.05707,22.22248,1.21965,4396.37968,0.34553,2.22976,9.02876,2.83063,236.47232,20.70235,4.78171,23.33531,51.8938,52.43484,-11.73048,415.50091,17.1382,1892.86473,60.06947,0.38275,171.83917,102.77788,15.97442,0.52835,77.21315,43.15729,39.82086,7.29846,5.18704,22.56308,36.06802,123.04014,8.93054,10.05619,494.07317,42.27498
2013年,74.7,4.85,3.75,0.05,28.97,318.59,13.79,22.45,1.28,4513.2,0.51,2.72,14.03,2.77,216.65,21.74,4.79,20.49,51.48,7.06,-12.02,520.13,16.49,1890.78,60.46,0.63,174.79,127.53,14.83,0.18,65.25,47.07,32.21,2.37,4.62,25.41,42.88,149.76,11.82,7.77,469.58,50.0
2014年,85.87,6.54,2.55,0.05,30.02,401.46,13.7,27.77,0.62,5331.69,0.1,3.15,16.31,3.44,294.05,33.41,6.5,21.54,61.01,-13.97,-18.65,621.41,22.31,2090.93,51.96,0.54,230.12,146.23,16.97,-0.07,87.5,63.98,37.87,6.19,5.43,29.03,83.44,165.73,13.98,7.95,601.69,73.03
