,专用设备制造业国有控股工业企业固定资产原价合计,仪器仪表制造业国有控股工业企业固定资产原价合计,其他制造业国有控股工业企业固定资产原价合计,其他采矿业国有控股工业企业固定资产原价合计,农副食品加工业国有控股工业企业固定资产原价合计,化学原料和化学制品制造业国有控股工业企业固定资产原价合计,化学纤维制造业国有控股工业企业固定资产原价合计,医药制造业国有控股工业企业固定资产原价合计,印刷和记录媒介复制业国有控股工业企业固定资产原价合计,国有控股工业企业固定资产原价合计,家具制造业国有控股工业企业固定资产原价合计,废弃资源综合利用业国有控股工业企业固定资产原价合计,开采辅助活动国有控股工业企业固定资产原价合计,文教、工美、体育和娱乐用品制造业国有控股工业企业固定资产原价合计,有色金属冶炼和压延加工业国有控股工业企业固定资产原价合计,有色金属矿采选业国有控股工业企业固定资产原价合计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业固定资产原价合计,橡胶和塑料制品业国有控股工业企业固定资产原价合计,水的生产和供应业国有控股工业企业固定资产原价合计,汽车制造业国有控股工业企业固定资产原价合计,烟草制品业国有控股工业企业固定资产原价合计,煤炭开采和洗选业国有控股工业企业固定资产原价合计,燃气生产和供应业国有控股工业企业固定资产原价合计,电力、热力生产和供应业国有控股工业企业固定资产原价合计,电气机械和器材制造业国有控股工业企业固定资产原价合计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业固定资产原价合计,石油加工、炼焦和核燃料加工业国有控股工业企业固定资产原价合计,石油和天然气开采业国有控股工业企业固定资产原价合计,纺织业国有控股工业企业固定资产原价合计,纺织服装、服饰业国有控股工业企业固定资产原价合计,计算机、通信和其他电子设备制造业国有控股工业企业固定资产原价合计,通用设备制造业国有控股工业企业固定资产原价合计,造纸和纸制品业国有控股工业企业固定资产原价合计,酒、饮料和精制茶制造业国有控股工业企业固定资产原价合计,金属制品、机械和设备修理业国有控股工业企业固定资产原价合计,金属制品业国有控股工业企业固定资产原价合计,铁路、船舶、航空航天和其他运输设备国有控股工业企业固定资产原价合计,非金属矿物制品业国有控股工业企业固定资产原价合计,非金属矿采选业国有控股工业企业固定资产原价合计,食品制造业国有控股工业企业固定资产原价合计,黑色金属冶炼和压延加工业国有控股工业企业固定资产原价合计,黑色金属矿采选业国有控股工业企业固定资产原价合计
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,2235.29204,318.02818,312.13589,0.77646,765.95787,10790.83462,454.16884,1104.13601,496.24021,204603.11868,24.93165,32.83151,1260.67422,46.06574,5905.22467,798.08764,132.02321,625.2448,4015.52284,6337.64578,2099.34339,15665.41705,1486.49038,80998.95982,1580.15717,20.22204,9333.77888,19381.07312,677.987,69.85802,2839.14911,2038.32897,1055.18199,1021.67424,260.71978,1021.62761,3549.60721,4542.63663,336.07605,462.98676,19267.04084,1238.98044
2013年,2477.75,339.74,381.07,0.93,919.85,12546.62,488.6,1179.33,533.08,226435.38,17.87,41.66,1509.96,50.94,6583.53,936.95,162.15,695.22,4473.89,7375.88,2271.16,17930.14,1523.78,90169.75,1841.09,17.47,10006.79,20941.68,610.49,89.06,3085.23,2187.22,1006.2,1093.02,285.86,1079.82,3544.54,4780.45,395.75,492.73,20918.9,1449.24
2014年,2409.59,332.98,396.57,1.12,989.87,13763.89,509.72,1314.58,551.79,255218.27,17.33,40.27,1865.22,53.06,7296.94,1192.79,167.36,754.88,4933.28,8488.27,2470.49,19455.87,2000.15,102193.3,1804.77,21.36,11244.98,26908.84,584.32,93.91,3725.22,2415.87,1069.88,1170.57,278.09,1195.81,3556.87,5208.24,450.35,538.96,22122.36,1628.54
