,专用设备制造业国有控股工业企业利润总额,仪器仪表制造业国有控股工业企业利润总额,其他制造业国有控股工业企业利润总额,其他采矿业国有控股工业企业利润总额,农副食品加工业国有控股工业企业利润总额,化学原料和化学制品制造业国有控股工业企业利润总额,化学纤维制造业国有控股工业企业利润总额,医药制造业国有控股工业企业利润总额,印刷和记录媒介复制业国有控股工业企业利润总额,国有控股工业企业利润总额,家具制造业国有控股工业企业利润总额,废弃资源综合利用业国有控股工业企业利润总额,开采辅助活动国有控股工业企业利润总额,文教、工美、体育和娱乐用品制造业国有控股工业企业利润总额,有色金属冶炼和压延加工业国有控股工业企业利润总额,有色金属矿采选业国有控股工业企业利润总额,木材加工和木、竹、藤、棕、草制品业国有控股工业企业利润总额,橡胶和塑料制品业国有控股工业企业利润总额,水的生产和供应业国有控股工业企业利润总额,汽车制造业国有控股工业企业利润总额,烟草制品业国有控股工业企业利润总额,煤炭开采和洗选业国有控股工业企业利润总额,燃气生产和供应业国有控股工业企业利润总额,电力、热力生产和供应业国有控股工业企业利润总额,电气机械和器材制造业国有控股工业企业利润总额,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业利润总额,石油加工、炼焦和核燃料加工业国有控股工业企业利润总额,石油和天然气开采业国有控股工业企业利润总额,纺织业国有控股工业企业利润总额,纺织服装、服饰业国有控股工业企业利润总额,计算机、通信和其他电子设备制造业国有控股工业企业利润总额,通用设备制造业国有控股工业企业利润总额,造纸和纸制品业国有控股工业企业利润总额,酒、饮料和精制茶制造业国有控股工业企业利润总额,金属制品、机械和设备修理业国有控股工业企业利润总额,金属制品业国有控股工业企业利润总额,铁路、船舶、航空航天和其他运输设备国有控股工业企业利润总额,非金属矿物制品业国有控股工业企业利润总额,非金属矿采选业国有控股工业企业利润总额,食品制造业国有控股工业企业利润总额,黑色金属冶炼和压延加工业国有控股工业企业利润总额,黑色金属矿采选业国有控股工业企业利润总额
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,272.47605,62.82917,17.65949,0.21473,98.74984,267.32571,29.22696,233.3488,59.77478,15175.99,18.06943,4.26721,6.34888,14.92137,247.91992,268.97095,6.21209,49.44295,19.3329,2128.42802,1061.35255,2026.81421,143.30337,2456.99788,132.33746,4.49985,-147.43855,3699.48135,18.26739,8.35651,275.90344,307.43751,25.96821,562.30518,8.64934,90.03058,267.6964,333.00921,58.7898,53.35156,-213.32502,196.67779
2013年,195.39,60.54,18.97,0.25,106.23,181.48,34.18,232.06,61.72,15917.68,18.64,7.18,-36.23,24.19,204.66,193.05,5.6,53.71,34.75,2464.28,1206.68,1307.19,156.8,3479.71,224.95,5.37,97.88,3322.59,12.28,12.3,381.84,315.79,13.87,525.43,6.52,86.65,264.62,368.0,48.19,64.36,34.23,121.75
2014年,63.57,63.76,27.57,0.21,83.47,85.31,42.43,223.91,61.28,14508.02,17.59,6.39,17.18,25.97,32.59,148.99,7.74,46.13,74.1,3094.55,1202.9,418.66,176.14,3717.81,247.75,5.55,-283.69,2779.06,17.29,14.86,365.15,211.21,2.39,455.34,2.05,79.78,329.58,380.27,42.17,81.9,40.81,98.33
