,专用设备制造业国有控股工业企业国家资本金,仪器仪表制造业国有控股工业企业国家资本金,其他制造业国有控股工业企业国家资本金,其他采矿业国有控股工业企业国家资本金,农副食品加工业国有控股工业企业国家资本金,化学原料和化学制品制造业国有控股工业企业国家资本金,化学纤维制造业国有控股工业企业国家资本金,医药制造业国有控股工业企业国家资本金,印刷和记录媒介复制业国有控股工业企业国家资本金,国有控股工业企业国家资本金,家具制造业国有控股工业企业国家资本金,废弃资源综合利用业国有控股工业企业国家资本金,开采辅助活动国有控股工业企业国家资本金,文教、工美、体育和娱乐用品制造业国有控股工业企业国家资本金,有色金属冶炼和压延加工业国有控股工业企业国家资本金,有色金属矿采选业国有控股工业企业国家资本金,木材加工和木、竹、藤、棕、草制品业国有控股工业企业国家资本金,橡胶和塑料制品业国有控股工业企业国家资本金,水的生产和供应业国有控股工业企业国家资本金,汽车制造业国有控股工业企业国家资本金,烟草制品业国有控股工业企业国家资本金,煤炭开采和洗选业国有控股工业企业国家资本金,燃气生产和供应业国有控股工业企业国家资本金,电力、热力生产和供应业国有控股工业企业国家资本金,电气机械和器材制造业国有控股工业企业国家资本金,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业国家资本金,石油加工、炼焦和核燃料加工业国有控股工业企业国家资本金,石油和天然气开采业国有控股工业企业国家资本金,纺织业国有控股工业企业国家资本金,纺织服装、服饰业国有控股工业企业国家资本金,计算机、通信和其他电子设备制造业国有控股工业企业国家资本金,通用设备制造业国有控股工业企业国家资本金,造纸和纸制品业国有控股工业企业国家资本金,酒、饮料和精制茶制造业国有控股工业企业国家资本金,金属制品、机械和设备修理业国有控股工业企业国家资本金,金属制品业国有控股工业企业国家资本金,铁路、船舶、航空航天和其他运输设备国有控股工业企业国家资本金,非金属矿物制品业国有控股工业企业国家资本金,非金属矿采选业国有控股工业企业国家资本金,食品制造业国有控股工业企业国家资本金,黑色金属冶炼和压延加工业国有控股工业企业国家资本金,黑色金属矿采选业国有控股工业企业国家资本金
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,388.41434,92.24097,56.41753,,91.84944,1228.42027,49.60013,189.2453,72.53992,27852.15075,4.16802,5.54092,433.54887,11.7991,983.63951,145.40714,15.54133,72.68735,988.97449,772.00202,240.94781,1868.40909,216.58738,7866.10015,320.73796,3.48271,2099.04185,3705.68023,78.35845,13.39238,1218.57701,365.42449,141.23627,145.62733,102.26073,311.72528,669.99812,502.75594,90.69206,49.05385,1592.08858,647.93643
2013年,688.38,84.5,41.37,0.1,130.2,1682.09,68.72,242.97,100.86,33129.26,3.95,17.6,527.86,33.12,1183.44,162.21,12.23,104.38,1079.54,975.7,373.61,2241.24,306.72,9974.4,433.05,2.99,1980.16,4482.51,82.08,14.78,588.1,456.45,188.01,158.71,117.67,331.95,1039.32,660.24,111.71,68.28,1726.34,651.73
2014年,687.41,112.67,70.86,0.0,139.44,1859.07,42.14,203.69,120.14,37857.17,4.66,10.26,570.99,34.47,1334.42,213.47,17.0,127.55,1194.96,1086.98,344.95,2503.57,413.91,11157.2,480.15,3.63,2307.69,4898.36,101.86,20.37,917.47,558.53,195.68,314.5,119.93,389.06,1282.38,857.04,104.16,66.8,2210.45,779.31
