,专用设备制造业国有控股工业企业集体资本金,仪器仪表制造业国有控股工业企业集体资本金,其他制造业国有控股工业企业集体资本金,其他采矿业国有控股工业企业集体资本金,农副食品加工业国有控股工业企业集体资本金,化学原料和化学制品制造业国有控股工业企业集体资本金,化学纤维制造业国有控股工业企业集体资本金,医药制造业国有控股工业企业集体资本金,印刷和记录媒介复制业国有控股工业企业集体资本金,国有控股工业企业集体资本金,家具制造业国有控股工业企业集体资本金,废弃资源综合利用业国有控股工业企业集体资本金,开采辅助活动国有控股工业企业集体资本金,文教、工美、体育和娱乐用品制造业国有控股工业企业集体资本金,有色金属冶炼和压延加工业国有控股工业企业集体资本金,有色金属矿采选业国有控股工业企业集体资本金,木材加工和木、竹、藤、棕、草制品业国有控股工业企业集体资本金,橡胶和塑料制品业国有控股工业企业集体资本金,水的生产和供应业国有控股工业企业集体资本金,汽车制造业国有控股工业企业集体资本金,烟草制品业国有控股工业企业集体资本金,煤炭开采和洗选业国有控股工业企业集体资本金,燃气生产和供应业国有控股工业企业集体资本金,电力、热力生产和供应业国有控股工业企业集体资本金,电气机械和器材制造业国有控股工业企业集体资本金,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业集体资本金,石油加工、炼焦和核燃料加工业国有控股工业企业集体资本金,石油和天然气开采业国有控股工业企业集体资本金,纺织业国有控股工业企业集体资本金,纺织服装、服饰业国有控股工业企业集体资本金,计算机、通信和其他电子设备制造业国有控股工业企业集体资本金,通用设备制造业国有控股工业企业集体资本金,造纸和纸制品业国有控股工业企业集体资本金,酒、饮料和精制茶制造业国有控股工业企业集体资本金,金属制品、机械和设备修理业国有控股工业企业集体资本金,金属制品业国有控股工业企业集体资本金,铁路、船舶、航空航天和其他运输设备国有控股工业企业集体资本金,非金属矿物制品业国有控股工业企业集体资本金,非金属矿采选业国有控股工业企业集体资本金,食品制造业国有控股工业企业集体资本金,黑色金属冶炼和压延加工业国有控股工业企业集体资本金,黑色金属矿采选业国有控股工业企业集体资本金
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,7.16627,1.01552,,,3.94907,34.14368,0.66849,13.58978,0.77749,628.03046,,0.0287,0.571,0.53729,41.34226,14.10724,0.47418,3.00055,4.48317,11.72936,0.21126,77.63497,2.00786,80.82247,8.21528,0.191,7.41447,0.27917,4.13554,0.13507,8.86038,19.18751,5.50525,14.76927,0.08,4.68668,10.10832,22.30766,2.58611,4.98486,211.98753,4.33575
2013年,12.64,1.5,0.1,0.0,5.01,57.28,0.68,10.83,0.36,940.65,0.12,0.02,0.57,1.48,18.88,9.2,1.81,14.29,16.67,12.33,0.46,75.97,2.44,141.82,13.25,0.19,11.75,0.36,1.78,0.47,10.67,7.97,15.06,209.46,0.0,10.25,17.79,31.83,7.62,4.75,208.59,4.42
2014年,45.92,1.24,0.1,0.0,6.75,32.86,3.62,8.32,1.36,852.93,0.0,3.47,0.01,1.49,23.75,11.53,0.42,37.22,6.64,21.3,0.35,114.89,8.16,143.54,14.56,0.12,44.5,0.04,1.7,0.24,17.52,10.49,2.71,7.95,0.0,12.11,7.73,30.76,8.6,10.35,207.94,2.69
