,专用设备制造业国有控股工业企业单位数,仪器仪表制造业国有控股工业企业单位数,其他制造业国有控股工业企业单位数,其他采矿业国有控股工业企业单位数,农副食品加工业国有控股工业企业单位数,化学原料和化学制品制造业国有控股工业企业单位数,化学纤维制造业国有控股工业企业单位数,医药制造业国有控股工业企业单位数,印刷和记录媒介复制业国有控股工业企业单位数,国有控股工业企业单位数,家具制造业国有控股工业企业单位数,废弃资源综合利用业国有控股工业企业单位数,开采辅助活动国有控股工业企业单位数,文教、工美、体育和娱乐用品制造业国有控股工业企业单位数,有色金属冶炼和压延加工业国有控股工业企业单位数,有色金属矿采选业国有控股工业企业单位数,木材加工和木、竹、藤、棕、草制品业国有控股工业企业单位数,橡胶和塑料制品业国有控股工业企业单位数,水的生产和供应业国有控股工业企业单位数,汽车制造业国有控股工业企业单位数,烟草制品业国有控股工业企业单位数,煤炭开采和洗选业国有控股工业企业单位数,燃气生产和供应业国有控股工业企业单位数,电力、热力生产和供应业国有控股工业企业单位数,电气机械和器材制造业国有控股工业企业单位数,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业单位数,石油加工、炼焦和核燃料加工业国有控股工业企业单位数,石油和天然气开采业国有控股工业企业单位数,纺织业国有控股工业企业单位数,纺织服装、服饰业国有控股工业企业单位数,计算机、通信和其他电子设备制造业国有控股工业企业单位数,通用设备制造业国有控股工业企业单位数,造纸和纸制品业国有控股工业企业单位数,酒、饮料和精制茶制造业国有控股工业企业单位数,金属制品、机械和设备修理业国有控股工业企业单位数,金属制品业国有控股工业企业单位数,铁路、船舶、航空航天和其他运输设备国有控股工业企业单位数,非金属矿物制品业国有控股工业企业单位数,非金属矿采选业国有控股工业企业单位数,食品制造业国有控股工业企业单位数,黑色金属冶炼和压延加工业国有控股工业企业单位数,黑色金属矿采选业国有控股工业企业单位数
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,694,249,63,1,630,1157,46,425,304,17851,22,42,35,66,490,269,115,281,772,665,107,976,296,3701,563,36,217,71,242,155,625,735,119,279,74,463,493,1342,186,292,394,159
2013年,728,246,70,1,638,1185,49,416,312,18574,20,49,50,80,508,274,112,283,835,688,105,1032,323,3908,595,33,224,76,239,167,600,758,118,279,83,466,507,1471,198,289,395,164
2014年,718,235,63,1,654,1176,44,416,310,18808,19,50,35,79,509,266,108,271,909,699,103,955,374,4147,582,29,224,79,221,168,596,758,113,275,83,473,505,1510,204,298,390,159
