,专用设备制造业国有控股工业企业累计折旧,仪器仪表制造业国有控股工业企业累计折旧,其他制造业国有控股工业企业累计折旧,其他采矿业国有控股工业企业累计折旧,农副食品加工业国有控股工业企业累计折旧,化学原料和化学制品制造业国有控股工业企业累计折旧,化学纤维制造业国有控股工业企业累计折旧,医药制造业国有控股工业企业累计折旧,印刷和记录媒介复制业国有控股工业企业累计折旧,国有控股工业企业累计折旧,家具制造业国有控股工业企业累计折旧,废弃资源综合利用业国有控股工业企业累计折旧,开采辅助活动国有控股工业企业累计折旧,文教、工美、体育和娱乐用品制造业国有控股工业企业累计折旧,有色金属冶炼和压延加工业国有控股工业企业累计折旧,有色金属矿采选业国有控股工业企业累计折旧,木材加工和木、竹、藤、棕、草制品业国有控股工业企业累计折旧,橡胶和塑料制品业国有控股工业企业累计折旧,水的生产和供应业国有控股工业企业累计折旧,汽车制造业国有控股工业企业累计折旧,烟草制品业国有控股工业企业累计折旧,煤炭开采和洗选业国有控股工业企业累计折旧,燃气生产和供应业国有控股工业企业累计折旧,电力、热力生产和供应业国有控股工业企业累计折旧,电气机械和器材制造业国有控股工业企业累计折旧,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业累计折旧,石油加工、炼焦和核燃料加工业国有控股工业企业累计折旧,石油和天然气开采业国有控股工业企业累计折旧,纺织业国有控股工业企业累计折旧,纺织服装、服饰业国有控股工业企业累计折旧,计算机、通信和其他电子设备制造业国有控股工业企业累计折旧,通用设备制造业国有控股工业企业累计折旧,造纸和纸制品业国有控股工业企业累计折旧,酒、饮料和精制茶制造业国有控股工业企业累计折旧,金属制品、机械和设备修理业国有控股工业企业累计折旧,金属制品业国有控股工业企业累计折旧,铁路、船舶、航空航天和其他运输设备国有控股工业企业累计折旧,非金属矿物制品业国有控股工业企业累计折旧,非金属矿采选业国有控股工业企业累计折旧,食品制造业国有控股工业企业累计折旧,黑色金属冶炼和压延加工业国有控股工业企业累计折旧,黑色金属矿采选业国有控股工业企业累计折旧
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,814.26992,132.40681,121.10177,0.10921,353.38458,4280.57454,204.62939,469.92697,270.63698,82534.11033,10.95971,8.06742,558.25806,24.84275,2135.95024,255.44564,60.76293,264.15177,1518.32637,2801.06309,1089.48319,6261.52022,452.53793,30815.48395,673.04601,10.81052,4263.73732,8838.53383,384.00648,31.0081,986.45636,794.62933,412.02957,432.11869,86.74551,387.63528,1414.35916,1655.00581,101.80969,194.78964,8598.01202,365.48357
2013年,936.2,136.54,154.45,0.14,391.1,4563.5,255.48,462.28,291.5,91660.49,7.68,10.83,707.83,20.95,2422.1,316.03,89.54,305.95,1692.09,3228.95,1327.07,7226.82,430.86,34316.52,882.35,9.97,4597.1,10313.16,253.18,37.63,1173.78,886.83,413.54,433.81,96.9,389.69,1367.85,1499.28,128.76,217.45,9192.5,472.3
2014年,931.35,140.56,161.79,0.18,441.21,4931.93,243.89,498.35,312.83,104050.68,7.41,12.07,741.21,22.7,2673.75,372.89,82.29,331.35,1857.9,3677.79,1302.79,8006.98,507.8,39822.58,799.04,12.78,5124.8,13183.89,239.66,41.57,1451.17,973.72,460.52,446.42,93.02,447.52,1345.89,1746.58,150.68,246.35,9672.05,533.41
