,专用设备制造业国有控股工业企业利息支出,仪器仪表制造业国有控股工业企业利息支出,其他制造业国有控股工业企业利息支出,其他采矿业国有控股工业企业利息支出,农副食品加工业国有控股工业企业利息支出,化学原料和化学制品制造业国有控股工业企业利息支出,化学纤维制造业国有控股工业企业利息支出,医药制造业国有控股工业企业利息支出,印刷和记录媒介复制业国有控股工业企业利息支出,国有控股工业企业利息支出,家具制造业国有控股工业企业利息支出,废弃资源综合利用业国有控股工业企业利息支出,开采辅助活动国有控股工业企业利息支出,文教、工美、体育和娱乐用品制造业国有控股工业企业利息支出,有色金属冶炼和压延加工业国有控股工业企业利息支出,有色金属矿采选业国有控股工业企业利息支出,木材加工和木、竹、藤、棕、草制品业国有控股工业企业利息支出,橡胶和塑料制品业国有控股工业企业利息支出,水的生产和供应业国有控股工业企业利息支出,汽车制造业国有控股工业企业利息支出,烟草制品业国有控股工业企业利息支出,煤炭开采和洗选业国有控股工业企业利息支出,燃气生产和供应业国有控股工业企业利息支出,电力、热力生产和供应业国有控股工业企业利息支出,电气机械和器材制造业国有控股工业企业利息支出,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业利息支出,石油加工、炼焦和核燃料加工业国有控股工业企业利息支出,石油和天然气开采业国有控股工业企业利息支出,纺织业国有控股工业企业利息支出,纺织服装、服饰业国有控股工业企业利息支出,计算机、通信和其他电子设备制造业国有控股工业企业利息支出,通用设备制造业国有控股工业企业利息支出,造纸和纸制品业国有控股工业企业利息支出,酒、饮料和精制茶制造业国有控股工业企业利息支出,金属制品、机械和设备修理业国有控股工业企业利息支出,金属制品业国有控股工业企业利息支出,铁路、船舶、航空航天和其他运输设备国有控股工业企业利息支出,非金属矿物制品业国有控股工业企业利息支出,非金属矿采选业国有控股工业企业利息支出,食品制造业国有控股工业企业利息支出,黑色金属冶炼和压延加工业国有控股工业企业利息支出,黑色金属矿采选业国有控股工业企业利息支出
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,91.90653,5.53599,5.40684,0.05414,41.52533,281.84549,13.73604,25.44439,2.32982,4903.8153,0.1296,2.34431,15.45657,2.94019,260.63161,21.78856,4.37412,21.65258,58.28747,119.8407,11.94208,489.05793,23.30764,1890.41181,77.18365,0.42284,176.51203,164.4182,16.73709,1.48843,78.59629,57.94645,43.44219,23.90451,5.76118,25.53898,94.69897,124.77311,8.78655,11.05354,560.17974,42.42181
2013年,94.62,6.06,5.46,0.05,37.49,333.82,14.04,26.86,2.4,5197.98,0.23,1.66,17.0,2.66,260.14,25.66,4.26,20.17,65.18,118.85,11.61,558.81,24.08,1917.49,76.28,0.52,197.7,183.84,15.6,1.21,98.72,65.26,39.53,21.17,6.19,28.6,98.68,151.14,11.42,10.02,594.41,49.11
2014年,111.59,7.85,4.58,0.05,39.92,396.04,14.64,33.55,2.34,5865.03,0.12,2.4,14.48,3.44,311.52,34.39,6.1,22.89,75.74,143.77,12.94,656.42,29.26,2101.4,83.22,0.45,223.88,196.8,17.34,1.43,94.67,78.9,42.5,20.95,13.35,33.11,101.16,187.94,13.97,11.43,647.23,71.29
