,专用设备制造业国有控股工业企业销售费用,交通运输设备制造业国有控股工业企业销售费用,仪器仪表及文化、办公用机械制造业国有控股工业企业销售费用,其他采矿业国有控股工业企业销售费用,农副食品加工业国有控股工业企业销售费用,化学原料及化学制品制造业国有控股工业企业销售费用,化学纤维制造业国有控股工业企业销售费用,医药制造业国有控股工业企业销售费用,印刷业和记录媒介的复制国有控股工业企业销售费用,国有控股工业企业销售费用,塑料制品业国有控股工业企业销售费用,家具制造业国有控股工业企业销售费用,工艺品及其他制造业国有控股工业企业销售费用,废弃资源和废旧材料回收加工业国有控股工业企业销售费用,文教体育用品制造业国有控股工业企业销售费用,有色金属冶炼及压延加工业国有控股工业企业销售费用,有色金属矿采选业国有控股工业企业销售费用,木材加工及木、竹、藤、棕、草制品业国有控股工业企业销售费用,橡胶制品业国有控股工业企业销售费用,水的生产和供应业国有控股工业企业销售费用,烟草制品业国有控股工业企业销售费用,煤炭开采和洗选业国有控股工业企业销售费用,燃气生产和供应业国有控股工业企业销售费用,电力、热力的生产和供应业国有控股工业企业销售费用,电气机械及器材制造业国有控股工业企业销售费用,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业销售费用,石油加工、炼焦及核燃料加工业国有控股工业企业销售费用,石油和天然气开采业国有控股工业企业销售费用,纺织业国有控股工业企业销售费用,纺织服装、鞋、帽制造业国有控股工业企业销售费用,通信设备、计算机及其他电子设备制造国有控股工业企业销售费用,通用设备制造业国有控股工业企业销售费用,造纸及纸制品业国有控股工业企业销售费用,金属制品业国有控股工业企业销售费用,非金属矿物制品业国有控股工业企业销售费用,非金属矿采选业国有控股工业企业销售费用,食品制造业国有控股工业企业销售费用,饮料制造业国有控股工业企业销售费用,黑色金属冶炼及压延加工业国有控股工业企业销售费用,黑色金属矿采选业国有控股工业企业销售费用
2003年,51.11258,229.49764,10.79142,0.40689,35.61004,96.06572,7.49944,155.13133,5.78421,1668.47242,7.4194,1.39594,1.38971,0.0462,1.45901,22.51729,4.63563,5.73389,11.3167,18.22303,80.29203,132.20018,11.95915,55.9002,58.91984,1.62839,42.03254,27.59594,23.74393,4.05593,168.3414,68.47201,18.5087,13.51834,54.54454,15.2305,39.29384,106.6163,75.73779,3.8448
2004年,68.38185,235.85335,13.64561,,30.33486,107.47263,6.4712,123.51445,5.92015,1692.23048,9.05997,1.69923,2.22117,0.06256,1.65797,27.92847,3.80121,6.48704,13.93386,21.33448,84.85472,162.03915,16.00344,33.44516,70.95471,0.82822,45.97681,36.41305,17.74074,2.98995,163.08136,67.7219,18.64883,13.26922,54.49965,15.26768,31.93974,73.54755,98.06435,5.16419
2005年,53.72548,254.68368,13.38142,0.20239,32.40378,125.15778,7.41282,139.65835,5.31769,1869.6909,9.18081,1.34061,2.16374,0.32566,1.295,34.40363,5.28962,9.08267,16.09441,25.01865,89.91081,168.60553,18.35064,37.68311,84.76268,0.52323,56.15923,42.1796,15.71236,3.47332,173.77173,70.40049,17.9141,13.87485,60.00686,12.73405,53.46258,83.48344,123.99679,6.54731
2006年,61.92,354.35,14.58,0.03,32.07,135.86,8.08,133.15,5.19,2081.28,10.81,1.64,3.21,0.31,1.69,39.45,6.96,10.32,12.96,32.25,92.39,204.42,21.93,39.94,98.6,0.6,58.51,42.4,16.78,4.43,130.5,79.65,18.48,16.88,61.83,15.99,58.89,92.44,153.63,8.12
2007年,83.00233,449.54844,16.21875,0.00164,36.9274,159.29306,8.63959,145.97939,6.42226,2487.58338,9.86076,1.38564,4.79297,0.46955,1.5202,49.98797,9.06851,5.58209,17.07667,35.84479,83.9519,231.82052,24.82767,48.59611,115.63323,0.69105,73.78604,57.678,16.59372,5.03462,157.41305,99.08717,14.21844,21.03688,72.35294,14.25334,60.82688,112.35586,224.67984,11.12411
2008年,100.84666,512.57805,19.33045,0.00123,31.51033,147.89057,6.62761,157.25386,6.46777,2753.09376,12.15833,0.88015,4.99158,2.895,1.82672,57.62363,9.96834,5.81714,18.27064,41.05038,95.93017,260.89371,29.88308,61.91449,131.66988,0.73475,81.65679,38.87786,11.8722,4.08114,218.26581,94.43093,19.39548,21.48619,88.88045,15.65519,69.92206,120.85844,233.52949,15.16721
2009年,113.09332,637.22647,20.90211,0.00151,40.05316,170.90955,6.43273,156.73959,6.9115,3042.14217,12.3926,1.10843,3.93562,4.31878,1.32565,55.82924,8.91043,3.70077,21.91071,45.84197,103.93196,295.87515,34.29957,81.44756,162.87012,0.64072,84.59285,40.08265,11.55206,5.12975,244.40857,104.88477,20.67552,21.78255,87.12295,16.14701,78.05381,136.2798,183.23247,17.58819
2010年,143.83911,880.39805,26.43883,,51.70829,198.67096,6.89134,196.32113,7.99288,3739.48501,12.30412,1.73965,5.3441,1.75555,1.6686,69.15722,10.20088,4.84384,24.53631,55.70023,121.06764,335.18445,32.21292,119.13976,212.5179,0.56185,98.16099,51.6798,11.18954,6.9552,283.38694,120.62712,23.95556,27.59289,108.39312,19.89031,80.48341,143.10232,220.069,23.8032
2011年,174.59064,909.63383,29.74643,,58.14869,219.3087,7.79367,224.63778,9.07866,4255.86955,13.11926,2.20614,6.59554,1.20201,1.58329,89.40788,11.41557,4.50368,26.84718,60.75587,141.91663,416.9118,44.29649,178.78916,223.33763,0.53728,107.78735,44.7595,11.84946,7.88652,339.38576,138.75002,22.04595,29.19724,120.13012,23.87929,92.80938,191.71288,239.14115,30.17112
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
