,专用设备制造业国有控股工业企业财务费用,交通运输设备制造业国有控股工业企业财务费用,仪器仪表及文化、办公用机械制造业国有控股工业企业财务费用,其他采矿业国有控股工业企业财务费用,农副食品加工业国有控股工业企业财务费用,化学原料及化学制品制造业国有控股工业企业财务费用,化学纤维制造业国有控股工业企业财务费用,医药制造业国有控股工业企业财务费用,印刷业和记录媒介的复制国有控股工业企业财务费用,国有控股工业企业财务费用,塑料制品业国有控股工业企业财务费用,家具制造业国有控股工业企业财务费用,工艺品及其他制造业国有控股工业企业财务费用,废弃资源和废旧材料回收加工业国有控股工业企业财务费用,文教体育用品制造业国有控股工业企业财务费用,有色金属冶炼及压延加工业国有控股工业企业财务费用,有色金属矿采选业国有控股工业企业财务费用,木材加工及木、竹、藤、棕、草制品业国有控股工业企业财务费用,橡胶制品业国有控股工业企业财务费用,水的生产和供应业国有控股工业企业财务费用,烟草制品业国有控股工业企业财务费用,煤炭开采和洗选业国有控股工业企业财务费用,燃气生产和供应业国有控股工业企业财务费用,电力、热力的生产和供应业国有控股工业企业财务费用,电气机械及器材制造业国有控股工业企业财务费用,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业财务费用,石油加工、炼焦及核燃料加工业国有控股工业企业财务费用,石油和天然气开采业国有控股工业企业财务费用,纺织业国有控股工业企业财务费用,纺织服装、鞋、帽制造业国有控股工业企业财务费用,通信设备、计算机及其他电子设备制造国有控股工业企业财务费用,通用设备制造业国有控股工业企业财务费用,造纸及纸制品业国有控股工业企业财务费用,金属制品业国有控股工业企业财务费用,非金属矿物制品业国有控股工业企业财务费用,非金属矿采选业国有控股工业企业财务费用,食品制造业国有控股工业企业财务费用,饮料制造业国有控股工业企业财务费用,黑色金属冶炼及压延加工业国有控股工业企业财务费用,黑色金属矿采选业国有控股工业企业财务费用
2003年,34.62514,60.98629,4.91066,0.26189,17.1348,87.86063,10.97598,24.45239,4.08259,1166.27255,5.98239,0.46867,1.14514,-0.00016,0.88731,40.49935,5.87517,3.25422,7.41789,15.10482,22.79229,49.94567,5.05517,383.31531,24.79829,0.72457,35.19237,17.87875,30.86355,1.53024,39.3919,34.38895,20.49187,6.80769,33.85152,4.29389,7.98772,13.84267,104.91086,2.2841
2004年,24.64846,54.68253,4.15117,0.00089,12.84169,81.26313,10.10176,17.74293,3.19275,1209.35708,5.62669,0.27667,2.20626,0.00486,0.76918,44.11094,5.95709,2.8075,7.21818,18.12805,19.42059,62.97555,5.26043,473.91321,18.93389,0.59606,30.87623,21.75647,21.6051,0.83234,39.47836,27.77535,18.59261,6.339,32.58375,3.9446,7.67745,10.0576,108.3374,2.67036
2005年,22.86884,44.86497,3.76253,-0.00016,13.91097,74.14109,10.68209,22.10136,3.58525,1166.72718,5.28651,0.55351,1.06353,0.02565,0.7253,49.94788,5.7794,3.91915,7.05161,17.21248,16.18391,55.58075,2.71872,478.93116,17.44869,0.2889,33.67825,10.55567,18.58778,0.90175,34.61529,20.63057,12.71542,5.82787,34.96637,2.60957,8.38158,9.30205,112.83944,2.48148
2006年,21.28,44.44,2.53,0.0,12.15,99.25,11.66,21.92,3.76,1416.79,7.46,0.51,1.34,0.41,0.51,66.23,6.74,4.76,6.65,21.84,10.7,72.79,4.51,602.97,18.85,0.1,42.51,15.53,19.2,0.8,28.94,22.02,15.33,6.7,39.26,3.19,10.05,9.37,157.69,2.86
2007年,25.93322,25.23758,3.14596,1e-05,14.60473,104.21358,11.59652,25.72913,2.21523,1724.17577,5.26588,0.57927,1.39137,0.28942,0.47886,88.66548,8.97003,3.17795,7.62784,26.01513,4.03991,104.64831,6.9398,764.30188,20.19084,-0.04149,48.55102,17.90622,15.49215,0.62267,34.81432,23.62473,13.68932,8.53367,44.33526,3.04979,11.66719,10.10117,230.14156,6.43026
2008年,40.25612,34.27665,3.24724,1e-05,17.14285,130.98606,12.24915,25.57874,2.27685,2477.62088,9.48924,0.32615,1.39208,0.99168,0.4996,106.51613,7.75553,3.19383,13.2124,41.96744,-3.48912,171.63815,8.61759,1144.46541,29.49976,-0.28502,108.89738,28.64606,14.33429,0.57261,39.96007,21.07735,21.30941,12.98229,61.44403,4.95558,12.49944,10.00877,326.67638,12.4527
2009年,35.10024,72.60237,2.69589,1e-05,16.33169,144.13505,8.37273,18.85718,1.80455,2409.03459,6.38634,0.24144,1.35915,1.56696,0.21555,101.14807,9.16146,2.07338,9.98813,34.04836,-5.1836,190.9923,9.75923,1139.34315,25.11517,0.12015,77.02356,29.20058,10.5951,0.46698,37.98599,23.28123,20.18742,13.04138,48.1696,4.76851,8.38527,7.73152,294.66671,7.29579
2010年,38.6379,47.06115,3.68868,0.00578,20.30015,157.0175,9.92426,20.18863,1.56069,2681.2567,4.41637,0.30611,1.39816,0.55618,0.22337,124.35384,12.88485,2.64021,10.34572,41.53677,-3.47933,234.8291,10.88445,1226.0639,33.96516,0.04069,87.02456,39.88438,11.20888,0.56502,38.74653,25.46231,27.27707,8.88816,62.22456,4.41479,10.11846,9.99454,341.13258,14.96457
2011年,51.6859,40.2843,4.02364,,18.59126,195.44124,12.26893,21.81962,1.34887,3430.86728,6.55205,0.09544,3.73361,1.07807,0.26949,176.90096,15.97737,3.32798,15.33774,45.63532,-5.87799,320.68896,10.4948,1538.80914,47.91925,-0.04469,125.3587,65.94756,13.49126,0.42675,64.02735,39.1296,29.70527,10.89344,98.7941,7.66276,7.67199,6.37723,406.77264,28.24737
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
