,专用设备制造业国有控股工业企业营业利润,交通运输设备制造业国有控股工业企业营业利润,仪器仪表及文化、办公用机械制造业国有控股工业企业营业利润,其他采矿业国有控股工业企业营业利润,农副食品加工业国有控股工业企业营业利润,化学原料及化学制品制造业国有控股工业企业营业利润,化学纤维制造业国有控股工业企业营业利润,医药制造业国有控股工业企业营业利润,印刷业和记录媒介的复制国有控股工业企业营业利润,国有控股工业企业营业利润,塑料制品业国有控股工业企业营业利润,家具制造业国有控股工业企业营业利润,工艺品及其他制造业国有控股工业企业营业利润,废弃资源和废旧材料回收加工业国有控股工业企业营业利润,文教体育用品制造业国有控股工业企业营业利润,有色金属冶炼及压延加工业国有控股工业企业营业利润,有色金属矿采选业国有控股工业企业营业利润,木材加工及木、竹、藤、棕、草制品业国有控股工业企业营业利润,橡胶制品业国有控股工业企业营业利润,水的生产和供应业国有控股工业企业营业利润,烟草制品业国有控股工业企业营业利润,煤炭开采和洗选业国有控股工业企业营业利润,燃气生产和供应业国有控股工业企业营业利润,电力、热力的生产和供应业国有控股工业企业营业利润,电气机械及器材制造业国有控股工业企业营业利润,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业营业利润,石油加工、炼焦及核燃料加工业国有控股工业企业营业利润,石油和天然气开采业国有控股工业企业营业利润,纺织业国有控股工业企业营业利润,纺织服装、鞋、帽制造业国有控股工业企业营业利润,通信设备、计算机及其他电子设备制造国有控股工业企业营业利润,通用设备制造业国有控股工业企业营业利润,造纸及纸制品业国有控股工业企业营业利润,金属制品业国有控股工业企业营业利润,非金属矿物制品业国有控股工业企业营业利润,非金属矿采选业国有控股工业企业营业利润,食品制造业国有控股工业企业营业利润,饮料制造业国有控股工业企业营业利润,黑色金属冶炼及压延加工业国有控股工业企业营业利润,黑色金属矿采选业国有控股工业企业营业利润
2003年,6.81065,424.83947,3.46591,0.71956,13.30777,99.68331,16.01903,94.39721,18.8471,3741.87858,4.74661,-0.27992,0.08255,-0.00159,1.24777,86.28043,17.46051,0.66346,7.76236,-16.72929,255.50322,83.83583,-13.20796,536.41018,6.59537,-0.82514,119.91804,1223.77313,-7.7561,0.91333,70.95377,61.83858,18.85402,13.19582,19.87219,3.06761,10.28578,78.74486,475.16536,5.41779
2004年,10.33724,349.32415,5.36452,0.0134,21.64924,316.71364,8.15333,66.92692,23.44951,5133.39567,9.91454,4.35199,-0.1346,0.26414,0.56727,166.39512,41.69197,-0.65947,4.77859,-16.69553,325.69798,266.95547,-6.50152,542.13935,29.67941,0.11115,240.12756,1690.17557,-24.33893,1.5578,90.17992,69.63027,11.94025,12.57924,22.59523,7.94424,6.67478,49.08511,752.67375,32.08307
2005年,32.85632,222.33708,18.04654,0.14175,38.65472,243.38997,7.21822,79.73196,14.12717,6123.85385,5.03407,3.68944,5.18053,0.64797,1.22594,230.83194,100.08047,1.44442,10.84847,-24.03959,380.75239,388.12039,-8.91751,798.26426,58.74864,0.69557,-255.62649,2807.35307,-6.0854,1.61549,17.00248,117.6312,16.91072,15.77666,-6.61536,16.04885,20.37825,77.25601,651.72587,41.37137
2006年,59.13,376.27,24.38,-0.03,45.46,285.36,11.91,66.3,19.62,8011.51,-3.01,3.82,2.61,1.37,0.35,454.23,149.57,-0.57,6.75,-17.29,443.5,420.46,-8.22,1142.67,68.14,1.6,-354.75,3695.56,0.69,2.31,19.99,152.06,21.13,22.73,20.04,15.8,22.49,96.52,699.46,43.06
2007年,134.62174,740.02008,25.92498,0.00025,66.41706,506.30283,15.52367,95.34249,27.60526,10251.06485,8.8073,4.67546,6.4277,2.07159,1.2551,551.26022,159.72752,4.81766,12.74477,-16.6586,615.60055,674.04753,13.12164,1424.09022,99.40181,1.38983,-37.70921,3494.69413,12.21997,6.07245,53.92087,221.59232,24.87999,35.21788,73.72632,17.43564,19.20282,137.98817,953.82152,63.46332
2008年,164.44156,901.32976,33.67587,0.00021,46.34558,187.52929,-31.82211,129.67251,34.40931,8991.61593,15.71248,5.82206,7.93969,12.16103,0.86655,269.13079,122.67616,2.77333,-0.48112,-27.22917,692.71814,1450.77274,16.63162,447.95779,132.73788,4.80353,-1487.40639,4467.23111,-3.59865,7.11103,144.96027,253.62939,31.73522,43.1592,106.13143,26.50382,21.55244,178.72279,407.43409,173.8747
2009年,234.60549,1387.48732,45.69876,0.0003,61.90143,168.79807,17.47056,156.26207,40.54557,9357.82358,14.9342,6.26078,9.49893,16.74415,1.47748,209.83233,94.87581,2.44668,30.22337,-35.24101,686.48676,1247.78493,42.4534,946.76883,175.08555,1.77277,635.20201,1798.56774,2.25553,7.95286,108.88199,262.86757,22.66818,52.19894,176.30011,19.05662,39.72854,217.56366,395.4671,54.9382
2010年,325.60313,2350.25116,62.2189,0.24921,104.64997,432.16523,34.09927,214.07222,49.94804,14963.68082,24.9384,10.42335,22.88797,5.68828,2.90226,542.29841,196.19574,8.45493,26.17333,-30.44411,734.53883,2013.06962,70.63304,1693.9098,227.08022,2.25356,788.18306,2893.25202,19.08875,8.12133,289.93536,319.0691,39.02271,82.67334,295.19382,31.50124,54.53553,278.39355,607.99721,132.45304
2011年,377.50523,2561.86881,79.9254,,120.98451,541.08722,24.67071,234.55549,53.90954,16282.3349,22.98483,12.11117,19.40289,4.63555,2.61077,627.93228,298.02639,6.55635,14.36398,-16.64574,852.39584,2495.47266,100.82427,1581.52541,190.71184,3.12489,-112.98018,3857.26762,26.32046,9.53252,246.04819,332.76233,20.35506,102.03265,458.29056,57.48709,40.72448,416.08714,416.45443,201.41226
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
