,专用设备制造业国有控股工业企业亏损企业单位数,交通运输设备制造业国有控股工业企业亏损企业单位数,仪器仪表及文化、办公用机械制造业国有控股工业企业亏损企业单位数,其他采矿业国有控股工业企业亏损企业单位数,农副食品加工业国有控股工业企业亏损企业单位数,化学原料及化学制品制造业国有控股工业企业亏损企业单位数,化学纤维制造业国有控股工业企业亏损企业单位数,医药制造业国有控股工业企业亏损企业单位数,印刷业和记录媒介的复制国有控股工业企业亏损企业单位数,国有控股工业企业亏损企业单位数,塑料制品业国有控股工业企业亏损企业单位数,家具制造业国有控股工业企业亏损企业单位数,工艺品及其他制造业国有控股工业企业亏损企业单位数,废弃资源和废旧材料回收加工业国有控股工业企业亏损企业单位数,文教体育用品制造业国有控股工业企业亏损企业单位数,有色金属冶炼及压延加工业国有控股工业企业亏损企业单位数,有色金属矿采选业国有控股工业企业亏损企业单位数,木材加工及木、竹、藤、棕、草制品业国有控股工业企业亏损企业单位数,橡胶制品业国有控股工业企业亏损企业单位数,水的生产和供应业国有控股工业企业亏损企业单位数,烟草制品业国有控股工业企业亏损企业单位数,煤炭开采和洗选业国有控股工业企业亏损企业单位数,燃气生产和供应业国有控股工业企业亏损企业单位数,电力、热力的生产和供应业国有控股工业企业亏损企业单位数,电气机械及器材制造业国有控股工业企业亏损企业单位数,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业亏损企业单位数,石油加工、炼焦及核燃料加工业国有控股工业企业亏损企业单位数,石油和天然气开采业国有控股工业企业亏损企业单位数,纺织业国有控股工业企业亏损企业单位数,纺织服装、鞋、帽制造业国有控股工业企业亏损企业单位数,通信设备、计算机及其他电子设备制造国有控股工业企业亏损企业单位数,通用设备制造业国有控股工业企业亏损企业单位数,造纸及纸制品业国有控股工业企业亏损企业单位数,金属制品业国有控股工业企业亏损企业单位数,非金属矿物制品业国有控股工业企业亏损企业单位数,非金属矿采选业国有控股工业企业亏损企业单位数,食品制造业国有控股工业企业亏损企业单位数,饮料制造业国有控股工业企业亏损企业单位数,黑色金属冶炼及压延加工业国有控股工业企业亏损企业单位数,黑色金属矿采选业国有控股工业企业亏损企业单位数
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,711.0,714.0,196.0,,789.0,742.0,46.0,273.0,544.0,12081.0,218.0,40.0,69.0,3.0,53.0,168.0,80.0,121.0,88.0,1053.0,36.0,222.0,103.0,1238.0,400.0,63.0,43.0,9.0,605.0,127.0,322.0,718.0,201.0,287.0,895.0,116.0,337.0,295.0,129.0,27.0
2004年,721.0,894.0,232.0,,679.0,727.0,46.0,273.0,672.0,13320.0,268.0,55.0,93.0,5.0,52.0,163.0,66.0,130.0,106.0,1203.0,28.0,254.0,125.0,1535.0,478.0,50.0,76.0,14.0,601.0,131.0,326.0,901.0,218.0,383.0,900.0,101.0,334.0,296.0,161.0,23.0
2005年,502.0,589.0,156.0,1.0,430.0,525.0,40.0,213.0,514.0,9763.0,168.0,47.0,61.0,2.0,36.0,131.0,61.0,91.0,76.0,1124.0,19.0,182.0,94.0,1276.0,316.0,28.0,94.0,11.0,399.0,80.0,264.0,556.0,143.0,236.0,702.0,75.0,203.0,175.0,125.0,18.0
2006年,380.0,479.0,131.0,1.0,318.0,432.0,26.0,184.0,407.0,7975.0,142.0,30.0,46.0,2.0,23.0,93.0,46.0,81.0,43.0,1063.0,7.0,197.0,86.0,1138.0,229.0,15.0,80.0,7.0,297.0,59.0,206.0,425.0,104.0,172.0,550.0,69.0,151.0,140.0,98.0,18.0
2007年,247.0,308.0,78.0,,207.0,322.0,20.0,172.0,176.0,5345.0,82.0,18.0,30.0,1.0,12.0,94.0,38.0,55.0,29.0,562.0,6.0,136.0,65.0,880.0,181.0,11.0,61.0,8.0,253.0,53.0,166.0,262.0,63.0,118.0,343.0,32.0,91.0,96.0,62.0,7.0
2008年,261.0,319.0,62.0,,184.0,373.0,29.0,132.0,163.0,5839.0,82.0,12.0,28.0,7.0,18.0,157.0,37.0,52.0,39.0,581.0,6.0,131.0,60.0,1241.0,174.0,7.0,111.0,21.0,186.0,43.0,162.0,263.0,53.0,108.0,366.0,46.0,113.0,97.0,107.0,8.0
2009年,233.0,269.0,61.0,,155.0,401.0,18.0,119.0,130.0,5391.0,66.0,9.0,27.0,3.0,10.0,140.0,42.0,51.0,22.0,599.0,5.0,184.0,50.0,1148.0,147.0,7.0,47.0,22.0,138.0,33.0,159.0,245.0,45.0,105.0,354.0,43.0,79.0,94.0,96.0,35.0
2010年,166.0,238.0,37.0,,126.0,309.0,11.0,90.0,119.0,4339.0,54.0,5.0,18.0,5.0,6.0,96.0,31.0,38.0,24.0,556.0,10.0,143.0,44.0,944.0,128.0,4.0,48.0,24.0,83.0,33.0,114.0,159.0,48.0,79.0,264.0,26.0,87.0,82.0,74.0,16.0
2011年,130.0,211.0,19.0,,106.0,252.0,12.0,53.0,59.0,3514.0,36.0,1.0,9.0,5.0,4.0,91.0,23.0,29.0,21.0,257.0,6.0,123.0,38.0,990.0,121.0,,85.0,19.0,59.0,15.0,87.0,119.0,36.0,66.0,202.0,13.0,50.0,68.0,83.0,16.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
