,专用设备制造业国有控股工业企业法人资本金,交通运输设备制造业国有控股工业企业法人资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业法人资本金,其他采矿业国有控股工业企业法人资本金,农副食品加工业国有控股工业企业法人资本金,化学原料及化学制品制造业国有控股工业企业法人资本金,化学纤维制造业国有控股工业企业法人资本金,医药制造业国有控股工业企业法人资本金,印刷业和记录媒介的复制国有控股工业企业法人资本金,国有控股工业企业法人资本金,塑料制品业国有控股工业企业法人资本金,家具制造业国有控股工业企业法人资本金,工艺品及其他制造业国有控股工业企业法人资本金,废弃资源和废旧材料回收加工业国有控股工业企业法人资本金,文教体育用品制造业国有控股工业企业法人资本金,有色金属冶炼及压延加工业国有控股工业企业法人资本金,有色金属矿采选业国有控股工业企业法人资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业法人资本金,橡胶制品业国有控股工业企业法人资本金,水的生产和供应业国有控股工业企业法人资本金,烟草制品业国有控股工业企业法人资本金,煤炭开采和洗选业国有控股工业企业法人资本金,燃气生产和供应业国有控股工业企业法人资本金,电力、热力的生产和供应业国有控股工业企业法人资本金,电气机械及器材制造业国有控股工业企业法人资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业法人资本金,石油加工、炼焦及核燃料加工业国有控股工业企业法人资本金,石油和天然气开采业国有控股工业企业法人资本金,纺织业国有控股工业企业法人资本金,纺织服装、鞋、帽制造业国有控股工业企业法人资本金,通信设备、计算机及其他电子设备制造国有控股工业企业法人资本金,通用设备制造业国有控股工业企业法人资本金,造纸及纸制品业国有控股工业企业法人资本金,金属制品业国有控股工业企业法人资本金,非金属矿物制品业国有控股工业企业法人资本金,非金属矿采选业国有控股工业企业法人资本金,食品制造业国有控股工业企业法人资本金,饮料制造业国有控股工业企业法人资本金,黑色金属冶炼及压延加工业国有控股工业企业法人资本金,黑色金属矿采选业国有控股工业企业法人资本金
2003年,238.79468,750.63367,40.84701,,57.99717,751.44644,51.28829,164.30924,35.91758,7863.35834,42.11693,5.89261,6.31927,0.15877,6.80562,183.454,20.29939,28.8644,39.40372,62.16476,15.4687,280.73794,81.2776,1567.90527,122.58916,4.337,636.96748,970.73505,130.54246,12.61364,310.87377,235.88746,56.89325,39.94192,209.17175,40.24673,59.74619,60.66767,527.26373,12.77802
2004年,248.56789,875.63956,53.72771,,56.31464,946.03536,167.80345,167.28268,48.21619,10556.02735,44.83099,5.16005,21.45897,1.21999,8.62225,241.94154,20.64125,16.17671,61.3317,110.42285,32.7957,418.13255,146.69662,2820.14068,161.01725,4.66396,448.31648,1260.6625,124.84776,12.32995,446.22501,273.75419,62.75654,61.75338,280.75196,32.41845,54.7879,73.49683,662.77518,82.31068
2005年,252.3159,1191.66542,58.11512,,64.22818,925.77244,162.02149,200.39301,49.07092,11567.47176,30.8726,5.24919,12.70125,1.32975,5.60444,252.97398,65.60893,15.48268,49.1593,118.3062,54.41051,431.14757,159.38301,3152.74922,144.93911,3.31596,732.86244,1176.12458,107.3365,13.81614,410.17743,280.45228,54.55567,66.50201,323.01174,22.47374,63.66478,94.32539,724.78188,90.571
2006年,252.8,1163.53,54.25,0.0,72.83,1205.49,190.02,205.91,53.84,13483.17,33.92,4.58,10.55,1.63,5.15,293.17,87.23,16.54,44.13,146.37,216.05,595.8,169.63,3809.88,160.14,4.36,704.02,1606.7,134.54,17.18,358.23,319.24,76.47,66.2,357.86,40.63,72.62,93.33,811.32,27.03
2007年,286.06536,1439.0294,67.73508,,88.32665,1384.22706,173.85236,221.66152,70.27074,15429.27864,47.20357,4.38395,25.16897,1.77426,8.267,362.19394,74.77285,15.11679,46.62865,161.31972,376.70435,721.38385,85.51486,4313.88823,174.49639,3.64041,794.5418,1859.37519,110.12533,22.12232,432.94492,318.8407,89.48879,86.53969,402.72589,29.12889,85.57291,91.71209,833.12822,119.40594
2008年,493.52383,1718.22334,125.87866,,110.61884,1377.13626,155.55058,210.78445,87.73731,18557.72126,62.62265,3.15342,26.5789,13.35075,8.78773,496.16802,80.69883,18.13423,48.77144,203.5997,572.13661,823.08524,189.43875,4555.12484,264.63581,3.72569,1172.07364,2243.32175,95.97639,23.743,657.38918,393.68339,120.55757,120.16344,509.73956,46.08949,69.63407,125.14254,1216.80802,113.93334
2009年,492.57006,1997.83171,97.63437,,110.29,1644.34476,135.06554,239.5138,94.85699,20863.93097,53.01894,4.01393,30.09,15.69968,5.37662,656.96374,106.33442,17.31881,60.93481,227.39204,624.58514,1262.08194,206.4704,5361.03507,262.20041,2.67004,977.83021,1965.05126,86.71801,17.2175,554.25965,538.72146,124.66529,110.97142,530.54991,50.22954,89.73981,141.04497,1898.45787,70.18085
2010年,648.27514,2028.18502,118.32494,0.1,108.50066,1875.80614,62.34423,255.6353,97.7468,23716.42187,55.57532,4.32346,36.79798,8.94159,7.03959,642.36206,128.11355,22.67947,76.81622,287.9154,638.23572,1629.49773,218.87638,6294.47411,338.51906,2.80796,1014.65761,2544.96073,90.022,16.88953,756.39717,474.27798,137.24777,123.29569,667.38499,34.29228,94.25878,155.05742,1846.85397,172.93212
2011年,653.73983,2412.01435,104.73452,,104.52363,1674.13379,39.27687,223.68235,118.06312,26895.72184,70.2262,3.32855,94.96986,6.12796,5.74164,871.91951,141.28691,28.16223,79.37129,337.31546,721.08719,1735.53028,245.71215,7128.51854,495.41755,2.4515,1349.70641,2689.46285,80.81915,15.94624,954.32651,505.70973,141.1788,140.05897,823.48768,45.06742,104.80742,142.42572,2395.84834,209.54132
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
