,专用设备制造业国有控股工业企业产成品,交通运输设备制造业国有控股工业企业产成品,仪器仪表及文化、办公用机械制造业国有控股工业企业产成品,其他采矿业国有控股工业企业产成品,农副食品加工业国有控股工业企业产成品,化学原料及化学制品制造业国有控股工业企业产成品,化学纤维制造业国有控股工业企业产成品,医药制造业国有控股工业企业产成品,印刷业和记录媒介的复制国有控股工业企业产成品,国有控股工业企业产成品,塑料制品业国有控股工业企业产成品,家具制造业国有控股工业企业产成品,工艺品及其他制造业国有控股工业企业产成品,废弃资源和废旧材料回收加工业国有控股工业企业产成品,文教体育用品制造业国有控股工业企业产成品,有色金属冶炼及压延加工业国有控股工业企业产成品,有色金属矿采选业国有控股工业企业产成品,木材加工及木、竹、藤、棕、草制品业国有控股工业企业产成品,橡胶制品业国有控股工业企业产成品,水的生产和供应业国有控股工业企业产成品,烟草制品业国有控股工业企业产成品,煤炭开采和洗选业国有控股工业企业产成品,燃气生产和供应业国有控股工业企业产成品,电力、热力的生产和供应业国有控股工业企业产成品,电气机械及器材制造业国有控股工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业产成品,石油加工、炼焦及核燃料加工业国有控股工业企业产成品,石油和天然气开采业国有控股工业企业产成品,纺织业国有控股工业企业产成品,纺织服装、鞋、帽制造业国有控股工业企业产成品,通信设备、计算机及其他电子设备制造国有控股工业企业产成品,通用设备制造业国有控股工业企业产成品,造纸及纸制品业国有控股工业企业产成品,金属制品业国有控股工业企业产成品,非金属矿物制品业国有控股工业企业产成品,非金属矿采选业国有控股工业企业产成品,食品制造业国有控股工业企业产成品,饮料制造业国有控股工业企业产成品,黑色金属冶炼及压延加工业国有控股工业企业产成品,黑色金属矿采选业国有控股工业企业产成品
2003年,196.99992,375.03085,31.37144,2.1945,72.75761,197.32013,20.91392,96.88406,19.30252,2940.19555,21.40769,3.3045,6.09873,0.00702,5.80944,81.11821,12.20929,12.5014,38.4186,0.87471,91.01242,74.16719,3.48298,24.45377,133.70219,7.31929,116.14182,36.65278,176.49097,11.36513,279.82829,223.99527,52.69318,44.99539,122.27718,17.21159,26.80618,79.32919,216.46678,7.27942
2004年,195.42054,421.86592,33.32609,0.00686,63.57998,201.6215,25.34417,72.34052,19.32655,3025.98435,33.61236,3.15131,13.18909,0.20949,5.11196,102.32639,13.29948,12.43287,36.84532,1.4378,43.70909,105.0605,3.67172,23.14686,143.51837,7.80588,176.71945,56.16333,129.74432,12.72424,229.12637,221.01644,43.28756,49.0843,113.04002,15.86132,22.82087,58.57817,305.33282,11.12452
2005年,208.28916,410.6287,31.55556,0.04297,68.09739,248.8102,30.5387,92.12676,17.73868,3278.08346,25.69214,2.51936,7.28165,2.6833,5.14196,122.26572,15.70853,15.58266,38.33208,1.18586,47.06933,151.90606,4.41431,16.01339,146.72815,2.249,187.70207,75.75091,108.79155,16.31117,251.91131,230.04673,40.18742,44.89518,109.97123,13.37376,27.48703,67.58889,380.0174,11.44719
2006年,217.3,533.34,35.18,0.02,59.82,269.02,29.61,84.22,20.98,3630.9,25.86,2.38,13.89,0.2,4.26,185.35,31.86,14.56,38.36,1.62,53.96,177.42,4.52,23.87,192.81,2.55,213.85,75.76,108.44,17.63,186.65,239.24,36.25,49.71,102.77,18.23,35.67,70.98,442.02,10.74
2007年,252.31987,641.98683,36.26953,0.02064,77.63224,305.54289,35.24172,98.67689,25.9628,4166.55307,32.77905,2.52794,17.91779,3.07018,4.22653,216.95138,25.20836,12.07077,39.55758,1.56884,60.85081,183.2817,3.4442,44.72041,219.74119,3.20595,266.42926,84.10902,107.23694,17.3225,215.83106,249.93836,25.01474,52.78089,107.79624,14.87788,30.0746,71.57308,562.31482,16.47759
2008年,342.94637,715.6092,42.34285,0.0286,82.10945,398.2056,32.05285,94.7273,22.47551,5094.66942,26.7172,1.74805,15.75203,4.2211,5.4132,231.04715,28.97362,13.9719,60.31379,1.41176,175.38388,289.7301,4.53678,27.84464,222.97188,5.69385,274.54056,94.56463,88.99875,21.68177,349.26494,333.33419,61.78168,60.61108,138.04464,18.11835,42.35305,80.04243,665.15223,19.95246
2009年,323.02657,804.86678,39.07433,0.03877,93.6933,336.38853,26.56347,92.47633,25.71861,5057.3093,34.04516,2.27265,33.96004,6.70273,3.64758,261.96757,43.38021,9.87013,52.92375,1.92231,103.64552,298.50024,8.42375,31.35281,252.87885,3.1373,321.18258,93.3593,68.98139,18.94442,289.54048,339.89963,45.97991,72.1078,133.23304,16.19502,42.35534,76.5352,614.47057,34.04733
2010年,406.92817,1164.30805,44.017,,152.26513,387.90172,31.0355,111.43661,25.34242,6109.70719,31.37258,2.50006,41.39004,1.68969,4.42021,369.34081,52.09666,9.52665,68.03939,1.95159,139.6409,355.23946,7.54685,29.95348,306.61997,3.18226,352.91546,104.8156,58.77069,22.18199,266.9769,341.02717,51.58517,85.51414,142.24736,16.87814,50.09794,88.22874,743.53951,37.18318
2011年,490.71766,1112.02799,48.64294,,147.85966,474.79474,36.68318,147.09468,25.46739,7460.19707,35.01449,2.98852,83.05982,4.33545,4.47302,542.00124,80.68444,13.5387,89.51857,3.42182,142.69502,422.85884,15.24853,60.43016,393.40211,2.95276,499.4117,98.02799,74.94771,20.14727,332.67448,411.64623,67.9665,104.8804,190.60547,21.9177,66.03417,121.00156,1019.12328,51.90088
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
