,专用设备制造业国有控股工业企业固定资产合计,交通运输设备制造业国有控股工业企业固定资产合计,仪器仪表及文化、办公用机械制造业国有控股工业企业固定资产合计,其他采矿业国有控股工业企业固定资产合计,农副食品加工业国有控股工业企业固定资产合计,化学原料及化学制品制造业国有控股工业企业固定资产合计,化学纤维制造业国有控股工业企业固定资产合计,医药制造业国有控股工业企业固定资产合计,印刷业和记录媒介的复制国有控股工业企业固定资产合计,国有控股工业企业固定资产合计,塑料制品业国有控股工业企业固定资产合计,家具制造业国有控股工业企业固定资产合计,工艺品及其他制造业国有控股工业企业固定资产合计,废弃资源和废旧材料回收加工业国有控股工业企业固定资产合计,文教体育用品制造业国有控股工业企业固定资产合计,有色金属冶炼及压延加工业国有控股工业企业固定资产合计,有色金属矿采选业国有控股工业企业固定资产合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业固定资产合计,橡胶制品业国有控股工业企业固定资产合计,水的生产和供应业国有控股工业企业固定资产合计,烟草制品业国有控股工业企业固定资产合计,煤炭开采和洗选业国有控股工业企业固定资产合计,燃气生产和供应业国有控股工业企业固定资产合计,电力、热力的生产和供应业国有控股工业企业固定资产合计,电气机械及器材制造业国有控股工业企业固定资产合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业固定资产合计,石油加工、炼焦及核燃料加工业国有控股工业企业固定资产合计,石油和天然气开采业国有控股工业企业固定资产合计,纺织业国有控股工业企业固定资产合计,纺织服装、鞋、帽制造业国有控股工业企业固定资产合计,通信设备、计算机及其他电子设备制造国有控股工业企业固定资产合计,通用设备制造业国有控股工业企业固定资产合计,造纸及纸制品业国有控股工业企业固定资产合计,金属制品业国有控股工业企业固定资产合计,非金属矿物制品业国有控股工业企业固定资产合计,非金属矿采选业国有控股工业企业固定资产合计,食品制造业国有控股工业企业固定资产合计,饮料制造业国有控股工业企业固定资产合计,黑色金属冶炼及压延加工业国有控股工业企业固定资产合计,黑色金属矿采选业国有控股工业企业固定资产合计
2003年,906.21981,2492.96304,127.39027,15.43168,434.08425,3234.58486,411.07861,640.53772,235.28653,48538.38399,201.95228,16.82646,25.91043,0.17486,19.53846,1275.17881,203.3031,146.48646,196.0946,1328.65658,691.79043,2759.84477,445.25621,16158.23172,484.65854,16.86505,1947.19116,3526.88002,822.049,46.68386,812.91512,845.08372,617.59976,202.38963,1271.75827,271.70254,259.25248,597.75877,4734.99156,113.78257
2004年,751.80932,2735.7751,136.85903,0.02283,370.39922,3041.2675,435.89042,581.90317,258.77094,54204.05284,223.6674,16.6402,146.30393,1.79715,20.82015,1389.21285,174.66743,145.14696,211.87662,1671.30843,714.56711,3262.74015,526.73471,19935.38462,443.98065,17.36921,1993.90097,4419.13448,638.16232,39.12422,841.74877,804.63926,589.87186,223.74369,1258.59616,214.04826,214.341,435.04774,5173.96283,142.81618
2005年,798.65524,2974.14331,135.14467,0.95194,334.29039,3417.70061,427.06264,640.76216,249.81653,59437.36161,189.0248,14.06636,69.13693,4.24573,19.83383,1609.22465,188.07855,163.10878,188.88865,1663.767,740.84035,3765.70399,504.16959,22392.9041,421.7738,10.27335,2339.40571,4808.54775,558.35968,42.42097,957.86352,798.43985,596.27225,203.81977,1251.93836,137.08206,238.95755,481.06954,5941.82119,157.79546
2006年,861.62,3250.26,148.14,0.05,324.68,4183.56,436.3,600.49,238.38,69369.97,182.15,13.45,68.68,22.76,17.39,1794.34,242.07,151.53,153.39,1873.8,735.49,4753.74,626.59,27282.39,447.05,7.08,2620.14,5915.84,532.82,41.44,746.35,809.29,579.98,200.38,1240.41,174.13,268.09,472.25,7162.62,190.85
2007年,938.6581,3905.97148,165.18956,0.0133,328.11156,4500.29473,412.06229,610.95141,243.01909,78792.64328,142.20589,12.05561,109.74079,10.81847,16.59412,2024.3613,272.51678,101.47754,164.54179,1960.93093,1002.47608,5599.77168,565.03067,31793.00429,416.04575,8.86223,2992.8985,6902.61936,491.05866,43.56718,782.07385,987.38159,451.00826,224.68402,1355.8364,140.84255,243.23323,461.02747,8181.16565,230.54112
2008年,1194.5847,4749.44514,169.82785,0.01313,342.3349,4725.52474,278.58821,646.80373,244.32318,91883.64277,161.25143,11.88457,104.05734,49.14595,14.73579,2562.48944,345.20302,80.44753,213.92959,2225.36281,852.7514,6357.14551,601.47998,38328.43791,526.80988,7.33819,3437.15655,7865.89276,393.54675,39.67737,1057.92651,1189.69461,585.95749,256.4708,1673.47441,160.20937,258.4063,498.38249,9323.71963,349.21181
2009年,1349.951,5763.67137,177.71455,0.01299,394.55259,5775.5333,236.12157,586.77324,255.9333,107763.55461,144.65105,11.32976,92.98143,60.45181,10.13618,3033.92382,389.77283,76.26106,229.38588,2438.30418,965.38163,7723.25233,721.04566,42832.27844,731.61603,11.83038,4466.42679,10855.72434,352.07672,37.7674,1327.54411,1303.41368,656.46459,315.68168,1799.66544,178.60862,247.65199,505.34526,11293.92664,410.39097
2010年,1476.40001,6463.02547,251.88611,,446.88993,6071.55889,246.1704,675.78693,256.05201,117288.81062,131.20969,15.11843,104.92476,10.25283,10.26487,3519.32537,538.24151,77.39991,267.22952,2696.90775,1233.3262,9313.28841,808.8173,46050.44631,906.01721,11.1072,4962.91229,10341.8799,357.97278,36.16237,1296.68279,1253.33639,727.99431,341.02015,2297.53189,187.05195,312.68623,619.95406,12067.74484,904.23365
2011年,1591.26507,6942.8357,221.09355,,409.93135,6151.77173,245.24881,650.6754,221.25955,124261.70685,178.65313,14.92948,194.57235,16.73475,10.21333,3646.3615,582.98481,77.41546,263.3341,2614.37642,1404.02492,10933.70077,869.65038,48496.82196,958.75824,5.32437,5229.7081,11944.03077,370.6216,36.51242,1622.5045,1418.03306,677.13891,362.71649,2589.66233,221.9545,256.2657,624.90543,11315.92477,889.79114
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
