,专用设备制造业国有控股工业企业流动资产合计,交通运输设备制造业国有控股工业企业流动资产合计,仪器仪表及文化、办公用机械制造业国有控股工业企业流动资产合计,其他采矿业国有控股工业企业流动资产合计,农副食品加工业国有控股工业企业流动资产合计,化学原料及化学制品制造业国有控股工业企业流动资产合计,化学纤维制造业国有控股工业企业流动资产合计,医药制造业国有控股工业企业流动资产合计,印刷业和记录媒介的复制国有控股工业企业流动资产合计,国有控股工业企业流动资产合计,塑料制品业国有控股工业企业流动资产合计,家具制造业国有控股工业企业流动资产合计,工艺品及其他制造业国有控股工业企业流动资产合计,废弃资源和废旧材料回收加工业国有控股工业企业流动资产合计,文教体育用品制造业国有控股工业企业流动资产合计,有色金属冶炼及压延加工业国有控股工业企业流动资产合计,有色金属矿采选业国有控股工业企业流动资产合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业流动资产合计,橡胶制品业国有控股工业企业流动资产合计,水的生产和供应业国有控股工业企业流动资产合计,烟草制品业国有控股工业企业流动资产合计,煤炭开采和洗选业国有控股工业企业流动资产合计,燃气生产和供应业国有控股工业企业流动资产合计,电力、热力的生产和供应业国有控股工业企业流动资产合计,电气机械及器材制造业国有控股工业企业流动资产合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业流动资产合计,石油加工、炼焦及核燃料加工业国有控股工业企业流动资产合计,石油和天然气开采业国有控股工业企业流动资产合计,纺织业国有控股工业企业流动资产合计,纺织服装、鞋、帽制造业国有控股工业企业流动资产合计,通信设备、计算机及其他电子设备制造国有控股工业企业流动资产合计,通用设备制造业国有控股工业企业流动资产合计,造纸及纸制品业国有控股工业企业流动资产合计,金属制品业国有控股工业企业流动资产合计,非金属矿物制品业国有控股工业企业流动资产合计,非金属矿采选业国有控股工业企业流动资产合计,食品制造业国有控股工业企业流动资产合计,饮料制造业国有控股工业企业流动资产合计,黑色金属冶炼及压延加工业国有控股工业企业流动资产合计,黑色金属矿采选业国有控股工业企业流动资产合计
2003年,1450.43378,4804.90972,264.62383,16.26838,496.59959,1948.90469,236.73311,969.74349,209.94816,36125.14,188.69004,23.05119,43.23078,0.29466,39.23009,979.64197,138.9082,90.12488,238.5006,418.87654,1679.47849,1739.21666,208.96385,5014.11492,1086.58687,34.04159,1036.09719,934.06315,948.56816,82.71923,2496.32491,1960.83578,431.52351,311.32549,1045.32315,152.65824,300.88935,705.112,3304.93382,93.65199
2004年,1443.91499,5064.61986,305.82426,0.04945,440.52156,2070.10524,252.86256,805.11551,236.78669,39376.2,223.26463,31.94074,138.58208,2.77084,41.38595,1201.96194,160.21637,96.58624,236.58851,562.24401,1845.86544,2264.4618,232.15746,5670.21034,1196.10231,33.45679,1308.40407,1255.14235,717.94015,76.15546,2272.61158,2273.66723,376.74292,355.80303,1046.73821,142.69396,267.20102,570.42267,3983.9633,171.1216
2005年,1611.26712,5364.13938,302.55224,1.05233,423.1446,2326.22174,257.87623,914.88143,221.8391,42155.31,189.38994,26.02884,94.72363,6.87983,34.70746,1369.65401,227.24,110.74888,237.26271,587.39555,2061.81771,2741.87345,243.25354,5339.73484,1262.27645,21.15265,1918.25164,1429.99414,598.27319,81.96587,2420.70141,2413.00867,339.27566,317.95318,994.35937,102.70687,329.77627,637.64453,4392.16555,202.11654
2006年,1742.02,6397.08,319.48,0.12,388.5,2723.58,306.52,856.61,210.06,46713.09,206.99,25.96,129.07,10.9,32.1,1892.95,381.39,120.55,203.7,605.43,2270.23,3234.44,298.7,5872.55,1390.53,19.7,2029.16,1897.4,565.39,74.15,1806.52,2539.72,341.1,368.61,1027.91,132.98,316.61,677.33,5068.19,228.84
2007年,2142.31438,8473.84222,352.52162,0.11263,447.36144,3149.37414,317.63175,905.06177,213.46221,54997.45,170.59787,28.09271,178.63346,15.29334,29.34494,2418.19086,405.49864,79.90932,234.92459,674.94584,2423.91064,3818.85489,293.47949,6212.8506,1637.18079,19.28765,2424.29654,1985.38178,526.14241,93.3621,2067.31228,3031.78451,302.16404,446.33396,1097.8104,126.61292,407.09625,751.83234,6803.69746,290.94813
2008年,3001.39816,9404.13344,462.92051,0.11243,494.84388,3430.37151,262.5353,920.66165,223.99222,65493.98,242.26914,23.46778,166.75295,66.23614,32.13045,2864.47633,400.93384,82.26094,306.11659,777.31215,2923.1902,5655.35364,409.65189,7436.03723,1904.65284,39.48044,2963.44008,2277.8098,422.74142,98.87286,2837.26299,3549.42399,425.49263,475.3608,1399.55736,152.86452,328.05276,833.15091,7781.013,417.64571
2009年,3524.53279,12121.77391,531.50758,0.11469,539.7828,3590.76678,221.31277,986.66138,248.61732,74113.99,207.66174,32.92126,222.40123,79.32187,24.48116,3250.88367,431.24138,73.85052,308.15624,857.30884,3279.65444,6675.92506,1243.15392,7140.61147,2286.44822,20.17284,2693.09713,2653.59905,376.69603,104.93079,3089.88907,4040.21982,493.02254,570.66874,1445.52209,189.71255,359.29362,975.98931,8811.25141,410.83886
2010年,4363.14429,16326.51242,593.95044,0.72226,899.10076,4072.94259,252.59327,1270.7528,282.59315,90810.23,251.00557,45.43974,285.24667,47.96893,27.20503,4089.81897,502.22041,84.88731,367.9169,988.36149,3685.4604,8557.26971,506.61852,9028.30804,3117.06321,12.18477,3566.13874,3360.12758,449.01249,119.06827,3870.87933,4287.24678,594.50918,722.13858,1874.26115,216.24447,429.99644,1188.248,9396.31567,1076.75183
2011年,4851.37116,17516.63594,750.719,,1097.4628,4706.80317,277.21887,1466.29476,279.27279,106550.42,250.31332,41.54929,474.25619,59.07602,25.87675,5011.80857,632.08365,94.02934,426.06305,1041.29518,4201.74235,10773.00129,617.9878,10584.0337,4068.99533,21.66705,4796.89265,4179.63199,469.55712,118.0143,4995.43396,4555.62188,525.13791,857.97732,2360.00085,289.51154,420.91707,1593.8354,10961.91355,1156.41936
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
