,专用设备制造业国有控股工业企业负债合计,交通运输设备制造业国有控股工业企业负债合计,仪器仪表及文化、办公用机械制造业国有控股工业企业负债合计,其他采矿业国有控股工业企业负债合计,农副食品加工业国有控股工业企业负债合计,化学原料及化学制品制造业国有控股工业企业负债合计,化学纤维制造业国有控股工业企业负债合计,医药制造业国有控股工业企业负债合计,印刷业和记录媒介的复制国有控股工业企业负债合计,国有控股工业企业负债合计,塑料制品业国有控股工业企业负债合计,家具制造业国有控股工业企业负债合计,工艺品及其他制造业国有控股工业企业负债合计,废弃资源和废旧材料回收加工业国有控股工业企业负债合计,文教体育用品制造业国有控股工业企业负债合计,有色金属冶炼及压延加工业国有控股工业企业负债合计,有色金属矿采选业国有控股工业企业负债合计,木材加工及木、竹、藤、棕、草制品业国有控股工业企业负债合计,橡胶制品业国有控股工业企业负债合计,水的生产和供应业国有控股工业企业负债合计,烟草制品业国有控股工业企业负债合计,煤炭开采和洗选业国有控股工业企业负债合计,燃气生产和供应业国有控股工业企业负债合计,电力、热力的生产和供应业国有控股工业企业负债合计,电气机械及器材制造业国有控股工业企业负债合计,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业负债合计,石油加工、炼焦及核燃料加工业国有控股工业企业负债合计,石油和天然气开采业国有控股工业企业负债合计,纺织业国有控股工业企业负债合计,纺织服装、鞋、帽制造业国有控股工业企业负债合计,通信设备、计算机及其他电子设备制造国有控股工业企业负债合计,通用设备制造业国有控股工业企业负债合计,造纸及纸制品业国有控股工业企业负债合计,金属制品业国有控股工业企业负债合计,非金属矿物制品业国有控股工业企业负债合计,非金属矿采选业国有控股工业企业负债合计,食品制造业国有控股工业企业负债合计,饮料制造业国有控股工业企业负债合计,黑色金属冶炼及压延加工业国有控股工业企业负债合计,黑色金属矿采选业国有控股工业企业负债合计
2003年,1917.0323,5111.35256,300.10746,21.51192,780.45493,3453.32033,401.37142,1115.43783,271.78488,55990.53,260.29074,29.3326,58.34252,0.1952,40.70023,1672.09767,251.63909,170.82443,316.48047,813.56684,1164.01128,2744.19701,340.2877,14632.84681,1246.43486,50.60436,1556.63101,1731.69297,1489.66546,98.8653,2332.12024,2194.39196,764.2844,381.85933,1708.12572,288.27106,411.47941,811.83244,4926.64204,130.44641
2004年,1789.89097,5505.18725,348.94899,0.11006,667.18143,3290.5067,443.01608,884.50246,284.07952,62005.79,319.11915,34.97746,199.19412,2.45783,43.08329,1905.30585,242.48245,175.49487,339.82555,1060.94995,1101.84652,3756.56759,384.77042,17716.23203,1371.87419,51.50006,1742.25928,2187.18464,1205.31204,87.52099,2234.22783,2519.4801,698.1178,444.05351,1704.03714,221.6635,393.0532,650.01515,5814.18132,185.58121
2005年,1896.50245,6153.39262,317.3868,0.49932,586.20758,3669.43171,404.59037,1020.51624,259.59388,66653.58,265.10007,31.49305,112.75369,7.15387,32.25351,2162.2035,273.81456,193.03162,323.67211,1172.09708,1059.83996,4500.54264,402.6513,19134.6487,1356.42587,25.81493,2341.17613,2220.78449,964.1239,96.34252,2367.3316,2524.09435,672.10189,376.71762,1655.40057,166.00764,415.44493,633.99444,6633.06074,225.37776
2006年,1981.81,7032.1,320.92,0.22,517.68,4213.98,444.93,937.02,251.27,76012.52,302.56,29.81,140.75,29.13,27.94,2599.81,393.11,199.93,299.7,1284.08,1075.35,5642.9,543.51,23174.77,1447.0,19.76,2552.32,2953.79,847.75,81.44,1809.39,2558.51,667.21,395.25,1634.23,203.63,435.92,610.17,8093.73,259.16
2007年,2282.73062,9161.59531,342.87299,0.10679,569.21521,4630.87566,422.00007,936.49324,247.02377,89372.34,246.6926,36.28838,212.98863,15.69148,27.21483,3055.41944,401.42539,120.89779,331.60991,1412.04818,922.6316,6925.10791,556.68592,27244.46675,1632.9209,19.62837,3219.52958,3728.19024,802.57453,96.84248,2038.70136,3004.33382,558.26174,463.70969,1761.74982,173.19652,427.32506,670.93263,10351.58367,320.77999
2008年,3154.77421,10367.27141,360.03846,0.10627,620.16898,5373.25301,376.65865,872.67636,214.91797,111374.72,315.17168,28.03154,209.05432,76.69864,30.07881,3671.44246,447.79837,115.7331,431.14261,1786.79521,1025.11397,8971.48972,705.83861,35458.769,1843.53717,20.67525,4480.77324,4824.55063,636.36566,96.81127,2786.27325,3639.24257,797.50336,491.59742,2241.2594,209.2622,446.88181,687.08936,13073.55706,486.31482
2009年,3613.92118,13477.94453,413.77759,0.10815,672.57323,6330.86321,327.51675,918.49432,230.12217,130098.87,258.92307,35.13525,238.40769,93.33263,21.44328,4464.10415,519.90863,111.68313,419.34194,1949.1707,1162.37243,11036.81894,1577.46545,39497.82127,2313.65909,24.13443,4919.19919,6480.51253,549.60356,104.01287,2921.6145,4035.8172,945.0681,595.91357,2294.04978,236.52096,468.49713,741.30045,15618.43205,479.28698
2010年,4164.45224,16947.30403,486.0921,0.92123,993.18313,7132.27245,349.93055,1082.69553,235.68411,149432.08,297.01014,46.46323,286.21051,49.26464,21.29297,5489.77002,679.75393,120.53934,487.60364,2251.88716,1298.99566,13100.85841,896.86454,44704.04338,3018.43056,15.78907,5335.47562,6947.42072,610.96248,109.10913,3404.69543,4010.035,936.15956,713.9104,2928.53837,256.50894,567.24315,907.18249,17123.80665,1423.71534
2011年,4586.98842,18430.95912,563.99149,,1182.41288,7879.08644,389.86867,1224.46174,222.90561,172289.91,272.81181,41.00121,529.88409,61.43856,21.60259,6643.85256,858.15742,132.87172,555.81863,2373.33922,1470.4807,16447.67135,1080.89001,50445.4891,3858.48205,12.25773,6614.20013,8499.44822,616.44234,110.49009,4512.30062,4397.59213,835.89132,859.0938,3536.9727,336.61257,525.12704,1158.21025,19075.53268,1925.27103
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
