,专用设备制造业国有控股工业企业国家资本金,交通运输设备制造业国有控股工业企业国家资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业国家资本金,其他采矿业国有控股工业企业国家资本金,农副食品加工业国有控股工业企业国家资本金,化学原料及化学制品制造业国有控股工业企业国家资本金,化学纤维制造业国有控股工业企业国家资本金,医药制造业国有控股工业企业国家资本金,印刷业和记录媒介的复制国有控股工业企业国家资本金,国有控股工业企业国家资本金,塑料制品业国有控股工业企业国家资本金,家具制造业国有控股工业企业国家资本金,工艺品及其他制造业国有控股工业企业国家资本金,废弃资源和废旧材料回收加工业国有控股工业企业国家资本金,文教体育用品制造业国有控股工业企业国家资本金,有色金属冶炼及压延加工业国有控股工业企业国家资本金,有色金属矿采选业国有控股工业企业国家资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业国家资本金,橡胶制品业国有控股工业企业国家资本金,水的生产和供应业国有控股工业企业国家资本金,烟草制品业国有控股工业企业国家资本金,煤炭开采和洗选业国有控股工业企业国家资本金,燃气生产和供应业国有控股工业企业国家资本金,电力、热力的生产和供应业国有控股工业企业国家资本金,电气机械及器材制造业国有控股工业企业国家资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业国家资本金,石油加工、炼焦及核燃料加工业国有控股工业企业国家资本金,石油和天然气开采业国有控股工业企业国家资本金,纺织业国有控股工业企业国家资本金,纺织服装、鞋、帽制造业国有控股工业企业国家资本金,通信设备、计算机及其他电子设备制造国有控股工业企业国家资本金,通用设备制造业国有控股工业企业国家资本金,造纸及纸制品业国有控股工业企业国家资本金,金属制品业国有控股工业企业国家资本金,非金属矿物制品业国有控股工业企业国家资本金,非金属矿采选业国有控股工业企业国家资本金,食品制造业国有控股工业企业国家资本金,饮料制造业国有控股工业企业国家资本金,黑色金属冶炼及压延加工业国有控股工业企业国家资本金,黑色金属矿采选业国有控股工业企业国家资本金
2003年,315.33272,813.56786,60.37418,5.56719,150.6223,754.92878,93.71222,197.10275,112.40269,12981.23509,56.06214,11.12143,9.86304,0.05393,11.88063,405.12109,70.41702,37.66296,48.71707,572.41627,338.77732,1250.96108,194.75013,2781.61517,164.20282,8.35563,383.4138,737.1438,255.05019,19.13939,289.61154,318.77186,147.57267,75.16668,392.44432,117.21146,61.71339,159.1797,1447.34747,111.8804
2004年,306.6752,1049.78704,60.03851,0.06426,126.89007,768.05326,107.14205,169.93887,111.68656,16316.26507,60.36255,10.68252,46.73691,0.26584,6.14879,350.5063,86.70857,45.16864,49.21857,661.29272,373.88399,1220.87311,203.63466,5643.29953,177.81569,8.9189,438.47624,1172.50402,216.85381,19.72202,239.82546,324.41899,135.51287,85.86638,370.6935,101.00732,47.49187,138.16443,1266.6728,113.26225
2005年,259.86148,533.03847,48.12701,0.73259,98.4773,765.29501,100.74839,183.43023,108.82367,15029.66519,55.29022,8.95446,29.78332,1.35904,6.99604,424.59227,57.19836,34.18895,29.82276,636.76591,378.82076,1212.0841,180.04618,5135.18001,147.54075,5.60684,508.8543,1321.89964,168.62313,15.40815,221.22847,239.14439,122.25428,61.73954,291.99156,49.49459,42.86402,103.92032,1327.55194,111.92674
2006年,284.94,748.49,58.47,0.03,103.54,823.49,96.2,166.04,102.68,16451.19,70.96,9.19,31.27,0.28,5.12,501.76,58.29,34.52,27.06,723.15,289.23,1259.79,178.52,6139.31,147.62,2.83,552.57,1193.38,150.33,15.89,216.53,286.68,97.97,65.76,286.26,42.87,40.13,98.3,1355.71,186.0
2007年,283.6423,725.94986,40.66915,0.01322,68.94289,880.97907,99.61107,154.5996,88.99657,17067.74793,56.02868,8.31845,25.90759,4.73422,5.50813,500.42303,53.51287,34.37151,27.25243,706.98375,152.5354,1288.7545,192.69545,6129.36596,151.98474,2.39607,1072.51635,1478.97396,129.27433,13.50506,262.11359,339.91631,81.57991,76.81376,251.61605,36.49575,38.32149,92.75057,1396.1414,113.55289
2008年,300.38478,779.93275,66.658,0.01389,79.17382,1259.13654,92.86809,159.31069,89.60001,22250.84727,32.857,8.05681,20.66169,10.41484,11.12352,645.05163,99.47106,20.06792,25.80071,769.90695,175.80742,1668.81216,179.9234,7571.37804,157.04009,2.17738,1593.41696,3073.42622,106.88815,16.46964,313.64256,303.76859,124.75204,81.23638,325.55917,39.35953,53.04121,101.75686,1706.77784,185.12293
2009年,336.54943,778.00612,49.87552,0.01389,82.22394,884.39497,82.24841,128.33794,81.72915,20561.49105,37.8447,0.53287,19.58643,10.68739,4.6681,606.09152,79.30146,19.52745,24.9119,834.40129,193.03381,1391.51343,155.96699,7418.97395,158.58414,2.03606,1194.86064,2512.77097,101.29623,10.20971,320.58672,330.37389,116.53224,117.69171,310.89778,56.17432,49.93682,92.72792,1735.79702,230.59422
2010年,367.47929,983.7426,50.93627,,96.68864,788.74047,62.77875,140.18853,81.79728,19585.18106,29.79199,0.81185,28.23156,2.4997,6.71186,656.27606,79.48858,16.81267,18.04982,901.75813,138.22247,1316.92345,146.33748,6163.66191,194.63144,1.20226,1313.13347,2455.26577,81.25497,10.74066,232.39908,284.88335,152.08046,119.75505,303.05698,75.37038,47.53749,91.62954,1720.68289,423.62791
2011年,359.15041,1074.63847,102.93233,,75.61873,1037.57803,90.80572,211.49171,65.92476,21689.44816,33.11975,1.62583,21.34862,4.95392,7.74953,785.14482,142.39484,13.83822,25.91536,865.31519,166.04436,1528.75068,170.30868,6117.54955,182.00862,0.94476,1783.71195,3362.7404,75.79287,11.46831,382.33542,359.81869,170.23893,142.29251,361.62507,76.07308,45.98743,113.90084,1194.92535,523.38442
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
