,专用设备制造业国有控股工业企业集体资本金,交通运输设备制造业国有控股工业企业集体资本金,仪器仪表及文化、办公用机械制造业国有控股工业企业集体资本金,其他采矿业国有控股工业企业集体资本金,农副食品加工业国有控股工业企业集体资本金,化学原料及化学制品制造业国有控股工业企业集体资本金,化学纤维制造业国有控股工业企业集体资本金,医药制造业国有控股工业企业集体资本金,印刷业和记录媒介的复制国有控股工业企业集体资本金,国有控股工业企业集体资本金,塑料制品业国有控股工业企业集体资本金,家具制造业国有控股工业企业集体资本金,工艺品及其他制造业国有控股工业企业集体资本金,废弃资源和废旧材料回收加工业国有控股工业企业集体资本金,文教体育用品制造业国有控股工业企业集体资本金,有色金属冶炼及压延加工业国有控股工业企业集体资本金,有色金属矿采选业国有控股工业企业集体资本金,木材加工及木、竹、藤、棕、草制品业国有控股工业企业集体资本金,橡胶制品业国有控股工业企业集体资本金,水的生产和供应业国有控股工业企业集体资本金,烟草制品业国有控股工业企业集体资本金,煤炭开采和洗选业国有控股工业企业集体资本金,燃气生产和供应业国有控股工业企业集体资本金,电力、热力的生产和供应业国有控股工业企业集体资本金,电气机械及器材制造业国有控股工业企业集体资本金,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业集体资本金,石油加工、炼焦及核燃料加工业国有控股工业企业集体资本金,石油和天然气开采业国有控股工业企业集体资本金,纺织业国有控股工业企业集体资本金,纺织服装、鞋、帽制造业国有控股工业企业集体资本金,通信设备、计算机及其他电子设备制造国有控股工业企业集体资本金,通用设备制造业国有控股工业企业集体资本金,造纸及纸制品业国有控股工业企业集体资本金,金属制品业国有控股工业企业集体资本金,非金属矿物制品业国有控股工业企业集体资本金,非金属矿采选业国有控股工业企业集体资本金,食品制造业国有控股工业企业集体资本金,饮料制造业国有控股工业企业集体资本金,黑色金属冶炼及压延加工业国有控股工业企业集体资本金,黑色金属矿采选业国有控股工业企业集体资本金
2003年,2.72213,11.45354,1.25194,,13.47584,15.49208,0.06246,5.13044,1.98466,219.55777,2.75835,0.28549,0.75543,0.08524,0.48068,3.2535,0.81332,0.73345,0.86434,4.10882,0.17996,15.67889,0.29265,76.2704,3.95095,0.49558,3.31708,2.37125,9.14662,1.57621,6.89057,10.76796,1.5279,3.1184,9.14985,0.74025,2.29387,1.91558,3.90852,0.25357
2004年,5.47452,9.36135,1.45987,,3.82737,8.81855,2.3414,12.96019,2.37351,164.71788,2.48969,0.44166,1.38593,0.0468,0.47603,3.16743,1.08741,0.68545,0.62832,1.51339,0.30049,10.0417,2.32299,26.26198,7.38918,0.10575,0.66999,2.47617,4.37152,1.51233,7.56392,10.18109,3.98848,2.72827,10.89464,0.8615,1.51438,1.83921,10.77887,0.37655
2005年,4.46921,7.76329,0.60415,,3.69574,12.84826,0.6493,3.71929,1.35732,136.90441,6.79842,0.21225,4.11652,0.0618,0.45395,6.64434,1.40164,0.17984,0.45765,1.31287,0.0545,17.01846,1.01841,14.18056,4.71359,0.20318,2.96483,4.66106,4.64212,1.54167,2.90522,5.87641,4.0767,1.982,7.93494,0.35568,1.84824,2.42586,1.53067,0.22447
2006年,2.95,7.21,0.86,0.0,0.77,11.16,0.16,2.14,1.04,100.01,1.19,0.17,0.21,0.05,0.48,1.4,0.49,0.31,0.25,2.22,0.0,14.66,0.98,10.01,2.99,0.14,4.3,5.54,4.28,0.27,4.16,3.78,0.45,1.44,4.02,0.07,0.84,6.98,1.85,0.17
2007年,3.32435,22.68043,2.11196,,1.76735,7.94191,0.15751,5.35749,1.85877,191.19572,1.39997,0.18047,0.1307,0.10204,0.46296,25.36968,0.86188,0.60822,0.40923,8.72823,2.23793,29.93272,0.25532,18.40383,5.32764,0.0664,7.61317,6.47629,2.12848,0.40533,1.43421,9.76209,0.9979,1.95085,6.79877,0.56792,1.89194,8.38803,1.71742,1.38633
2008年,3.54066,6.39156,0.86308,,0.88377,9.78709,0.48373,4.92806,3.00459,182.40731,2.09969,0.02889,0.17784,0.22589,0.41996,2.70214,3.15323,0.73804,1.82753,1.18068,,39.27379,1.08028,44.96453,11.85013,0.5816,2.47132,,5.09945,0.22925,2.18328,10.8868,1.34557,2.00251,5.27266,1.30095,1.3174,2.80089,5.02345,2.28702
2009年,4.82042,9.71226,0.99066,,1.97506,11.19341,1.1687,4.294,1.95261,233.36963,1.75172,0.02992,0.58045,2.68292,0.42576,1.53611,1.12525,1.10617,0.2696,9.16898,,36.68609,9.40317,58.4504,3.12894,0.05359,0.37794,2.15941,5.0616,0.30581,6.24063,16.91108,18.65307,2.48032,7.46495,1.09079,2.0433,3.39163,4.34243,0.34048
2010年,17.26568,14.67392,0.66771,,2.05795,16.2348,0.395,5.34959,1.09664,297.56233,1.81701,,0.48299,0.70254,,17.11399,8.88724,1.08497,0.3075,2.77638,,31.44258,0.81201,88.69879,3.97021,,0.1471,1.5245,4.26584,0.39462,8.29317,10.09139,4.11955,4.09972,12.73316,0.30292,2.70199,13.85336,19.16751,0.03
2011年,17.56403,7.73941,0.46725,,4.81785,16.83625,0.395,4.03667,0.11147,520.40944,1.60969,,0.09436,1.09839,0.27506,10.4705,4.9211,1.66663,0.6266,4.89587,2.12453,71.4814,0.37563,93.84413,4.45451,0.02948,1.33009,1e-05,1.97217,0.03051,5.3441,8.9798,4.60548,5.61255,10.23994,0.32504,1.87633,16.08781,212.22389,1.84591
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
