,专用设备制造业国有控股工业企业主营业务成本,交通运输设备制造业国有控股工业企业主营业务成本,仪器仪表及文化、办公用机械制造业国有控股工业企业主营业务成本,其他采矿业国有控股工业企业主营业务成本,农副食品加工业国有控股工业企业主营业务成本,化学原料及化学制品制造业国有控股工业企业主营业务成本,化学纤维制造业国有控股工业企业主营业务成本,医药制造业国有控股工业企业主营业务成本,印刷业和记录媒介的复制国有控股工业企业主营业务成本,国有控股工业企业主营业务成本,塑料制品业国有控股工业企业主营业务成本,家具制造业国有控股工业企业主营业务成本,工艺品及其他制造业国有控股工业企业主营业务成本,废弃资源和废旧材料回收加工业国有控股工业企业主营业务成本,文教体育用品制造业国有控股工业企业主营业务成本,有色金属冶炼及压延加工业国有控股工业企业主营业务成本,有色金属矿采选业国有控股工业企业主营业务成本,木材加工及木、竹、藤、棕、草制品业国有控股工业企业主营业务成本,橡胶制品业国有控股工业企业主营业务成本,水的生产和供应业国有控股工业企业主营业务成本,烟草制品业国有控股工业企业主营业务成本,煤炭开采和洗选业国有控股工业企业主营业务成本,燃气生产和供应业国有控股工业企业主营业务成本,电力、热力的生产和供应业国有控股工业企业主营业务成本,电气机械及器材制造业国有控股工业企业主营业务成本,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业主营业务成本,石油加工、炼焦及核燃料加工业国有控股工业企业主营业务成本,石油和天然气开采业国有控股工业企业主营业务成本,纺织业国有控股工业企业主营业务成本,纺织服装、鞋、帽制造业国有控股工业企业主营业务成本,通信设备、计算机及其他电子设备制造国有控股工业企业主营业务成本,通用设备制造业国有控股工业企业主营业务成本,造纸及纸制品业国有控股工业企业主营业务成本,金属制品业国有控股工业企业主营业务成本,非金属矿物制品业国有控股工业企业主营业务成本,非金属矿采选业国有控股工业企业主营业务成本,食品制造业国有控股工业企业主营业务成本,饮料制造业国有控股工业企业主营业务成本,黑色金属冶炼及压延加工业国有控股工业企业主营业务成本,黑色金属矿采选业国有控股工业企业主营业务成本
2003年,1195.39879,5669.49585,139.83268,9.80403,950.42357,3062.90836,330.64244,720.30156,197.65688,45987.63,190.78331,21.65244,57.68823,0.69502,28.22903,1237.74888,164.58704,96.03415,254.45058,261.19927,840.60168,1311.70407,263.92066,8669.09013,774.6088,33.05324,4861.89645,1614.53973,1121.58922,95.58759,2818.27295,1365.61919,417.61968,300.95541,816.12,99.41614,304.00144,523.3266,5078.88579,87.29262
2004年,1260.04516,6360.07437,199.55312,0.18807,924.06555,3560.62876,436.63188,597.92215,220.42756,57187.96,289.98921,49.57212,113.33006,7.626,33.12896,1818.38278,232.08849,111.04443,261.30752,305.93775,916.40222,2057.12058,320.32132,12220.18139,964.72962,23.69533,6274.32916,2082.4479,856.41565,87.18343,2880.06638,1648.98797,409.42404,364.5308,919.14899,105.7055,264.6461,373.88913,7494.41666,142.37818
2005年,1520.52997,6903.93469,209.99218,2.02195,1049.62109,4295.58247,523.66809,747.98553,220.28525,69302.41,258.67706,47.12311,98.06305,8.53042,25.16481,2315.20534,296.80116,144.14702,347.53715,329.35534,1017.35711,2748.6277,366.01239,14771.3451,1220.77926,19.40499,9353.78426,2404.61037,835.39324,89.66365,3095.90251,1944.65224,492.22691,416.89425,992.36189,92.1915,379.39589,550.89909,9028.12318,138.55641
2006年,1732.65,8692.95,237.03,0.05,1048.53,5271.56,608.81,697.85,225.41,81957.8,259.99,60.58,145.43,28.51,30.24,3640.89,466.17,152.97,369.77,370.72,1092.68,3531.17,470.31,17719.55,1562.72,22.23,11124.54,3200.31,841.82,82.66,2212.13,2361.05,494.62,540.16,1123.97,143.59,470.83,594.83,10147.66,180.85
2007年,2194.46119,11138.95167,276.83156,0.03852,1255.87954,6009.82647,664.52595,812.96603,257.69471,98515.08,255.87209,59.83888,197.54278,56.53044,27.79264,5071.42915,519.36937,109.61691,455.63772,394.08126,1210.57867,4258.3107,514.21631,20825.10889,1774.77064,19.74737,12746.75318,3949.79481,781.91282,107.12794,2237.38625,2851.61927,398.57863,735.69184,1322.89057,142.6455,452.35881,708.08958,13486.12797,232.48394
2008年,3026.13061,12691.32785,380.79701,0.02973,1187.64752,7093.58711,456.26641,828.84056,281.13707,122504.18,345.78202,56.0926,228.53181,131.9925,35.91874,5807.29048,605.4254,123.33993,541.37794,467.19341,1296.49056,6168.53405,713.69763,25656.09932,2084.22924,38.49525,16849.37764,4833.81874,624.57327,101.36438,3055.11228,3295.39149,566.73771,877.16913,1829.10545,175.94507,556.8302,816.63798,18255.71459,420.14347
2009年,3510.05015,16054.99501,392.17719,0.04359,1404.12291,6593.84925,372.87264,837.41664,292.04517,124590.48,297.61933,69.96226,271.17945,219.25452,25.45354,5843.39566,641.03255,128.37507,525.92619,505.30626,1467.62218,7850.59448,750.41737,28405.99552,2268.61049,21.52945,11668.69707,4545.25646,556.19695,119.81231,3262.03742,3574.7821,542.70896,843.4453,1893.01852,190.50513,517.9093,949.60543,16789.62038,387.04239
2010年,4063.47949,21617.32662,499.13292,0.41311,1859.7138,8150.15374,452.10958,1171.55709,335.3905,158727.43,314.50549,106.40943,392.24859,154.26092,27.57429,8318.01514,867.13622,140.85905,743.94369,609.80541,1711.94845,9902.79093,968.24442,34117.98372,3113.48098,25.98494,16913.88148,5422.11679,655.55317,154.7033,3775.60655,3814.81369,725.02331,992.79064,2529.16701,243.53343,677.87385,1017.04099,21200.60545,940.24935
2011年,4451.10643,23552.73042,599.95797,,2234.878,10004.72475,531.19237,1397.72567,341.32949,187783.79,384.971,73.50893,589.44719,145.72324,29.41119,10611.25136,1004.55953,166.50838,889.13903,623.50691,1823.82482,13015.16972,1260.62223,40425.24781,3746.32139,30.12084,22214.91827,5473.35984,783.25854,171.59656,4446.30411,4226.96575,708.85976,1179.86335,3211.19146,319.30143,690.8388,1336.6058,23729.41145,1358.34096
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
