,事务所资质其他收入,公路工程其他收入,农林工程其他收入,冶炼工程其他收入,化工、石油工程其他收入,市政公用工程其他收入,建设工程监理其他收入,房屋建筑工程其他收入,机电安装工程其他收入,水利水电工程其他收入,港口与航道工程其他收入,电力工程其他收入,矿山工程其他收入,综合资质其他收入,航天航空工程其他收入,通信工程其他收入,铁路工程其他收入
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,3561.19,363.2,373.66,15592.89,19939.29,519614.31,338784.99,0.0,51508.06,116.24,86700.84,1235.04,0.0,1120.75,20.0,298.16
2006年,0.0,9147.21,373.25,547.39,224447.11,16834.25,915939.01,509859.06,0.0,59102.64,225.08,92696.56,2189.36,0.0,245.6,10.0,261.5
2007年,0.0,685.0,542.8,280.46,344871.0,19650.74,1908239.29,921118.34,0.0,526936.32,278.67,90670.51,2352.04,0.0,245.6,72.8,522.92
2008年,0.0,515.0,166.0,330145.0,82618.0,30724.0,1883996.0,1075040.0,43060.0,152759.0,323.0,143589.0,10678.0,9565.0,0.0,192.0,4624.0
2009年,0.0,771.34,2.71,455421.3,608627.14,28856.62,2483345.9,942977.07,74076.79,165970.09,108.78,159645.48,17436.48,21066.01,160.64,86.2,8139.2
2010年,10.0,1793.0,1629.0,392001.0,1288283.0,118122.0,4861421.0,915131.0,87761.0,110735.0,317.0,1873542.0,30965.0,22562.0,134.0,9860.0,8575.0
2011年,1255.53,1497.52,2192.15,507589.78,1372851.8,125112.43,5813686.24,1137657.55,140918.03,316005.21,239.25,2073538.2,64236.1,33660.24,0.0,8097.6,28834.85
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
