,中国对中非承包工程年末在外劳务人员,中国对乌干达承包工程年末在外劳务人员,中国对乍得承包工程年末在外劳务人员,中国对佛得角承包工程年末在外劳务人员,中国对冈比亚承包工程年末在外劳务人员,中国对几内亚(比绍)承包工程年末在外劳务人员,中国对几内亚承包工程年末在外劳务人员,中国对刚果(布)承包工程年末在外劳务人员,中国对刚果(金)承包工程年末在外劳务人员,中国对利比亚承包工程年末在外劳务人员,中国对利比里亚承包工程年末在外劳务人员,中国对加纳承包工程年末在外劳务人员,中国对加蓬承包工程年末在外劳务人员,中国对南苏丹承包工程年末在外劳务人员,中国对南非承包工程年末在外劳务人员,中国对博茨瓦纳承包工程年末在外劳务人员,中国对卢旺达承包工程年末在外劳务人员,中国对厄立特里亚承包工程年末在外劳务人员,中国对吉布提承包工程年末在外劳务人员,中国对喀麦隆承包工程年末在外劳务人员,中国对圣多美和普林西比承包工程年末在外劳务人员,中国对坦桑尼亚承包工程年末在外劳务人员,中国对埃及承包工程年末在外劳务人员,中国对埃塞俄比亚承包工程年末在外劳务人员,中国对塞内加尔承包工程年末在外劳务人员,中国对塞拉利昂承包工程年末在外劳务人员,中国对塞舌尔承包工程年末在外劳务人员,中国对多哥承包工程年末在外劳务人员,中国对安哥拉承包工程年末在外劳务人员,中国对尼日利亚承包工程年末在外劳务人员,中国对尼日尔承包工程年末在外劳务人员,中国对布基纳法索承包工程年末在外劳务人员,中国对布隆迪承包工程年末在外劳务人员,中国对摩洛哥承包工程年末在外劳务人员,中国对斯威士兰承包工程年末在外劳务人员,中国对毛里塔尼亚承包工程年末在外劳务人员,中国对毛里求斯承包工程年末在外劳务人员,中国对津巴布韦承包工程年末在外劳务人员,中国对科摩罗承包工程年末在外劳务人员,中国对科特迪瓦承包工程年末在外劳务人员,中国对突尼斯承包工程年末在外劳务人员,中国对索马里承包工程年末在外劳务人员,中国对纳米比亚承包工程年末在外劳务人员,中国对肯尼亚承包工程年末在外劳务人员,中国对苏丹承包工程年末在外劳务人员,中国对莫桑比克承包工程年末在外劳务人员,中国对莱索托承包工程年末在外劳务人员,中国对贝宁承包工程年末在外劳务人员,中国对赞比亚承包工程年末在外劳务人员,中国对赤道几内亚承包工程年末在外劳务人员,中国对阿尔及利亚承包工程年末在外劳务人员,中国对非洲承包工程年末在外劳务人员,中国对马拉维承包工程年末在外劳务人员,中国对马达加斯加承包工程年末在外劳务人员,中国对马里承包工程年末在外劳务人员
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,293,1487,2521,339,22,455,576,3467,3033,1,195,2287,1531,148,1076,3129,426,210,211,1036,17,4141,1015,5463,1726,428,387,288,33159,6747,2716,3,236,1437,0,1424,1790,1009,164,146,159,0,323,2257,15119,1068,141,326,3894,9779,31858,152038,571,446,1358
2012年,238,893,2772,389,24,392,1094,4838,3022,40,686,2683,2174,0,2106,2097,339,160,103,2186,10,4398,1041,6299,1433,489,349,466,31905,5771,663,1,181,1490,0,1617,2320,661,205,325,222,0,471,2617,11995,1696,338,560,6318,10885,31476,154542,500,338,861
2013年,27,1211,2914,382,32,286,1991,8637,3313,436,568,2785,2509,313,1447,2071,758,330,174,2302,6,5179,993,7325,1436,625,262,1080,37847,6239,1169,97,183,888,0,1110,1480,598,215,673,646,0,653,2630,9439,3602,582,827,4582,10812,33842,168586,346,135,599
2014年,665,2506,3060,459,53,592,2126,12288,4522,77,462,2377,1251,596,3354,1427,1143,394,154,3532,6,4924,185,13325,1803,721,199,926,38427,7044,1748,36,482,1042,0,1115,1161,651,226,541,319,0,1370,4816,8029,2688,442,482,5576,10885,46266,197853,331,189,845
