,中国对不丹承包工程年末在外劳务人员,中国对东帝汶承包工程年末在外劳务人员,中国对中国台湾承包工程年末在外劳务人员,中国对中国澳门承包工程年末在外劳务人员,中国对中国香港承包工程年末在外劳务人员,中国对乌兹别克斯坦承包工程年末在外劳务人员,中国对也门共和国承包工程年末在外劳务人员,中国对亚洲其他国家承包工程年末在外劳务人员,中国对亚洲承包工程年末在外劳务人员,中国对以色列承包工程年末在外劳务人员,中国对伊拉克承包工程年末在外劳务人员,中国对伊朗承包工程年末在外劳务人员,中国对卡塔尔承包工程年末在外劳务人员,中国对印度尼西亚承包工程年末在外劳务人员,中国对印度承包工程年末在外劳务人员,中国对叙利亚承包工程年末在外劳务人员,中国对吉尔吉斯斯坦承包工程年末在外劳务人员,中国对哈萨克斯坦承包工程年末在外劳务人员,中国对土库曼斯坦承包工程年末在外劳务人员,中国对土耳其承包工程年末在外劳务人员,中国对塔吉克斯坦承包工程年末在外劳务人员,中国对塞浦路斯承包工程年末在外劳务人员,中国对孟加拉国承包工程年末在外劳务人员,中国对尼泊尔承包工程年末在外劳务人员,中国对巴基斯坦承包工程年末在外劳务人员,中国对巴林承包工程年末在外劳务人员,中国对文莱承包工程年末在外劳务人员,中国对斯里兰卡承包工程年末在外劳务人员,中国对新加坡承包工程年末在外劳务人员,中国对日本承包工程年末在外劳务人员,中国对朝鲜承包工程年末在外劳务人员,中国对柬埔寨承包工程年末在外劳务人员,中国对沙特阿拉伯承包工程年末在外劳务人员,中国对泰国承包工程年末在外劳务人员,中国对科威特承包工程年末在外劳务人员,中国对约旦承包工程年末在外劳务人员,中国对缅甸承包工程年末在外劳务人员,中国对老挝承包工程年末在外劳务人员,中国对菲律宾承包工程年末在外劳务人员,中国对蒙古承包工程年末在外劳务人员,中国对越南承包工程年末在外劳务人员,中国对阿富汗承包工程年末在外劳务人员,中国对阿曼承包工程年末在外劳务人员,中国对阿联酋承包工程年末在外劳务人员,中国对韩国承包工程年末在外劳务人员,中国对马尔代夫承包工程年末在外劳务人员,中国对马来西亚承包工程年末在外劳务人员,中国对黎巴嫩承包工程年末在外劳务人员
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,0,511,7,440,2054,976,738,0,150496,90,4310,2537,5097,6677,4363,329,582,2511,1526,1481,1413,59,1885,878,4395,21,233,3624,12666,104,148,5082,24363,418,3061,408,16012,7011,832,7727,9358,521,805,9621,130,272,5220,0
2012年,0,402,27,741,2125,1060,525,0,156276,185,9683,2203,4805,6866,3709,131,2466,2900,821,1944,2070,15,1900,940,5411,11,291,4390,8756,119,259,5037,28382,1769,3077,173,13374,8715,1065,3821,7310,367,701,7324,146,227,6232,2
2013年,0,139,27,980,646,2469,318,2645,166523,213,15223,1719,2578,9816,2828,0,2440,5803,554,4528,2306,0,2197,1162,5586,8,209,5840,7109,75,312,5410,27756,1735,3490,78,8701,10912,829,4297,9542,47,833,6954,17,170,8017,5
2014年,0,167,15,1394,690,2164,503,3436,165571,106,11586,1371,2404,15468,1873,0,2841,8960,1019,3495,1262,0,3799,1883,7481,7,124,3043,7615,65,666,4763,22960,3021,2833,80,4025,13664,1498,3791,9132,31,495,5461,60,185,10130,5
