,中国对乌拉圭承包工程年末在外劳务人员,中国对伯利兹承包工程年末在外劳务人员,中国对危地马拉承包工程年末在外劳务人员,中国对厄瓜多尔承包工程年末在外劳务人员,中国对古巴承包工程年末在外劳务人员,中国对哥伦比亚承包工程年末在外劳务人员,中国对哥斯达黎加承包工程年末在外劳务人员,中国对圣卢西亚承包工程年末在外劳务人员,中国对圣文森特和格林纳丁斯承包工程年末在外劳务人员,中国对圭亚那承包工程年末在外劳务人员,中国对墨西哥承包工程年末在外劳务人员,中国对多米尼克承包工程年末在外劳务人员,中国对多米尼加共和国承包工程年末在外劳务人员,中国对委内瑞拉承包工程年末在外劳务人员,中国对安提瓜和巴布达承包工程年末在外劳务人员,中国对尼加拉瓜承包工程年末在外劳务人员,中国对巴哈马承包工程年末在外劳务人员,中国对巴巴多斯承包工程年末在外劳务人员,中国对巴拉圭承包工程年末在外劳务人员,中国对巴拿马承包工程年末在外劳务人员,中国对巴西承包工程年末在外劳务人员,中国对拉丁美洲承包工程年末在外劳务人员,中国对智利承包工程年末在外劳务人员,中国对格林纳达承包工程年末在外劳务人员,中国对洪都拉斯承包工程年末在外劳务人员,中国对海地承包工程年末在外劳务人员,中国对牙买加承包工程年末在外劳务人员,中国对特克斯和凯科斯岛承包工程年末在外劳务人员,中国对特立尼达和多巴哥承包工程年末在外劳务人员,中国对玻利维亚承包工程年末在外劳务人员,中国对秘鲁承包工程年末在外劳务人员,中国对苏里南承包工程年末在外劳务人员,中国对英属维尔京群岛承包工程年末在外劳务人员,中国对阿根廷承包工程年末在外劳务人员
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,3,2,51,653,349,201,145,7,0,126,155,175,0,2839,66,0,11,48,0,0,500,8908,11,92,94,28,131,0,1332,0,572,582,0,735
2012年,3,0,51,3056,352,281,201,0,0,248,230,143,0,4583,231,0,10,24,0,2,657,18177,11,14,102,0,216,0,791,30,3493,497,0,2911
2013年,18,0,150,4769,217,227,112,7,7,293,205,64,0,6570,159,26,280,14,0,14,328,19735,53,15,63,2,278,0,911,61,3158,358,0,1371
2014年,3,0,101,7150,246,336,144,7,0,393,271,85,0,7236,653,68,511,11,0,25,324,26564,36,152,0,2,543,0,1851,277,4605,327,0,1207
