,中国对丹麦承包工程年末在外劳务人员,中国对乌克兰承包工程年末在外劳务人员,中国对亚美尼亚承包工程年末在外劳务人员,中国对俄罗斯承包工程年末在外劳务人员,中国对保加利亚承包工程年末在外劳务人员,中国对冰岛承包工程年末在外劳务人员,中国对匈牙利承包工程年末在外劳务人员,中国对塞尔维亚承包工程年末在外劳务人员,中国对奥地利承包工程年末在外劳务人员,中国对希腊承包工程年末在外劳务人员,中国对德国承包工程年末在外劳务人员,中国对意大利承包工程年末在外劳务人员,中国对挪威承包工程年末在外劳务人员,中国对捷克承包工程年末在外劳务人员,中国对摩尔多瓦承包工程年末在外劳务人员,中国对摩纳哥承包工程年末在外劳务人员,中国对斯洛伐克承包工程年末在外劳务人员,中国对斯洛文尼亚承包工程年末在外劳务人员,中国对格鲁吉亚承包工程年末在外劳务人员,中国对欧洲承包工程年末在外劳务人员,中国对比利时承包工程年末在外劳务人员,中国对法国承包工程年末在外劳务人员,中国对波兰承包工程年末在外劳务人员,中国对波斯尼亚-黑塞哥维那承包工程年末在外劳务人员,中国对爱尔兰承包工程年末在外劳务人员,中国对爱沙尼亚承包工程年末在外劳务人员,中国对瑞典承包工程年末在外劳务人员,中国对瑞士承包工程年末在外劳务人员,中国对白俄罗斯承包工程年末在外劳务人员,中国对立陶宛承包工程年末在外劳务人员,中国对罗马尼亚承包工程年末在外劳务人员,中国对芬兰承包工程年末在外劳务人员,中国对英国承包工程年末在外劳务人员,中国对荷兰承包工程年末在外劳务人员,中国对葡萄牙承包工程年末在外劳务人员,中国对西班牙承包工程年末在外劳务人员,中国对阿塞拜缰承包工程年末在外劳务人员,中国对阿尔巴尼亚承包工程年末在外劳务人员,中国对马其顿共和国承包工程年末在外劳务人员,中国对马耳他承包工程年末在外劳务人员
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,99.0,124.0,3233.0,37.0,,27.0,122.0,44.0,,337.0,17.0,,,1.0,,,,752.0,7606.0,37.0,254.0,32.0,32.0,,,137.0,126.0,464.0,3.0,40.0,18.0,79.0,1.0,,1048.0,538.0,4.0,,
2012年,,99.0,36.0,4088.0,40.0,2.0,17.0,275.0,56.0,2.0,367.0,37.0,,,5.0,,,,1220.0,10202.0,41.0,261.0,30.0,,,,157.0,146.0,1718.0,,93.0,18.0,85.0,1.0,,1048.0,305.0,5.0,,13.0
2013年,,29.0,,5518.0,133.0,,,311.0,,27.0,30.0,31.0,1.0,,6.0,,,,572.0,10280.0,31.0,22.0,87.0,163.0,41.0,,,23.0,1579.0,,49.0,,25.0,1.0,,1026.0,538.0,5.0,,32.0
2014年,,29.0,,7858.0,214.0,,,567.0,,22.0,17.0,28.0,1.0,,,,,,717.0,13713.0,40.0,26.0,97.0,578.0,,,4.0,,1743.0,,67.0,,28.0,1.0,,1022.0,366.0,12.0,248.0,10.0
