,专业技术服务业固定资产投资(不含农户)项目建成投产率,专用设备制造业固定资产投资(不含农户)项目建成投产率,中国共产党机关固定资产投资(不含农户)项目建成投产率,交通运输、仓储和邮政业固定资产投资(不含农户)项目建成投产率,交通运输设备制造业固定资产投资(不含农户)项目建成投产率,人民政协和民主党派固定资产投资(不含农户)项目建成投产率,仓储业固定资产投资(不含农户)项目建成投产率,仪器仪表文化办公用机械制造业固定资产投资(不含农户)项目建成投产率,住宿业固定资产投资(不含农户)项目建成投产率,住宿和餐饮业固定资产投资(不含农户)项目建成投产率,体育固定资产投资(不含农户)项目建成投产率,保险业固定资产投资(不含农户)项目建成投产率,信息传输、计算机服务和软件业固定资产投资(不含农户)项目建成投产率,公共管理和社会组织固定资产投资(不含农户)项目建成投产率,公共设施管理业固定资产投资(不含农户)项目建成投产率,其他建筑业固定资产投资(不含农户)项目建成投产率,其他服务业固定资产投资(不含农户)项目建成投产率,其他采矿业固定资产投资(不含农户)项目建成投产率,其他金融活动固定资产投资(不含农户)项目建成投产率,农、林、牧、渔业固定资产投资(不含农户)项目建成投产率,农、林、牧、渔服务业固定资产投资(不含农户)项目建成投产率,农业固定资产投资(不含农户)项目建成投产率,农副食品加工业固定资产投资(不含农户)项目建成投产率,制造业固定资产投资(不含农户)项目建成投产率,化学原料及化学制品制造业固定资产投资(不含农户)项目建成投产率,化学纤维制造业固定资产投资(不含农户)项目建成投产率,医药制造业固定资产投资(不含农户)项目建成投产率,卫生、社会保障和社会福利业固定资产投资(不含农户)项目建成投产率,卫生固定资产投资(不含农户)项目建成投产率,印刷业和记录媒介的复制固定资产投资(不含农户)项目建成投产率,商务服务业固定资产投资(不含农户)项目建成投产率,固定资产投资(不含农户)项目建成投产率,国家机构固定资产投资(不含农户)项目建成投产率,国际组织固定资产投资(不含农户)项目建成投产率,地质勘查业固定资产投资(不含农户)项目建成投产率,城市公共交通业固定资产投资(不含农户)项目建成投产率,基层群众自治组织固定资产投资(不含农户)项目建成投产率,塑料制品业固定资产投资(不含农户)项目建成投产率,娱乐业固定资产投资(不含农户)项目建成投产率,家具制造业固定资产投资(不含农户)项目建成投产率,居民服务业固定资产投资(不含农户)项目建成投产率,居民服务和其他服务业固定资产投资(不含农户)项目建成投产率,工艺品及其他制造业固定资产投资(不含农户)项目建成投产率,广播、电视、电影和音像业固定资产投资(不含农户)项目建成投产率,废弃资源和废旧材料回收加工业固定资产投资(不含农户)项目建成投产率,建筑业固定资产投资(不含农户)项目建成投产率,建筑安装业固定资产投资(不含农户)项目建成投产率,建筑装饰业固定资产投资(不含农户)项目建成投产率,房地产业固定资产投资(不含农户)项目建成投产率,房屋和土木工程建筑业固定资产投资(不含农户)项目建成投产率,批发业固定资产投资(不含农户)项目建成投产率,批发和零售业固定资产投资(不含农户)项目建成投产率,教育固定资产投资(不含农户)项目建成投产率,文化、体育和娱乐业固定资产投资(不含农户)项目建成投产率,文化艺术业固定资产投资(不含农户)项目建成投产率,文教体育用品制造业固定资产投资(不含农户)项目建成投产率,新闻出版业固定资产投资(不含农户)项目建成投产率,有色金属冶炼及压延加工业固定资产投资(不含农户)项目建成投产率,有色金属矿采选业固定资产投资(不含农户)项目建成投产率,木材加工及木竹藤棕草制品业固定资产投资(不含农户)项目建成投产率,林业固定资产投资(不含农户)项目建成投产率,橡胶制品业固定资产投资(不含农户)项目建成投产率,水上运输业固定资产投资(不含农户)项目建成投产率,水利、环境和公共设施管理业固定资产投资(不含农户)项目建成投产率,水利管理业固定资产投资(不含农户)项目建成投产率,水的生产和供应业固定资产投资(不含农户)项目建成投产率,渔业固定资产投资(不含农户)项目建成投产率,烟草制品业固定资产投资(不含农户)项目建成投产率,煤炭开采和洗选业固定资产投资(不含农户)项目建成投产率,燃气生产和供应业固定资产投资(不含农户)项目建成投产率,环境管理业固定资产投资(不含农户)项目建成投产率,电信和其他信息传输服务业固定资产投资(不含农户)项目建成投产率,电力、热力的生产和供应业固定资产投资(不含农户)项目建成投产率,电力、燃气及水的生产和供应业固定资产投资(不含农户)项目建成投产率,电气机械及器材制造业固定资产投资(不含农户)项目建成投产率,畜牧业固定资产投资(不含农户)项目建成投产率,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)项目建成投产率,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)项目建成投产率,石油和天然气开采业固定资产投资(不含农户)项目建成投产率,研究与试验发展固定资产投资(不含农户)项目建成投产率,社会保障业固定资产投资(不含农户)项目建成投产率,社会福利业固定资产投资(不含农户)项目建成投产率,科学研究、技术服务和地质勘查业固定资产投资(不含农户)项目建成投产率,科技交流和推广服务业固定资产投资(不含农户)项目建成投产率,租赁业固定资产投资(不含农户)项目建成投产率,租赁和商务服务业固定资产投资(不含农户)项目建成投产率,管道运输业固定资产投资(不含农户)项目建成投产率,纺织业固定资产投资(不含农户)项目建成投产率,纺织服装、鞋、帽制造业固定资产投资(不含农户)项目建成投产率,群众团体、社会团体和宗教组织固定资产投资(不含农户)项目建成投产率,航空运输业固定资产投资(不含农户)项目建成投产率,装卸搬运和其他运输服务业固定资产投资(不含农户)项目建成投产率,计算机服务业固定资产投资(不含农户)项目建成投产率,证券业固定资产投资(不含农户)项目建成投产率,软件业固定资产投资(不含农户)项目建成投产率,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)项目建成投产率,通用设备制造业固定资产投资(不含农户)项目建成投产率,造纸及纸制品业固定资产投资(不含农户)项目建成投产率,道路运输业固定资产投资(不含农户)项目建成投产率,邮政业固定资产投资(不含农户)项目建成投产率,采矿业固定资产投资(不含农户)项目建成投产率,金属制品业固定资产投资(不含农户)项目建成投产率,金融业固定资产投资(不含农户)项目建成投产率,铁路运输业固定资产投资(不含农户)项目建成投产率,银行业固定资产投资(不含农户)项目建成投产率,零售业固定资产投资(不含农户)项目建成投产率,非金属矿物制品业固定资产投资(不含农户)项目建成投产率,非金属矿采选业固定资产投资(不含农户)项目建成投产率,食品制造业固定资产投资(不含农户)项目建成投产率,餐饮业固定资产投资(不含农户)项目建成投产率,饮料制造业固定资产投资(不含农户)项目建成投产率,黑色金属冶炼及压延加工业固定资产投资(不含农户)项目建成投产率,黑色金属矿采选业固定资产投资(不含农户)项目建成投产率
2003年,42.3,47.0,47.1,53.8,42.6,58.9,55.9,38.7,50.6,58.4,37.8,66.7,69.6,54.5,48.0,37.9,53.3,42.9,48.7,63.9,66.6,62.6,58.8,50.6,55.1,48.9,38.4,53.0,52.1,54.2,44.4,53.7140466993,54.3,50.0,54.0,44.2,58.6,52.8,47.2,48.3,59.3,57.9,37.8,53.1,36.5,54.1,54.5,50.4,45.2,54.8,58.3,59.7,62.1,46.0,43.5,41.9,48.2,51.5,56.5,62.4,66.4,50.3,39.6,48.0,49.6,42.7,60.5,49.8,57.4,34.3,42.2,70.4,49.9,47.7,42.5,59.4,40.6,53.3,52.6,36.7,71.9,56.6,40.2,37.9,58.5,44.8,21.2,56.1,49.9,55.4,34.1,56.3,35.7,54.5,40.4,36.7,51.2,54.5,54.3,49.8,58.4,48.6,59.3,67.1,58.9,60.8,58.2,66.1,53.4,69.0,55.6,49.6,57.3
2004年,43.6893203883,47.0733973366,52.9605263158,57.2775221636,41.997961264,55.737704918,55.6270096463,36.5102639296,46.6421825813,55.8290888512,38.1778741866,51.4285714286,67.271197532,49.8344370861,45.8429819975,49.0909090909,59.9303135889,67.8571428571,58.5365853659,64.9795623948,66.1417322835,65.1025056948,56.795358179,49.8568326117,52.0795385549,41.0029498525,43.0167597765,51.0355029586,50.5638712323,50.7692307692,42.868157286,52.5181024879,49.6217579251,20.0,49.0196078431,48.9194499018,51.8118735544,51.8939393939,47.6368159204,47.1014492754,59.84375,59.8705501618,51.7458100559,46.7304625199,49.5412844037,50.7364144236,59.0604026846,55.8139534884,49.5114866649,50.2718168813,57.0434298441,58.9903506707,58.3942662709,44.7886414973,44.0433212996,40.5737704918,48.4848484848,50.2637889688,55.4421768707,60.5351170569,67.4827035657,49.7771173848,48.7229862475,46.7383078553,49.6451024133,40.4030054645,61.6788321168,48.9208633094,55.7512580877,41.5294117647,45.1763140386,67.9717341482,47.6138828633,45.8428783183,43.6217948718,60.5651894669,43.5174746336,52.4787535411,55.2631578947,37.1577574967,55.5555555556,55.3376906318,41.3984461709,43.9393939394,66.0377358491,43.7777777778,39.4736842105,49.6399423908,48.7391304348,49.0147783251,36.2445414847,48.3870967742,43.8202247191,,28.6764705882,36.7070895522,51.8482725296,51.5705311251,58.5343990438,54.012345679,57.0046697799,50.1330180313,56.9593147752,62.5535561268,57.7723378213,60.4158173665,55.6790720155,59.688412853,51.1853867081,66.5847665848,52.75,50.7118205349,59.2482690406
2005年,51.51,52.61,32.11,61.33,48.2,45.59,55.71,45.05,51.75,62.69,38.15,68.12,64.07,56.15,49.21,43.51,61.97,36.54,55.36,76.22,83.37,71.42,60.41,54.44,54.97,53.3,45.52,59.5,58.96,56.04,46.22,56.88,56.73,,57.14,43.06,56.83,58.93,61.17,53.83,68.19,66.35,47.38,54.21,56.44,41.56,62.56,68.7,50.03,40.17,69.64,67.01,61.88,51.89,49.06,50.7,43.14,48.79,56.39,63.79,69.67,54.8,34.31,50.36,54.35,46.19,62.19,53.23,58.86,42.43,49.31,64.87,51.27,49.66,50.12,71.12,46.54,53.51,72.42,38.35,74.44,62.28,47.43,53.19,71.82,47.82,56.6,54.95,54.11,56.77,36.62,43.35,56.6,53.85,34.48,43.4,56.91,56.26,62.52,56.94,60.97,55.37,61.49,79.06,61.47,64.84,62.53,65.78,51.23,74.41,57.76,54.39,64.06
2006年,55.17,54.34,49.81,60.1,47.42,51.56,54.72,44.38,55.62,65.44,45.74,70.31,63.24,55.87,49.95,65.2,72.2,48.08,78.18,67.14,68.08,66.58,60.21,55.1,57.14,48.71,44.36,56.06,55.18,56.92,51.72,57.19,54.9,,48.09,46.08,63.38,60.11,59.98,56.21,70.58,71.06,46.12,54.07,53.57,54.45,54.25,66.86,66.94,53.18,63.8,64.62,61.98,53.11,50.97,50.85,40.34,50.56,58.43,64.78,68.9,54.1,34.19,49.9,52.14,44.65,64.33,37.23,59.27,46.66,43.36,63.69,53.05,50.79,48.78,64.47,46.14,56.56,77.12,41.24,57.63,62.42,49.46,56.58,66.13,52.57,50.0,55.5,52.26,58.09,46.49,48.7,68.59,56.25,43.17,41.68,55.66,56.25,62.32,66.18,62.51,54.56,58.57,65.31,55.61,65.2,64.84,67.72,53.94,76.05,55.7,57.28,65.15
2007年,50.89,51.87,59.13,59.11,43.85,55.0,55.48,45.2,56.85,65.98,43.73,71.43,64.05,58.98,48.91,54.66,75.16,62.75,65.33,69.12,70.82,66.31,60.2,54.74,55.59,48.18,45.68,56.55,55.17,56.34,44.66,57.49,59.32,,51.83,43.39,56.91,59.18,62.58,56.04,71.82,72.97,44.39,53.2,62.71,52.74,64.88,76.04,65.3,50.86,64.63,66.32,62.57,53.79,50.63,51.73,48.78,47.62,59.47,65.03,71.02,57.25,34.74,50.09,54.28,48.29,62.92,46.52,62.75,53.34,49.66,64.36,51.98,51.22,48.17,68.1,50.26,51.89,49.03,43.48,56.1,64.42,49.29,55.38,60.53,45.48,50.0,56.45,52.95,57.58,38.24,52.4,79.35,66.67,30.85,40.66,55.44,59.36,61.37,68.99,63.29,55.97,65.52,56.08,64.88,67.61,64.03,67.88,55.18,76.37,58.02,51.5,66.27
2008年,59.38,59.34,71.35,63.23,51.58,59.52,58.11,52.52,60.37,70.59,53.02,69.44,43.55,62.78,53.63,63.21,76.22,56.06,70.33,72.17,72.06,69.23,66.62,61.12,59.44,58.18,50.64,59.99,58.92,61.66,55.82,61.36,62.14,,57.36,51.97,66.09,66.79,63.84,65.08,73.42,74.3,52.97,58.63,59.06,59.98,71.15,77.2,67.79,58.33,70.57,71.25,62.67,57.14,52.95,55.91,43.7,52.11,56.56,71.6,73.0,64.08,47.89,54.45,57.62,51.51,71.07,46.13,64.02,52.3,53.4,43.01,55.39,54.13,55.6,73.83,57.05,47.76,59.82,42.93,52.94,66.21,53.2,56.67,75.54,56.83,45.45,62.44,60.54,63.99,40.66,55.26,69.55,61.9,38.5,49.72,64.03,65.08,65.56,63.97,64.47,63.54,67.44,56.43,67.04,71.76,70.22,70.19,62.0,81.75,60.52,51.06,67.57
2009年,60.63,63.1,65.93,63.7,56.44,60.0,59.78,61.64,63.82,73.24,49.43,80.26,35.39,65.5,56.17,64.12,74.36,65.05,82.8,74.0,73.69,73.32,68.21,64.93,64.69,60.57,55.97,60.66,60.8,67.65,60.06,63.83,64.76,,68.93,47.66,69.27,69.07,67.05,71.93,76.41,75.78,59.82,62.22,64.15,69.48,79.82,95.81,67.97,63.66,73.71,75.46,64.2,59.09,56.11,65.48,34.82,53.34,65.77,74.15,79.07,65.59,49.7,57.17,61.66,58.53,66.72,55.45,65.88,52.7,54.46,33.76,56.6,56.81,58.0,72.63,62.54,52.95,51.99,47.21,64.17,58.91,58.68,65.92,78.13,60.85,58.33,67.46,65.37,66.33,49.31,60.87,84.59,78.95,47.01,53.88,66.68,69.7,66.34,69.47,68.36,66.71,70.67,40.86,68.02,76.77,71.79,74.79,66.9,82.58,64.55,59.86,71.04
2010年,61.48,62.27,65.75,61.89,55.32,77.78,57.43,58.82,60.73,69.07,51.5,65.28,48.78,63.61,54.65,67.78,71.59,68.92,75.0,72.14,76.32,64.65,67.87,63.23,64.0,52.57,54.84,58.81,57.75,66.92,55.25,62.4633310901,64.07,,63.7,47.53,62.38,66.81,66.68,66.68,71.32,71.42,59.69,62.13,57.41,65.59,68.4,82.64,63.46,64.53,69.55,73.33,61.7,58.65,55.06,61.3,43.97,54.15,65.5,75.15,73.19,59.97,54.15,56.37,63.72,59.02,71.82,53.52,61.78,57.68,53.94,48.1,55.52,56.83,56.52,72.52,61.32,56.52,63.03,40.27,52.46,65.73,57.08,65.6,75.56,56.22,50.44,64.17,64.69,57.76,40.96,58.84,76.5,75.38,43.94,49.76,64.53,65.89,64.49,64.68,67.83,64.56,67.96,42.6,66.32,75.74,69.27,76.84,63.65,78.48,63.88,58.52,72.31
2011年,67.1,63.6,63.1,59.2,58.8,50.0,59.2,62.5,58.5,65.4,46.4,51.1,62.9,62.4,57.4,70.1,69.5,77.9,71.8,72.1,73.9,69.4,67.8,65.8,65.0,63.5,56.8,54.0,53.4,69.5,56.8,63.33,60.5,,71.1,46.6,72.2,68.0,61.3,68.7,67.1,67.9,61.0,59.3,67.2,63.2,66.0,77.6,55.4,61.6,68.1,69.1,59.3,56.2,55.5,67.8,33.3,59.1,64.4,74.0,73.9,65.5,42.3,58.6,61.9,58.9,74.4,46.6,59.3,57.8,60.7,66.5,55.4,56.7,60.4,72.3,69.4,54.5,65.2,50.4,46.5,61.2,61.4,61.3,68.8,57.4,59.7,71.5,71.9,59.5,42.2,62.3,62.8,73.1,43.8,58.7,66.7,67.6,61.5,50.7,66.3,67.4,64.4,35.6,63.1,69.8,69.9,74.4,67.7,75.5,65.5,58.5,71.8
2012年,60.96,64.9,50.0,56.69,,53.13,56.51,60.06,56.49,62.8,52.31,60.0,65.61,60.65,55.72,,64.86,54.7,51.55,70.05,70.96,69.61,66.75,65.11,65.16,62.04,55.87,54.09,53.7,69.29,53.53,61.95,58.41,,63.94,50.12,69.4,67.67,62.93,69.29,66.1,66.95,,60.22,65.3,61.87,70.41,74.45,52.39,,64.82,65.38,59.16,56.22,54.47,65.84,43.0,62.0,66.16,71.8,72.46,62.03,41.59,57.17,63.04,57.38,68.81,46.64,62.54,57.08,58.34,71.24,55.79,56.39,60.09,69.22,66.36,53.05,61.04,53.67,62.74,55.53,58.7,59.92,70.17,54.26,56.7,68.78,,63.42,41.3,57.96,,46.67,,57.9,65.57,66.57,58.45,64.57,66.82,65.99,60.56,33.44,,65.82,69.68,73.31,65.35,73.46,63.33,64.82,70.04
2013年,66.68,65.49,57.5,58.1239174694,,65.22,56.39,,57.44,64.01,54.61,56.57,65.36,62.03,58.3,,67.11,63.58,51.72,71.47,73.65,68.92,66.97,66.51,66.16,64.83,57.95,57.72,55.85,69.81,56.45,63.7143482636,60.18,,,,69.56,,64.83,68.4,68.0,69.88,,58.49,63.22,64.17,73.84,,56.02,,69.5,68.78,60.95,57.48,55.73,,43.85,63.01,67.37,70.95,74.2,,43.12,59.61,64.66,60.22,72.61,56.54,64.87,59.5,61.38,70.43,56.42,57.92,62.8,71.54,,53.48,67.71,55.38,57.26,,63.64,66.41,80.17,57.69,52.19,72.83,,65.12,41.25,58.5,,,,59.0,68.62,68.42,60.15,67.22,68.13,69.03,60.0,31.91,,68.18,70.01,71.43,66.26,75.76,,64.47,72.01
2014年,71.03,70.68,67.37,62.81,,66.67,62.96,,64.19,70.31,64.62,63.46,72.99,67.79,63.86,,75.93,76.77,53.59,73.9,74.73,71.63,71.72,71.36,69.93,66.77,62.0,59.77,58.29,75.19,63.19,68.33,66.49,,,,74.76,,69.04,72.54,68.05,71.84,,67.39,69.84,68.11,75.67,,61.44,,74.48,73.81,64.95,63.39,60.25,,54.55,67.05,73.76,76.06,76.74,,49.89,64.54,67.33,63.15,77.75,58.05,64.53,62.81,65.29,77.66,62.2,62.56,69.65,74.37,,62.67,66.27,59.59,62.13,,69.21,74.04,78.21,63.89,59.19,76.76,,67.87,46.42,62.64,,,,66.11,72.92,72.37,64.34,65.31,71.42,74.04,65.47,34.79,,73.18,73.71,76.18,69.51,81.19,,69.66,75.16
